country,year,value
Canada,1985,459.0164002
Canada,1986,468.58403300000003
Canada,1987,496.3976998
Canada,1988,506.0157646
Canada,1989,498.09258654970483
Canada,1990,480.5932424242396
Canada,1991,506.9948584795292
Canada,1992,518.6268124406096
Canada,1993,530.2321611381105
Canada,1994,553.0548439663934
Canada,1995,557.8686930865186
Canada,1996,571.6216013110633
Canada,1997,572.3414404863013
Canada,1998,561.9913125520447
Canada,1999,577.7736449502214
Canada,2000,603.8161068624003
Canada,2001,587.7546027679466
Canada,2002,599.7919546433794
Canada,2003,588.2696299697212
Canada,2004,598.509646967121
Canada,2005,624.240403699813
Canada,2006,612.0224413990464
Canada,2007,637.083955714801
Canada,2008,638.4300703273612
Canada,2009,614.0414456418993
Canada,2010,606.9213222889299
Canada,2011,638.2785209939765
Canada,2012,636.5460873653303
Canada,2013,662.4959516605747
Canada,2014,660.4606832587334
Canada,2015,663.676701340056
Canada,2016,663.852210605203
Canada,2017,662.7314111471248
Canada,2018,654.3501563084004
Mexico,1985,96.20753203374971
Mexico,1986,99.58989530867692
Mexico,1987,106.1654010730962
Mexico,1988,112.23082348115835
Mexico,1989,120.04716093525404
Mexico,1990,117.59154298884492
Mexico,1991,128.57117140482066
Mexico,1992,132.2756645276993
Mexico,1993,134.64251942191686
Mexico,1994,146.1275620273452
Mexico,1995,150.35629869436306
Mexico,1996,156.59093131168345
Mexico,1997,166.7484449661148
Mexico,1998,181.0591201448529
Mexico,1999,189.9785806379923
Mexico,2000,203.6280610037465
Mexico,2001,210.21214204530452
Mexico,2002,215.72227148839917
Mexico,2003,224.90308351325578
Mexico,2004,235.39655602165058
Mexico,2005,247.97075103170994
Mexico,2006,256.22496048275775
Mexico,2007,263.249536043933
Mexico,2008,269.2997479932176
Mexico,2009,267.75358299198064
Mexico,2010,275.56740244267615
Mexico,2011,292.14324190038127
Mexico,2012,296.3959538482279
Mexico,2013,297.1178488488054
Mexico,2014,303.3158327426527
Mexico,2015,310.3496424705019
Mexico,2016,320.344722478498
