location,land_ice_mass,ice_mass_change,date
Antarctica,,418.3103496,1992-01-01
Greenland,,395.3655258,1992-01-01
Antarctica,,425.3770207,1992-01-31
Greenland,,401.9655258,1992-01-31
Antarctica,,433.5520163,1992-03-01
Greenland,,408.5655258,1992-03-01
Antarctica,,424.496837,1992-04-01
Greenland,,415.1655258,1992-04-01
Antarctica,,423.3627214,1992-05-01
Greenland,,421.7655258,1992-05-01
Antarctica,,421.4619452,1992-05-31
Greenland,,428.3655258,1992-05-31
Antarctica,,421.236166,1992-07-01
Greenland,,434.9655258,1992-07-01
Antarctica,,422.9603894,1992-07-31
Greenland,,441.5655258,1992-07-31
Antarctica,,425.3637741,1992-08-30
Greenland,,448.1655258,1992-08-30
Antarctica,,426.9629949,1992-09-30
Greenland,,454.7655258,1992-09-30
Antarctica,,426.0322421,1992-10-30
Greenland,,461.3655258,1992-10-30
Antarctica,,427.3197924,1992-11-29
Greenland,,467.9655258,1992-11-29
Antarctica,,430.2820606,1993-01-01
Greenland,,461.6738592,1993-01-01
Antarctica,,434.4373883,1993-01-31
Greenland,,455.3821925,1993-01-31
Antarctica,,437.6218818,1993-03-02
Greenland,,449.0905258,1993-03-02
Antarctica,,440.2915813,1993-04-02
Greenland,,442.7988592,1993-04-02
Antarctica,,440.6307112,1993-05-02
Greenland,,436.5071925,1993-05-02
Antarctica,,436.1799779,1993-06-01
Greenland,,430.2155258,1993-06-01
Antarctica,,429.9983141,1993-07-02
Greenland,,423.9238592,1993-07-02
Antarctica,,421.4495817,1993-08-01
Greenland,,417.6321925,1993-08-01
Antarctica,,412.1414353,1993-08-31
Greenland,,411.3405258,1993-08-31
Antarctica,,400.7448878,1993-10-01
Greenland,,405.0488592,1993-10-01
Antarctica,,390.6040419,1993-10-31
Greenland,,398.7571925,1993-10-31
Antarctica,,381.5811795,1993-11-30
Greenland,,392.4655258,1993-11-30
Antarctica,,371.8814521,1994-01-01
Greenland,,386.0655258,1994-01-01
Antarctica,,359.9120822,1994-01-31
Greenland,,379.6655258,1994-01-31
Antarctica,,349.7556249,1994-03-02
Greenland,,373.2655258,1994-03-02
Antarctica,,339.2611134,1994-04-02
Greenland,,366.8655258,1994-04-02
Antarctica,,329.4603662,1994-05-02
Greenland,,360.4655258,1994-05-02
Antarctica,,320.1354239,1994-06-01
Greenland,,354.0655258,1994-06-01
Antarctica,,310.1900157,1994-07-02
Greenland,,347.6655258,1994-07-02
