location,date,monthly_co2_concentrations
World,1958-03-15,314.44
World,1958-04-15,315.16
World,1958-05-15,314.7
World,1958-06-15,315.15
World,1958-07-15,315.2
World,1958-08-15,316.21
World,1958-09-15,316.1
World,1958-10-15,315.41
World,1958-11-15,315.21
World,1958-12-15,315.43
World,1959-01-15,315.52
World,1959-02-15,315.84
World,1959-03-15,315.37
World,1959-04-15,315.42
World,1959-05-15,315.48
World,1959-06-15,316.02
World,1959-07-15,315.87
World,1959-08-15,316.08
World,1959-09-15,316.74
World,1959-10-15,316.33
World,1959-11-15,316.69
World,1959-12-15,316.35
World,1960-01-15,316.37
World,1960-02-15,316.33
World,1960-03-15,316.27
World,1960-04-15,316.7
World,1960-05-15,317.21
World,1960-06-15,317.46
World,1960-07-15,317.53
World,1960-08-15,317.22
World,1960-09-15,317.09
World,1960-10-15,316.84
World,1960-11-15,316.88
World,1960-12-15,316.96
World,1961-01-15,316.84
World,1961-02-15,317.05
World,1961-03-15,317.25
World,1961-04-15,317.16
World,1961-05-15,317.75
World,1961-06-15,317.62
World,1961-07-15,317.89
World,1961-08-15,318.08
World,1961-09-15,317.91
World,1961-10-15,318.33
World,1961-11-15,318.0
World,1961-12-15,317.78
World,1962-01-15,317.88
World,1962-02-15,317.89
World,1962-03-15,318.39
World,1962-04-15,318.25
World,1962-05-15,318.17
World,1962-06-15,318.46
World,1962-07-15,318.94
World,1962-08-15,318.7
World,1962-09-15,319.18
World,1962-10-15,318.45
World,1962-11-15,318.59
World,1962-12-15,318.48
World,1963-01-15,318.68
World,1963-02-15,318.41
World,1963-03-15,318.56
World,1963-04-15,319.05
World,1963-05-15,319.39
World,1963-06-15,319.32
World,1963-07-15,319.06
World,1963-08-15,319.07
World,1963-09-15,319.15
World,1963-10-15,319.03
World,1963-11-15,318.97
World,1963-12-15,319.13
World,1964-01-15,319.51
World,1964-02-15,319.37
World,1964-03-15,319.41
World,1964-04-15,319.45
World,1964-05-15,319.39
World,1964-06-15,319.74
World,1964-07-15,319.78
World,1964-08-15,320.02
World,1964-09-15,319.67
World,1964-10-15,319.92
World,1964-11-15,319.59
World,1964-12-15,319.49
World,1965-01-15,319.38
World,1965-02-15,319.79
World,1965-03-15,319.59
World,1965-04-15,319.79
World,1965-05-15,319.3
World,1965-06-15,319.69
World,1965-07-15,320.52
World,1965-08-15,320.18
World,1965-09-15,320.78
World,1965-10-15,320.36
World,1965-11-15,320.79
World,1965-12-15,320.2
World,1966-01-15,320.57
World,1966-02-15,320.93
World,1966-03-15,321.08
World,1966-04-15,321.34
World,1966-05-15,321.2
World,1966-06-15,321.57
World,1966-07-15,321.69
World,1966-08-15,321.68
World,1966-09-15,321.61
World,1966-10-15,321.17
World,1966-11-15,321.71
World,1966-12-15,321.81
World,1967-01-15,322.27
World,1967-02-15,321.83
World,1967-03-15,321.72
World,1967-04-15,322.05
World,1967-05-15,322.11
World,1967-06-15,321.9
World,1967-07-15,321.85
World,1967-08-15,322.24
World,1967-09-15,322.24
World,1967-10-15,322.47
World,1967-11-15,322.66
World,1967-12-15,322.74
World,1968-01-15,322.51
World,1968-02-15,322.48
World,1968-03-15,322.55
World,1968-04-15,322.63
World,1968-05-15,322.67
World,1968-06-15,323.18
World,1968-07-15,323.48
World,1968-08-15,323.46
World,1968-09-15,323.33
World,1968-10-15,323.33
World,1968-11-15,323.26
World,1968-12-15,323.68
World,1969-01-15,323.94
World,1969-02-15,323.75
World,1969-03-15,324.31
World,1969-04-15,324.28
World,1969-05-15,324.47
World,1969-06-15,324.5
World,1969-07-15,325.19
World,1969-08-15,324.99
World,1969-09-15,325.38
World,1969-10-15,324.88
World,1969-11-15,324.8
World,1969-12-15,324.91
World,1970-01-15,325.0
World,1970-02-15,325.31
World,1970-03-15,325.6
World,1970-04-15,325.75
World,1970-05-15,325.16
World,1970-06-15,325.45
World,1970-07-15,325.65
World,1970-08-15,326.02
World,1970-09-15,326.11
World,1970-10-15,326.18
World,1970-11-15,325.96
World,1970-12-15,325.93
World,1971-01-15,326.11
World,1971-02-15,326.01
World,1971-03-15,325.85
World,1971-04-15,325.39
World,1971-05-15,326.0
World,1971-06-15,326.35
World,1971-07-15,326.66
World,1971-08-15,326.76
World,1971-09-15,326.38
World,1971-10-15,326.69
World,1971-11-15,326.75
World,1971-12-15,326.81
World,1972-01-15,326.71
World,1972-02-15,326.96
World,1972-03-15,326.39
World,1972-04-15,327.3
World,1972-05-15,327.13
World,1972-06-15,326.88
World,1972-07-15,327.37
World,1972-08-15,327.69
World,1972-09-15,327.88
World,1972-10-15,328.33
World,1972-11-15,328.46
World,1972-12-15,328.35
World,1973-01-15,328.49
World,1973-02-15,328.89
World,1973-03-15,328.96
World,1973-04-15,329.09
World,1973-05-15,329.53
World,1973-06-15,329.84
World,1973-07-15,330.17
World,1973-08-15,330.66
World,1973-09-15,330.56
World,1973-10-15,330.33
World,1973-11-15,330.13
World,1973-12-15,329.45
World,1974-01-15,329.3
World,1974-02-15,330.03
World,1974-03-15,330.14
World,1974-04-15,330.23
World,1974-05-15,330.14
World,1974-06-15,330.02
World,1974-07-15,330.48
World,1974-08-15,330.75
World,1974-09-15,330.49
World,1974-10-15,330.53
World,1974-11-15,330.44
World,1974-12-15,330.38
World,1975-01-15,330.35
World,1975-02-15,330.73
World,1975-03-15,330.7
World,1975-04-15,330.89
World,1975-05-15,331.01
World,1975-06-15,331.36
World,1975-07-15,331.21
World,1975-08-15,331.42
World,1975-09-15,331.62
World,1975-10-15,331.51
World,1975-11-15,331.48
World,1975-12-15,331.58
World,1976-01-15,331.7
World,1976-02-15,331.89
World,1976-03-15,332.13
World,1976-04-15,332.14
World,1976-05-15,331.91
World,1976-06-15,332.11
World,1976-07-15,332.38
World,1976-08-15,332.34
World,1976-09-15,332.39
World,1976-10-15,332.12
World,1976-11-15,332.3
World,1976-12-15,332.5
World,1977-01-15,332.88
World,1977-02-15,332.75
World,1977-03-15,333.36
World,1977-04-15,333.64
World,1977-05-15,333.77
World,1977-06-15,334.01
World,1977-07-15,334.22
World,1977-08-15,334.13
World,1977-09-15,334.68
World,1977-10-15,334.35
World,1977-11-15,334.41
World,1977-12-15,334.67
World,1978-01-15,334.92
World,1978-02-15,334.71
World,1978-03-15,335.29
World,1978-04-15,335.32
World,1978-05-15,335.03
World,1978-06-15,335.63
World,1978-07-15,335.84
World,1978-08-15,336.06
World,1978-09-15,335.86
World,1978-10-15,335.75
World,1978-11-15,335.93
World,1978-12-15,335.77
World,1979-01-15,336.18
World,1979-02-15,336.08
World,1979-03-15,336.61
World,1979-04-15,336.44
World,1979-05-15,336.48
World,1979-06-15,337.02
World,1979-07-15,337.03
World,1979-08-15,337.47
World,1979-09-15,337.03
World,1979-10-15,337.07
World,1979-11-15,337.31
World,1979-12-15,337.56
World,1980-01-15,337.97
World,1980-02-15,337.68
World,1980-03-15,338.69
World,1980-04-15,338.29
World,1980-05-15,338.47
World,1980-06-15,338.92
World,1980-07-15,338.88
World,1980-08-15,339.02
World,1980-09-15,339.02
World,1980-10-15,339.24
World,1980-11-15,339.13
World,1980-12-15,339.05
World,1981-01-15,339.19
World,1981-02-15,339.8
World,1981-03-15,340.03
World,1981-04-15,340.05
World,1981-05-15,339.91
World,1981-06-15,339.98
World,1981-07-15,339.79
World,1981-08-15,339.83
World,1981-09-15,339.83
World,1981-10-15,340.1
World,1981-11-15,340.4
World,1981-12-15,340.46
World,1982-01-15,340.71
World,1982-02-15,340.94
World,1982-03-15,341.34
World,1982-04-15,341.11
World,1982-05-15,341.13
World,1982-06-15,341.07
World,1982-07-15,341.35
World,1982-08-15,341.21
World,1982-09-15,341.13
World,1982-10-15,341.11
World,1982-11-15,341.31
World,1982-12-15,341.33
World,1983-01-15,341.33
World,1983-02-15,341.84
World,1983-03-15,341.73
World,1983-04-15,342.47
World,1983-05-15,342.73
World,1983-06-15,343.03
World,1983-07-15,343.27
World,1983-08-15,343.79
World,1983-09-15,343.02
World,1983-10-15,343.25
World,1983-11-15,343.19
World,1983-12-15,343.81
World,1984-01-15,343.76
World,1984-02-15,343.92
World,1984-03-15,343.97
World,1984-04-15,344.63
World,1984-05-15,344.47
World,1984-06-15,344.59
World,1984-07-15,344.77
World,1984-08-15,344.76
World,1984-09-15,344.29
World,1984-10-15,344.65
World,1984-11-15,345.06
World,1984-12-15,345.08
World,1985-01-15,344.93
World,1985-02-15,345.31
World,1985-03-15,346.04
World,1985-04-15,345.84
World,1985-05-15,345.86
World,1985-06-15,345.92
World,1985-07-15,345.81
World,1985-08-15,346.04
World,1985-09-15,346.21
World,1985-10-15,346.04
World,1985-11-15,346.26
World,1985-12-15,346.37
World,1986-01-15,346.21
World,1986-02-15,346.23
World,1986-03-15,346.44
World,1986-04-15,347.02
World,1986-05-15,347.12
World,1986-06-15,347.2
World,1986-07-15,347.19
World,1986-08-15,347.28
World,1986-09-15,348.0
World,1986-10-15,347.43
World,1986-11-15,347.69
World,1986-12-15,347.72
World,1987-01-15,347.94
World,1987-02-15,347.76
World,1987-03-15,348.01
World,1987-04-15,348.46
World,1987-05-15,348.76
World,1987-06-15,348.91
World,1987-07-15,348.76
World,1987-08-15,349.49
World,1987-09-15,349.61
World,1987-10-15,349.38
World,1987-11-15,349.6
World,1987-12-15,349.53
World,1988-01-15,350.1
World,1988-02-15,350.76
World,1988-03-15,350.53
World,1988-04-15,350.78
World,1988-05-15,350.88
World,1988-06-15,351.23
World,1988-07-15,351.43
World,1988-08-15,351.63
World,1988-09-15,351.69
World,1988-10-15,351.95
World,1988-11-15,351.91
World,1988-12-15,351.96
World,1989-01-15,352.49
World,1989-02-15,352.15
World,1989-03-15,352.07
