country,year,value
Argentina,2006,10.4701
Brazil,2006,12.06785
Chile,2006,14.01713
Colombia,2006,6.66819
Costa Rica,2006,13.64774
Cuba,2006,54.35635
Dominican Republic,2006,0.13045
Ecuador,2006,4.14222
El Salvador,2006,3.63978
Guatemala,2006,2.07547
Mexico,2006,15.5897
Nicaragua,2006,1.96638
Panama,2006,2.74906
Paraguay,2006,9.20016
Peru,2006,4.77266
Uruguay,2006,18.94983
Argentina,2013,13.86
Brazil,2013,16.89
Chile,2013,29.45
Colombia,2013,8.24
Costa Rica,2013,16.23
Dominican Republic,2013,1.53
Ecuador,2013,11.86
Guatemala,2013,6.79
Honduras,2013,7.91
Mexico,2013,17.35
Nicaragua,2013,3.23
Panama,2013,4.5
Paraguay,2013,6.41
Peru,2013,13.24
Uruguay,2013,20.32
