country,year,value
Burundi,2000,22.1719455718994
Zambia,2001,51.4174385070801
Bolivia,2003,70.7242889404297
Burkina Faso,2003,12.958571434021
Indonesia,2003,83.7377471923828
Kenya,2003,93.7229232788086
Mozambique,2003,56.88623046875
Nigeria,2003,64.3583221435547
Cameroon,2004,73.9895553588867
Chad,2004,27.408275604248
Malawi,2004,79.5241394042969
Morocco,2004,79.0529937744141
Philippines,2004,95.0135498046875
Tanzania,2004,40.8784523010254
Turkey,2004,94.8945846557617
Cambodia,2005,80.7442321777344
Colombia,2005,95.1081466674805
Congo,2005,78.6799621582031
Egypt,2005,88.5480728149414
Ethiopia,2005,58.1911087036133
Guinea,2005,40.2310485839844
Haiti,2005,90.3821334838867
Lesotho,2005,84.7523880004883
Moldova,2005,97.1170654296875
Rwanda,2005,74.7276992797852
Senegal,2005,42.3756332397461
Zimbabwe,2005,83.633056640625
Armenia,2006,100.0
Azerbaijan,2006,94.8500061035156
Bangladesh,2006,75.1616821289063
Belize,2006,93.6923370361328
Benin,2006,55.7390823364258
Brazil,2006,95.9555358886719
Burkina Faso,2006,12.7921495437622
Cameroon,2006,80.8903656005859
Central African Republic,2006,32.2024307250977
Cote d'Ivoire,2006,48.0924415588379
Gambia,2006,61.5301246643066
Guyana,2006,83.8147659301758
India,2006,76.9206466674805
Kazakhstan,2006,99.065315246582
Kyrgyzstan,2006,97.995231628418
Laos,2006,70.7971115112305
Mali,2006,27.1747856140137
Mongolia,2006,97.6677398681641
Niger,2006,13.6040506362915
Sri Lanka,2006,98.0364456176758
Eswatini,2006,88.5324096679688
Syria,2006,82.0234909057617
Tajikistan,2006,89.7394866943359
Togo,2006,71.7736740112305
Uganda,2006,84.3964233398438
Uzbekistan,2006,95.8996200561523
Yemen,2006,58.3460159301758
Democratic Republic of Congo,2007,69.3754501342773
Dominican Republic,2007,96.427619934082
Jordan,2007,97.4895401000977
Liberia,2007,72.7895202636719
Mauritania,2007,62.3463973999023
Namibia,2007,79.8128814697266
Nepal,2007,81.8650817871094
Nigeria,2007,69.4745635986328
Pakistan,2007,70.8918838500977
Ukraine,2007,99.5290603637695
Vanuatu,2007,55.9930381774902
Zambia,2007,84.3338317871094
Bolivia,2008,98.9367904663086
Indonesia,2008,82.4071426391602
Kenya,2008,99.7278594970703
Maldives,2008,98.3712005615234
Mozambique,2008,58.6876220703125
Nigeria,2008,78.2238464355469
Sierra Leone,2008,62.3233451843262
Albania,2009,95.6064605712891
Egypt,2009,90.8527755737305
Ghana,2009,90.0890960693359
Guyana,2009,93.8774795532227
Lesotho,2009,91.0094223022461
Madagascar,2009,76.0915145874023
Sao Tome and Principe,2009,94.2376327514648
Timor,2009,86.1873245239258
Bhutan,2010,83.444221496582
Burkina Faso,2010,34.3507766723633
Burundi,2010,72.4209747314453
Cambodia,2010,79.1308975219727
Colombia,2010,98.2348709106445
Democratic Republic of Congo,2010,75.332763671875
Malawi,2010,81.7914581298828
Rwanda,2010,84.7967300415039
Eswatini,2010,93.9463043212891
Tanzania,2010,51.2366714477539
Togo,2010,80.5034255981445
Zimbabwe,2010,77.6367263793945
Afghanistan,2011,26.7720222473145
Armenia,2011,99.6782684326172
Bangladesh,2011,88.0117797851563
Benin,2011,61.026065826416
Cameroon,2011,78.1049957275391
Ethiopia,2011,70.2215194702148
Iraq,2011,69.2486572265625
Mozambique,2011,56.5685157775879
Nepal,2011,86.4686737060547
Nigeria,2011,87.1598205566406
Senegal,2011,57.6803741455078
Serbia,2011,100.0
Uganda,2011,81.5426025390625
Vietnam,2011,96.1831130981445
Congo,2012,85.6866455078125
Gabon,2012,98.0048904418945
Guinea,2012,39.2119598388672
Haiti,2012,93.5375900268555
Laos,2012,82.4248580932617
Niger,2012,13.4506120681763
Pakistan,2012,76.2260055541992
Democratic Republic of Congo,2013,84.2734603881836
Dominican Republic,2013,99.8121109008789
Liberia,2013,79.3661575317383
Mali,2013,33.9380912780762
Namibia,2013,88.2230682373047
Nigeria,2013,80.8274230957031
Sierra Leone,2013,71.6340026855469
Zambia,2013,76.890380859375
Cambodia,2014,75.0866928100586
Egypt,2014,90.0977172851563
Ghana,2015,81.0437927246094
