name,description,dataset_id
 ASTI-Expenditures - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""ASTI performs first-hand data collection on an institutional basis. It does not rely on already existing government datasets."", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""Agricultural RD is defined to include research on crops, livestock, forestry, fisheries, natural resources, as well as on-farm postharvest research.ASTI collects actual spending data, not budgeted or projected data, in thousands of current local currency units. If the financial year differs from the calendar year, spending is reported in the calendar year that covers the majority of the financial year in question.ASTI collects all its financial timeseries data in local currency units and converts these into constant prices using official World Bank GDP deflators. Currently, ASTI expresses its financial data in 2011 prices.""}",0
 ASTI-Researchers - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""ASTI performs first-hand data collection on an institutional basis. It does not rely on already existing government datasets."", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""Agricultural RD is defined to include research on crops, livestock, forestry, fisheries, natural resources, as well as on-farm postharvest research.All human resource data have been expressed in full-time equivalents (FTEs). This method takes into account the proportion of time researchers spend on research compared with other nonresearch activities. For example, four faculty members estimated to spend 25 percent of their time on research would individually represent 0.25 FTEs and collectively be counted as 1.0 FTE.""}",1
 Commodity Balances - Crops Primary Equivalent - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""The main source is official statistics from FAO member countries.  Exceptionally, unofficial data are also used as well as estimated/imputed data.  In both cases this is \""flagged\"".  Data are recorded as countries report them, except for eliminating obvious errors.  The source data can originate from surveys, administrative data and estimates based on expert observations.  Which type of source is used by countries affect significantly reliability and comparability of data."", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""Food Balance Sheets (FBS) are compiled every year by FAO, mainly with country-level data on the production and trade of food commodities. Using these data and the available information on seed rates, waste coefficients, stock changes and types of utilization (feed, food, processing and other utilization), a supply/utilization account is prepared for each commodity in weight terms. The food component of the commodity account, which is usually derived as a balancing item, refers to the total amount of the commodity available for human consumption during the year. Besides commodity-by-commodity information, the FAO FBS also provide total food availability estimates by aggregating the food component of all commodities including fishery products. From these values and the available population estimates, the per person dietary energy and protein and fat supplies are derived and expressed on a daily basis. In the FBS production data refer only to primary products while data for all other elements also include processed products derived there from, expressed in primary commodity equivalent.""}",2
 Commodity Balances - Livestock and Fish Primary Equivalent - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""The main source is official statistics from FAO member countries.  Exceptionally, unofficial data are also used as well as estimated/imputed data.  In both cases this is \""flagged\"".  Data are recorded as countries report them, except for eliminating obvious errors.  The source data can originate from surveys, administrative data and estimates based on expert observations.  Which type of source is used by countries affect significantly reliability and comparability of data."", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""Food Balance Sheets (FBS) are compiled every year by FAO, mainly with country-level data on the production and trade of food commodities. Using these data and the available information on seed rates, waste coefficients, stock changes and types of utilization (feed, food, processing and other utilization), a supply/utilization account is prepared for each commodity in weight terms. The food component of the commodity account, which is usually derived as a balancing item, refers to the total amount of the commodity available for human consumption during the year. Besides commodity-by-commodity information, the FAO FBS also provide total food availability estimates by aggregating the food component of all commodities including fishery products. From these values and the available population estimates, the per person dietary energy and protein and fat supplies are derived and expressed on a daily basis. In the FBS production data refer only to primary products while data for all other elements also include processed products derived there from, expressed in primary commodity equivalent.""}",3
 Consumer Price Indices - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""The IMF International Financial Statistics DB and IMF COICOP CPI DB are the main sources of official country-level CPI statistics, augmented by the UNSD Monthly Bulletin of Statistics, and, in some cases, data published on official country and other international organisations websites such as: OECD, CEPALSTAT, BCEAO and ECCB."", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""Consumer Price Indices measure the price change between the current and reference periods of an average basket of goods and services purchased by households.""}",4
 Deflators - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""The basic source for the dataset is UNSD which receives national accounts data from countries and partner international organizations (OECD, Eurostat and UNECE)."", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""A deflator allows data to be measured over time, in terms of a base period, in order to distinguish between a change in the monetary value due to change in prices, and change in physical output. It is the measure of the price level for some quantity.  Implicit deflators are calculated by dividing an aggregate measured in current prices by the same aggregate measured in constant prices. Implicit deflators are named after the aggregate used. Deflator of gross domestic product, of gross fixed capital formation, of agriculture value-added, and of manufacturing value-addedmeasure price changes in their respective domain. They are used to eliminate inflationary effects from aggregate series.""}",5
 Development Flows to Agriculture - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""The basic source for the dataset on Official Development Assistance to Agriculture and Rural Development is the administrative data on total Development Assistance compiled and maintained by the OECD in its Creditor Reporting System (http://stats.oecd.org/Index.aspx?datasetcode=CRS1) ."", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""Commitments and Disbursements (see the OECD's CRS User Guide at http://www.oecd.org/dac/stats/crsguide.htm); Agriculture share of ODA; Agriculture Orientation Index;Analytical aggregates (agro-industry, Food and nutrition assistance, Rural development, Environment protection, Other agriculture, forestry and fishing). The new analytical aggregate series\""Other Agriculture, Forestry and Fishing\"" is on the aid activities assigned to other sector but presumed to propose to agriculture since their title and/or description include agriculture or forestry or fish. The analytical aggregate series\""Other Agriculture, Forestry and Fishing\"" is the sum ofthe aid activities assigned to other sector but presumed to propose to agriculture since their title and/or description include agriculture or forestry or fish.""}",6
 Agriculture Total - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""FAOSTAT Emissions data are computed based on a variety of Activity Data from both the FAOSTAT database and external sources (see individual sub-domains for details), and on conversion factors in IPCC, 2006 (http://www.ipcc-nggip.iges.or.jp/public/2006gl/index.html)."", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""Agriculture Total contains all the emissions produced in the different agricultural emissions sub-domains.Computed at Tier 1 following IPCC Guidelines for National GHG Inventories.""}",7
Burning - Crop Residues - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""FAOSTAT Emissions data are computed based on Activity Data from the FAOSTAT Production/Crops domain (maize, rice, sugarcane and wheat), collected by FAOSTAT from country statistics offices through questionnaires, and on conversion factors in IPCC, 2006: Vol. 4 (http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html). See 20.5 for more details"", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""Greenhouse Gas (GHG) emissions from burning crop residues consist of methane and nitrous oxide gases produced by the combustion of a percentage of the crop residues burnt on-site.""}",8
 Burning - Savanna - FAO (2019),"{""dataPublishedBy"": ""Food and Agriculture Organization of the United Nations (FAO) (2019) "", ""dataPublisherSource"": ""FAOSTAT Emissions data are computed based on a number of source data, including: IPCC Climatic Zones, Joint Research Centre of the European Commission. Available at: https://esdac.jrc.ec.europa.eu/projects/renewable-energy-directiveIPCC. 1997. Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories. OECD, Paris, France. Available at: http://www.ipcc-nggip.iges.or.jp/public/gl/invs1.html Hansen, M. C., R. S. DeFries, J. R. G. Townshend, and R. Sohlberg. 2000. Global land cover classification at 1km spatial resolution using a classification tree approach. International Journal of Remote Sensing 21: 1331\u2013 1364.IPCC. 2006. 2006 IPCC Guidelines for National Greenhouse Gas Inventories, Prepared by the National Greenhouse Gas Inventories Programme, Eggleston H.S., Buendia L., Miwa K., Ngara T. and Tanabe K. (Eds), IGES, Hayama, Japan. Available at: http://www.ipcc-nggip.iges.or.jp/public/2006gl/index.htmlFriedl, M. A.; Sulla-Menashe, D.; Tan, B.; Schneider, A.; Ramankutty, N.; Sibley, A.; Huang, X. 2010. MODIS Collection 5 global land cover: Algorithm refinements and characterization of new datasets. Remote Sensing of Environment 2010, 114 (1), 168\u2013182.Giglio, L, JT Randerson, GR Van der Werf, PS Kasibhatla, GJ Collatz, DC Morton, and RS DeFries. 2010. \u201cAssessing Variability and Long-Term Trends in Burned Area by Merging Multiple Satellite Fire Products.\u201d Biogeosciences 7, no. 3 (2010): 1171\u201386. Rossi, Simone, Francesco N Tubiello, Paolo Prosperi, Mirella Salvatore, Heather Jacobs, Riccardo Biancalani, Joanna I House, and Luigi Boschetti. 2016. \u201cFAOSTAT Estimates of Greenhouse Gas Emissions from Biomass and Peat Fires.\u201d Climatic Change 135, no. 3\u20134 (2016): 699\u2013711.Giglio, Louis, Luigi Boschetti, David P Roy, Michael L Humber, and Christopher O Justice. 2018. \u201cThe Collection 6 MODIS Burned Area Mapping Algorithm and Product.\u201d Remote Sensing of Environment 217 (2018): 72\u201385."", ""link"": ""http://www.fao.org/faostat/en/?#data/"", ""retrievedDate"": ""15-Dec-2019"", ""additionalInfo"": ""Greenhouse Gas (GHG) emissions from burning of savanna consist of methane and nitrous oxide gases from biomass combustion.""}",9
