,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
0,4,Algeria,23046.0,Agricultural researchers,6082.0,"Researchers, total",2009.0,2009.0,FTE,X
1,8,Antigua and Barbuda,,,6086.0,"Per 100,000 farmers",2010.0,2010.0,,
2,9,Argentina,,,,,2011.0,2011.0,,
3,16,Bangladesh,,,,,2012.0,2012.0,,
4,14,Barbados,,,,,2007.0,2007.0,,
5,23,Belize,,,,,2008.0,2008.0,,
6,53,Benin,,,,,1981.0,1981.0,,
7,20,Botswana,,,,,1982.0,1982.0,,
8,21,Brazil,,,,,1983.0,1983.0,,
9,233,Burkina Faso,,,,,1984.0,1984.0,,
10,29,Burundi,,,,,1985.0,1985.0,,
11,35,Cabo Verde,,,,,1986.0,1986.0,,
12,115,Cambodia,,,,,1987.0,1987.0,,
13,37,Central African Republic,,,,,1988.0,1988.0,,
14,39,Chad,,,,,1989.0,1989.0,,
15,40,Chile,,,,,1990.0,1990.0,,
16,44,Colombia,,,,,1991.0,1991.0,,
17,46,Congo,,,,,1992.0,1992.0,,
18,48,Costa Rica,,,,,1993.0,1993.0,,
19,107,Côte d'Ivoire,,,,,1994.0,1994.0,,
20,250,Democratic Republic of the Congo,,,,,1995.0,1995.0,,
21,55,Dominica,,,,,1996.0,1996.0,,
22,56,Dominican Republic,,,,,1997.0,1997.0,,
23,59,Egypt,,,,,1998.0,1998.0,,
24,60,El Salvador,,,,,1999.0,1999.0,,
25,178,Eritrea,,,,,2000.0,2000.0,,
26,209,Eswatini,,,,,2001.0,2001.0,,
27,238,Ethiopia,,,,,2002.0,2002.0,,
28,74,Gabon,,,,,2003.0,2003.0,,
29,75,Gambia,,,,,2004.0,2004.0,,
30,81,Ghana,,,,,2005.0,2005.0,,
31,86,Grenada,,,,,2006.0,2006.0,,
32,89,Guatemala,,,,,2013.0,2013.0,,
33,90,Guinea,,,,,2014.0,2014.0,,
34,175,Guinea-Bissau,,,,,2015.0,2015.0,,
35,95,Honduras,,,,,2016.0,2016.0,,
36,100,India,,,,,,,,
37,109,Jamaica,,,,,,,,
38,112,Jordan,,,,,,,,
39,114,Kenya,,,,,,,,
40,120,Lao People's Democratic Republic,,,,,,,,
41,121,Lebanon,,,,,,,,
42,122,Lesotho,,,,,,,,
43,123,Liberia,,,,,,,,
44,129,Madagascar,,,,,,,,
45,130,Malawi,,,,,,,,
46,131,Malaysia,,,,,,,,
47,133,Mali,,,,,,,,
48,136,Mauritania,,,,,,,,
49,137,Mauritius,,,,,,,,
50,138,Mexico,,,,,,,,
51,143,Morocco,,,,,,,,
52,144,Mozambique,,,,,,,,
53,147,Namibia,,,,,,,,
54,149,Nepal,,,,,,,,
55,157,Nicaragua,,,,,,,,
56,159,Nigeria,,,,,,,,
57,221,Oman,,,,,,,,
58,165,Pakistan,,,,,,,,
59,166,Panama,,,,,,,,
60,169,Paraguay,,,,,,,,
61,184,Rwanda,,,,,,,,
62,188,Saint Kitts and Nevis,,,,,,,,
63,189,Saint Lucia,,,,,,,,
64,191,Saint Vincent and the Grenadines,,,,,,,,
65,195,Senegal,,,,,,,,
66,197,Sierra Leone,,,,,,,,
67,202,South Africa,,,,,,,,
68,38,Sri Lanka,,,,,,,,
69,276,Sudan,,,,,,,,
70,217,Togo,,,,,,,,
71,220,Trinidad and Tobago,,,,,,,,
72,222,Tunisia,,,,,,,,
73,223,Turkey,,,,,,,,
74,226,Uganda,,,,,,,,
75,215,United Republic of Tanzania,,,,,,,,
76,234,Uruguay,,,,,,,,
77,237,Viet Nam,,,,,,,,
78,249,Yemen,,,,,,,,
79,251,Zambia,,,,,,,,
80,181,Zimbabwe,,,,,,,,
