,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
0,2,Afghanistan,1360.0,Nitrogenous fertilizers,5163.0,Agricultural Use,1961.0,1961.0,kg,E
1,3,Albania,3102.0,Nutrient nitrogen N (total),516202.0,Nitrogen fertilizer content applied that leaches,1962.0,1962.0,kg of nutrients,X
2,4,Algeria,3107.0,Synthetic Nitrogen fertilizers,516201.0,Nitrogen fertilizer content applied that volatilises,1963.0,1963.0,kg N2O-N/kg N,Q
3,7,Angola,,,5162.0,Agricultural Use in nutrients,1964.0,1964.0,gigagrams,NR
4,8,Antigua and Barbuda,,,72293.0,Implied emission factor for N2O (Synthetic fertilizers),1965.0,1965.0,,Fc
5,9,Argentina,,,72343.0,Direct emissions (N2O) (Synthetic fertilizers),1966.0,1966.0,,Fb
6,1,Armenia,,,72353.0,Direct emissions (CO2eq) (Synthetic fertilizers),1967.0,1967.0,,EA
7,10,Australia,,,723632.0,Indirect emissions (N2O that leaches) (Synthetic fertilizers),1968.0,1968.0,,Fm
8,11,Austria,,,723631.0,Indirect emissions (N2O that volatilises) (Synthetic fertilizers),1969.0,1969.0,,Qm
9,52,Azerbaijan,,,72363.0,Indirect emissions (N2O) (Synthetic fertilizers),1970.0,1970.0,,A
10,12,Bahamas,,,72373.0,Indirect emissions (CO2eq) (Synthetic fertilizers),1971.0,1971.0,,W
11,13,Bahrain,,,72303.0,Emissions (N2O) (Synthetic fertilizers),1972.0,1972.0,,P
12,16,Bangladesh,,,72313.0,Emissions (CO2eq) (Synthetic fertilizers),1973.0,1973.0,,Z
13,14,Barbados,,,,,1974.0,1974.0,,
14,57,Belarus,,,,,1975.0,1975.0,,
15,255,Belgium,,,,,1976.0,1976.0,,
16,15,Belgium-Luxembourg,,,,,1977.0,1977.0,,
17,23,Belize,,,,,1978.0,1978.0,,
18,53,Benin,,,,,1979.0,1979.0,,
19,17,Bermuda,,,,,1980.0,1980.0,,
20,18,Bhutan,,,,,1981.0,1981.0,,
21,19,Bolivia (Plurinational State of),,,,,1982.0,1982.0,,
22,80,Bosnia and Herzegovina,,,,,1983.0,1983.0,,
23,20,Botswana,,,,,1984.0,1984.0,,
24,21,Brazil,,,,,1985.0,1985.0,,
25,26,Brunei Darussalam,,,,,1986.0,1986.0,,
26,27,Bulgaria,,,,,1987.0,1987.0,,
27,233,Burkina Faso,,,,,1988.0,1988.0,,
28,29,Burundi,,,,,1989.0,1989.0,,
29,35,Cabo Verde,,,,,1990.0,1990.0,,
30,115,Cambodia,,,,,1991.0,1991.0,,
31,32,Cameroon,,,,,1992.0,1992.0,,
32,33,Canada,,,,,1993.0,1993.0,,
33,37,Central African Republic,,,,,1994.0,1994.0,,
34,39,Chad,,,,,1995.0,1995.0,,
35,40,Chile,,,,,1996.0,1996.0,,
36,351,China,,,,,1997.0,1997.0,,
37,96,"China, Hong Kong SAR",,,,,1998.0,1998.0,,
38,128,"China, Macao SAR",,,,,1999.0,1999.0,,
39,41,"China, mainland",,,,,2000.0,2000.0,,
40,214,"China, Taiwan Province of",,,,,2001.0,2001.0,,
41,44,Colombia,,,,,2002.0,2002.0,,
42,45,Comoros,,,,,2003.0,2003.0,,
43,46,Congo,,,,,2004.0,2004.0,,
44,47,Cook Islands,,,,,2005.0,2005.0,,
45,48,Costa Rica,,,,,2006.0,2006.0,,
46,107,Côte d'Ivoire,,,,,2007.0,2007.0,,
47,98,Croatia,,,,,2008.0,2008.0,,
48,49,Cuba,,,,,2009.0,2009.0,,
49,50,Cyprus,,,,,2010.0,2010.0,,
50,167,Czechia,,,,,2011.0,2011.0,,
51,51,Czechoslovakia,,,,,2012.0,2012.0,,
52,116,Democratic People's Republic of Korea,,,,,2013.0,2013.0,,
53,250,Democratic Republic of the Congo,,,,,2014.0,2014.0,,
54,54,Denmark,,,,,2015.0,2015.0,,
55,72,Djibouti,,,,,2016.0,2016.0,,
56,55,Dominica,,,,,2017.0,2017.0,,
57,56,Dominican Republic,,,,,2030.0,2030.0,,
58,58,Ecuador,,,,,2050.0,2050.0,,
59,59,Egypt,,,,,,,,
60,60,El Salvador,,,,,,,,
61,61,Equatorial Guinea,,,,,,,,
62,178,Eritrea,,,,,,,,
63,63,Estonia,,,,,,,,
64,209,Eswatini,,,,,,,,
65,238,Ethiopia,,,,,,,,
66,62,Ethiopia PDR,,,,,,,,
67,64,Faroe Islands,,,,,,,,
68,66,Fiji,,,,,,,,
69,67,Finland,,,,,,,,
70,68,France,,,,,,,,
71,69,French Guiana,,,,,,,,
72,70,French Polynesia,,,,,,,,
73,74,Gabon,,,,,,,,
74,75,Gambia,,,,,,,,
75,73,Georgia,,,,,,,,
76,79,Germany,,,,,,,,
77,81,Ghana,,,,,,,,
78,84,Greece,,,,,,,,
79,85,Greenland,,,,,,,,
80,86,Grenada,,,,,,,,
81,87,Guadeloupe,,,,,,,,
82,89,Guatemala,,,,,,,,
83,90,Guinea,,,,,,,,
84,175,Guinea-Bissau,,,,,,,,
85,91,Guyana,,,,,,,,
86,93,Haiti,,,,,,,,
87,95,Honduras,,,,,,,,
88,97,Hungary,,,,,,,,
89,99,Iceland,,,,,,,,
90,100,India,,,,,,,,
91,101,Indonesia,,,,,,,,
92,102,Iran (Islamic Republic of),,,,,,,,
93,103,Iraq,,,,,,,,
94,104,Ireland,,,,,,,,
95,105,Israel,,,,,,,,
96,106,Italy,,,,,,,,
97,109,Jamaica,,,,,,,,
98,110,Japan,,,,,,,,
99,112,Jordan,,,,,,,,
100,108,Kazakhstan,,,,,,,,
101,114,Kenya,,,,,,,,
102,83,Kiribati,,,,,,,,
103,118,Kuwait,,,,,,,,
104,113,Kyrgyzstan,,,,,,,,
105,120,Lao People's Democratic Republic,,,,,,,,
106,119,Latvia,,,,,,,,
107,121,Lebanon,,,,,,,,
108,122,Lesotho,,,,,,,,
109,123,Liberia,,,,,,,,
110,124,Libya,,,,,,,,
111,126,Lithuania,,,,,,,,
112,256,Luxembourg,,,,,,,,
113,129,Madagascar,,,,,,,,
114,130,Malawi,,,,,,,,
115,131,Malaysia,,,,,,,,
116,132,Maldives,,,,,,,,
117,133,Mali,,,,,,,,
118,134,Malta,,,,,,,,
119,127,Marshall Islands,,,,,,,,
120,135,Martinique,,,,,,,,
121,136,Mauritania,,,,,,,,
122,137,Mauritius,,,,,,,,
123,138,Mexico,,,,,,,,
124,141,Mongolia,,,,,,,,
125,273,Montenegro,,,,,,,,
126,142,Montserrat,,,,,,,,
127,143,Morocco,,,,,,,,
128,144,Mozambique,,,,,,,,
129,28,Myanmar,,,,,,,,
130,147,Namibia,,,,,,,,
