Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
2,Afghanistan,27.0,"Rice, paddy",5312.0,Area harvested,1961.0,1961.0,ha,
3,Albania,,,72245.0,Implied emission factor for CH4 (Rice cultivation),1962.0,1962.0,g CH4/m2,F
4,Algeria,,,72255.0,Emissions (CH4) (Rice cultivation),1963.0,1963.0,gigagrams,*
7,Angola,,,72315.0,Emissions (CO2eq) (Rice cultivation),1964.0,1964.0,,Fc
9,Argentina,,,,,1965.0,1965.0,,Im
10,Australia,,,,,1966.0,1966.0,,A
52,Azerbaijan,,,,,1967.0,1967.0,,
16,Bangladesh,,,,,1968.0,1968.0,,
23,Belize,,,,,1969.0,1969.0,,
53,Benin,,,,,1970.0,1970.0,,
18,Bhutan,,,,,1971.0,1971.0,,
19,Bolivia (Plurinational State of),,,,,1972.0,1972.0,,
21,Brazil,,,,,1973.0,1973.0,,
26,Brunei Darussalam,,,,,1974.0,1974.0,,
27,Bulgaria,,,,,1975.0,1975.0,,
233,Burkina Faso,,,,,1976.0,1976.0,,
29,Burundi,,,,,1977.0,1977.0,,
115,Cambodia,,,,,1978.0,1978.0,,
32,Cameroon,,,,,1979.0,1979.0,,
37,Central African Republic,,,,,1980.0,1980.0,,
39,Chad,,,,,1981.0,1981.0,,
40,Chile,,,,,1982.0,1982.0,,
351,China,,,,,1983.0,1983.0,,
96,"China, Hong Kong SAR",,,,,1984.0,1984.0,,
41,"China, mainland",,,,,1985.0,1985.0,,
214,"China, Taiwan Province of",,,,,1986.0,1986.0,,
44,Colombia,,,,,1987.0,1987.0,,
45,Comoros,,,,,1988.0,1988.0,,
46,Congo,,,,,1989.0,1989.0,,
48,Costa Rica,,,,,1990.0,1990.0,,
107,Côte d'Ivoire,,,,,1991.0,1991.0,,
49,Cuba,,,,,1992.0,1992.0,,
116,Democratic People's Republic of Korea,,,,,1993.0,1993.0,,
250,Democratic Republic of the Congo,,,,,1994.0,1994.0,,
56,Dominican Republic,,,,,1995.0,1995.0,,
58,Ecuador,,,,,1996.0,1996.0,,
59,Egypt,,,,,1997.0,1997.0,,
60,El Salvador,,,,,1998.0,1998.0,,
209,Eswatini,,,,,1999.0,1999.0,,
238,Ethiopia,,,,,2000.0,2000.0,,
66,Fiji,,,,,2001.0,2001.0,,
68,France,,,,,2002.0,2002.0,,
69,French Guiana,,,,,2003.0,2003.0,,
74,Gabon,,,,,2004.0,2004.0,,
75,Gambia,,,,,2005.0,2005.0,,
81,Ghana,,,,,2006.0,2006.0,,
84,Greece,,,,,2007.0,2007.0,,
89,Guatemala,,,,,2008.0,2008.0,,
90,Guinea,,,,,2009.0,2009.0,,
175,Guinea-Bissau,,,,,2010.0,2010.0,,
91,Guyana,,,,,2011.0,2011.0,,
93,Haiti,,,,,2012.0,2012.0,,
95,Honduras,,,,,2013.0,2013.0,,
97,Hungary,,,,,2014.0,2014.0,,
100,India,,,,,2015.0,2015.0,,
101,Indonesia,,,,,2016.0,2016.0,,
102,Iran (Islamic Republic of),,,,,2017.0,2017.0,,
103,Iraq,,,,,2030.0,2030.0,,
106,Italy,,,,,2050.0,2050.0,,
109,Jamaica,,,,,,,,
110,Japan,,,,,,,,
108,Kazakhstan,,,,,,,,
114,Kenya,,,,,,,,
113,Kyrgyzstan,,,,,,,,
120,Lao People's Democratic Republic,,,,,,,,
123,Liberia,,,,,,,,
129,Madagascar,,,,,,,,
130,Malawi,,,,,,,,
131,Malaysia,,,,,,,,
133,Mali,,,,,,,,
136,Mauritania,,,,,,,,
137,Mauritius,,,,,,,,
138,Mexico,,,,,,,,
145,Micronesia (Federated States of),,,,,,,,
143,Morocco,,,,,,,,
144,Mozambique,,,,,,,,
28,Myanmar,,,,,,,,
149,Nepal,,,,,,,,
157,Nicaragua,,,,,,,,
158,Niger,,,,,,,,
159,Nigeria,,,,,,,,
154,North Macedonia,,,,,,,,
164,Pacific Islands Trust Territory,,,,,,,,
165,Pakistan,,,,,,,,
166,Panama,,,,,,,,
168,Papua New Guinea,,,,,,,,
169,Paraguay,,,,,,,,
170,Peru,,,,,,,,
171,Philippines,,,,,,,,
174,Portugal,,,,,,,,
177,Puerto Rico,,,,,,,,
117,Republic of Korea,,,,,,,,
182,Réunion,,,,,,,,
183,Romania,,,,,,,,
185,Russian Federation,,,,,,,,
184,Rwanda,,,,,,,,
191,Saint Vincent and the Grenadines,,,,,,,,
194,Saudi Arabia,,,,,,,,
195,Senegal,,,,,,,,
197,Sierra Leone,,,,,,,,
25,Solomon Islands,,,,,,,,
201,Somalia,,,,,,,,
202,South Africa,,,,,,,,
203,Spain,,,,,,,,
38,Sri Lanka,,,,,,,,
276,Sudan,,,,,,,,
206,Sudan (former),,,,,,,,
207,Suriname,,,,,,,,
212,Syrian Arab Republic,,,,,,,,
208,Tajikistan,,,,,,,,
216,Thailand,,,,,,,,
176,Timor-Leste,,,,,,,,
217,Togo,,,,,,,,
220,Trinidad and Tobago,,,,,,,,
223,Turkey,,,,,,,,
213,Turkmenistan,,,,,,,,
226,Uganda,,,,,,,,
230,Ukraine,,,,,,,,
215,United Republic of Tanzania,,,,,,,,
231,United States of America,,,,,,,,
234,Uruguay,,,,,,,,
228,USSR,,,,,,,,
235,Uzbekistan,,,,,,,,
236,Venezuela (Bolivarian Republic of),,,,,,,,
237,Viet Nam,,,,,,,,
248,Yugoslav SFR,,,,,,,,
251,Zambia,,,,,,,,
181,Zimbabwe,,,,,,,,
5000,World,,,,,,,,
5100,Africa,,,,,,,,
5101,Eastern Africa,,,,,,,,
5102,Middle Africa,,,,,,,,
5103,Northern Africa,,,,,,,,
5104,Southern Africa,,,,,,,,
5105,Western Africa,,,,,,,,
5200,Americas,,,,,,,,
5203,Northern America,,,,,,,,
5204,Central America,,,,,,,,
5206,Caribbean,,,,,,,,
5207,South America,,,,,,,,
5300,Asia,,,,,,,,
5301,Central Asia,,,,,,,,
5302,Eastern Asia,,,,,,,,
5303,Southern Asia,,,,,,,,
