,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
0,2,Afghanistan,6646.0,Forest land,5110.0,Area,1990.0,1990.0,1000 ha,F
1,3,Albania,6750.0,Net Forest conversion,71952.0,Implied emission factor for CO2,1991.0,1991.0,tonnes CO2/ha,Fp
2,4,Algeria,6749.0,,72332.0,Net emissions/removals (CO2) (Forest land),1992.0,1992.0,gigagrams,Fc
3,5,American Samoa,,,72172.0,Net emissions/removal (CO2eq) (Forest land),1993.0,1993.0,,A
4,6,Andorra,,,,,1994.0,1994.0,,
5,7,Angola,,,,,1995.0,1995.0,,
6,258,Anguilla,,,,,1996.0,1996.0,,
7,8,Antigua and Barbuda,,,,,1997.0,1997.0,,
8,9,Argentina,,,,,1998.0,1998.0,,
9,1,Armenia,,,,,1999.0,1999.0,,
10,22,Aruba,,,,,2000.0,2000.0,,
11,10,Australia,,,,,2001.0,2001.0,,
12,11,Austria,,,,,2002.0,2002.0,,
13,52,Azerbaijan,,,,,2003.0,2003.0,,
14,12,Bahamas,,,,,2004.0,2004.0,,
15,13,Bahrain,,,,,2005.0,2005.0,,
16,16,Bangladesh,,,,,2006.0,2006.0,,
17,14,Barbados,,,,,2007.0,2007.0,,
18,57,Belarus,,,,,2008.0,2008.0,,
19,255,Belgium,,,,,2009.0,2009.0,,
20,15,Belgium-Luxembourg,,,,,2010.0,2010.0,,
21,23,Belize,,,,,2011.0,2011.0,,
22,53,Benin,,,,,2012.0,2012.0,,
23,17,Bermuda,,,,,2013.0,2013.0,,
24,18,Bhutan,,,,,2014.0,2014.0,,
25,19,Bolivia (Plurinational State of),,,,,2015.0,2015.0,,
26,80,Bosnia and Herzegovina,,,,,2016.0,2016.0,,
27,20,Botswana,,,,,2017.0,2017.0,,
28,21,Brazil,,,,,,,,
29,239,British Virgin Islands,,,,,,,,
30,26,Brunei Darussalam,,,,,,,,
31,27,Bulgaria,,,,,,,,
32,233,Burkina Faso,,,,,,,,
33,29,Burundi,,,,,,,,
34,35,Cabo Verde,,,,,,,,
35,115,Cambodia,,,,,,,,
36,32,Cameroon,,,,,,,,
37,33,Canada,,,,,,,,
38,36,Cayman Islands,,,,,,,,
39,37,Central African Republic,,,,,,,,
40,39,Chad,,,,,,,,
41,259,Channel Islands,,,,,,,,
42,40,Chile,,,,,,,,
43,351,China,,,,,,,,
44,41,"China, mainland",,,,,,,,
45,44,Colombia,,,,,,,,
46,45,Comoros,,,,,,,,
47,46,Congo,,,,,,,,
48,47,Cook Islands,,,,,,,,
49,48,Costa Rica,,,,,,,,
50,107,Côte d'Ivoire,,,,,,,,
51,98,Croatia,,,,,,,,
52,49,Cuba,,,,,,,,
53,50,Cyprus,,,,,,,,
54,167,Czechia,,,,,,,,
55,51,Czechoslovakia,,,,,,,,
56,116,Democratic People's Republic of Korea,,,,,,,,
57,250,Democratic Republic of the Congo,,,,,,,,
58,54,Denmark,,,,,,,,
