Unnamed: 0,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
0,3,Albania,6727.0,Cropland organic soils,5026.0,Area,1990.0,1990.0,ha,Fc
1,7,Angola,,,72410.0,Implied emission factor for C (Cropland),1991.0,1991.0,tonnes C/ha,A
2,9,Argentina,,,72160.0,Net stock change (C) (Cropland),1992.0,1992.0,gigagrams,
3,10,Australia,,,72330.0,Net emissions/removals (CO2) (Cropland),1993.0,1993.0,,
4,11,Austria,,,72170.0,Net emissions/removal (CO2eq) (Cropland),1994.0,1994.0,,
5,16,Bangladesh,,,,,1995.0,1995.0,,
6,57,Belarus,,,,,1996.0,1996.0,,
7,255,Belgium,,,,,1997.0,1997.0,,
8,15,Belgium-Luxembourg,,,,,1998.0,1998.0,,
9,23,Belize,,,,,1999.0,1999.0,,
10,80,Bosnia and Herzegovina,,,,,2000.0,2000.0,,
11,20,Botswana,,,,,2001.0,2001.0,,
12,21,Brazil,,,,,2002.0,2002.0,,
13,26,Brunei Darussalam,,,,,2003.0,2003.0,,
14,27,Bulgaria,,,,,2004.0,2004.0,,
15,29,Burundi,,,,,2005.0,2005.0,,
16,32,Cameroon,,,,,2006.0,2006.0,,
17,33,Canada,,,,,2007.0,2007.0,,
18,37,Central African Republic,,,,,2008.0,2008.0,,
19,40,Chile,,,,,2009.0,2009.0,,
20,351,China,,,,,2010.0,2010.0,,
21,41,"China, mainland",,,,,2011.0,2011.0,,
22,44,Colombia,,,,,2012.0,2012.0,,
23,46,Congo,,,,,2013.0,2013.0,,
24,48,Costa Rica,,,,,2014.0,2014.0,,
25,107,Côte d'Ivoire,,,,,2015.0,2015.0,,
26,98,Croatia,,,,,2016.0,2016.0,,
27,167,Czechia,,,,,2017.0,2017.0,,
28,51,Czechoslovakia,,,,,,,,
29,116,Democratic People's Republic of Korea,,,,,,,,
30,250,Democratic Republic of the Congo,,,,,,,,
31,54,Denmark,,,,,,,,
32,58,Ecuador,,,,,,,,
33,61,Equatorial Guinea,,,,,,,,
34,178,Eritrea,,,,,,,,
35,63,Estonia,,,,,,,,
36,238,Ethiopia,,,,,,,,
37,62,Ethiopia PDR,,,,,,,,
38,65,Falkland Islands (Malvinas),,,,,,,,
39,64,Faroe Islands,,,,,,,,
40,66,Fiji,,,,,,,,
41,67,Finland,,,,,,,,
42,68,France,,,,,,,,
43,69,French Guiana,,,,,,,,
44,74,Gabon,,,,,,,,
45,79,Germany,,,,,,,,
46,81,Ghana,,,,,,,,
47,84,Greece,,,,,,,,
48,90,Guinea,,,,,,,,
49,175,Guinea-Bissau,,,,,,,,
50,91,Guyana,,,,,,,,
51,97,Hungary,,,,,,,,
52,100,India,,,,,,,,
53,101,Indonesia,,,,,,,,
54,104,Ireland,,,,,,,,
55,264,Isle of Man,,,,,,,,
56,106,Italy,,,,,,,,
57,109,Jamaica,,,,,,,,
58,110,Japan,,,,,,,,
59,114,Kenya,,,,,,,,
60,119,Latvia,,,,,,,,
61,123,Liberia,,,,,,,,
62,126,Lithuania,,,,,,,,
63,256,Luxembourg,,,,,,,,
64,129,Madagascar,,,,,,,,
65,130,Malawi,,,,,,,,
66,131,Malaysia,,,,,,,,
67,141,Mongolia,,,,,,,,
68,273,Montenegro,,,,,,,,
69,28,Myanmar,,,,,,,,
70,147,Namibia,,,,,,,,
71,149,Nepal,,,,,,,,
72,150,Netherlands,,,,,,,,
73,156,New Zealand,,,,,,,,
74,157,Nicaragua,,,,,,,,
75,162,Norway,,,,,,,,
76,166,Panama,,,,,,,,
77,168,Papua New Guinea,,,,,,,,
78,170,Peru,,,,,,,,
79,173,Poland,,,,,,,,
80,174,Portugal,,,,,,,,
81,177,Puerto Rico,,,,,,,,
82,146,Republic of Moldova,,,,,,,,
83,183,Romania,,,,,,,,
84,185,Russian Federation,,,,,,,,
85,184,Rwanda,,,,,,,,
86,272,Serbia,,,,,,,,
87,186,Serbia and Montenegro,,,,,,,,
88,199,Slovakia,,,,,,,,
89,198,Slovenia,,,,,,,,
90,25,Solomon Islands,,,,,,,,
91,202,South Africa,,,,,,,,
92,277,South Sudan,,,,,,,,
93,203,Spain,,,,,,,,
94,38,Sri Lanka,,,,,,,,
95,206,Sudan (former),,,,,,,,
96,207,Suriname,,,,,,,,
97,210,Sweden,,,,,,,,
98,211,Switzerland,,,,,,,,
99,216,Thailand,,,,,,,,
100,223,Turkey,,,,,,,,
101,226,Uganda,,,,,,,,
102,230,Ukraine,,,,,,,,
103,229,United Kingdom,,,,,,,,
104,215,United Republic of Tanzania,,,,,,,,
105,231,United States of America,,,,,,,,
106,234,Uruguay,,,,,,,,
107,228,USSR,,,,,,,,
108,236,Venezuela (Bolivarian Republic of),,,,,,,,
109,237,Viet Nam,,,,,,,,
110,248,Yugoslav SFR,,,,,,,,
111,251,Zambia,,,,,,,,
112,5000,World,,,,,,,,
113,5100,Africa,,,,,,,,
114,5101,Eastern Africa,,,,,,,,
115,5102,Middle Africa,,,,,,,,
116,5103,Northern Africa,,,,,,,,
117,5104,Southern Africa,,,,,,,,
118,5105,Western Africa,,,,,,,,
119,5200,Americas,,,,,,,,
120,5203,Northern America,,,,,,,,
121,5204,Central America,,,,,,,,
122,5206,Caribbean,,,,,,,,
123,5207,South America,,,,,,,,
124,5300,Asia,,,,,,,,
125,5302,Eastern Asia,,,,,,,,
126,5303,Southern Asia,,,,,,,,
127,5304,South-Eastern Asia,,,,,,,,
128,5305,Western Asia,,,,,,,,
129,5400,Europe,,,,,,,,
130,5401,Eastern Europe,,,,,,,,
131,5402,Northern Europe,,,,,,,,
132,5403,Southern Europe,,,,,,,,
133,5404,Western Europe,,,,,,,,
134,5500,Oceania,,,,,,,,
135,5501,Australia and New Zealand,,,,,,,,
136,5502,Melanesia,,,,,,,,
137,5706,European Union,,,,,,,,
138,5801,Least Developed Countries,,,,,,,,
139,5802,Land Locked Developing Countries,,,,,,,,
140,5803,Small Island Developing States,,,,,,,,
141,5815,Low Income Food Deficit Countries,,,,,,,,
142,5817,Net Food Importing Developing Countries,,,,,,,,
143,5848,Annex I countries,,,,,,,,
144,5849,Non-Annex I countries,,,,,,,,
145,5873,OECD,,,,,,,,
