Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
2,Afghanistan,2617.0,Apples and products,5510.0,Production,1961.0,1961.0,tonnes,S
3,Albania,2615.0,Bananas,5610.0,Import Quantity,1962.0,1962.0,,A
4,Algeria,2513.0,Barley and products,5910.0,Export Quantity,1963.0,1963.0,,SD
7,Angola,2656.0,Beer,5300.0,Domestic supply quantity,1964.0,1964.0,,
8,Antigua and Barbuda,2658.0,"Beverages, Alcoholic",5120.0,Losses,1965.0,1965.0,,
9,Argentina,2600.0,Brans,5141.0,Food supply quantity (tonnes),1966.0,1966.0,,
1,Armenia,2520.0,"Cereals, Other",5071.0,Stock Variation,1967.0,1967.0,,
10,Australia,2614.0,"Citrus, Other",5520.0,Feed,1968.0,1968.0,,
11,Austria,2633.0,Cocoa Beans and products,5525.0,Seed,1969.0,1969.0,,
52,Azerbaijan,2560.0,Coconuts - Incl Copra,5153.0,Other uses,1970.0,1970.0,,
12,Bahamas,2630.0,Coffee and products,5130.0,Processing,1971.0,1971.0,,
16,Bangladesh,2661.0,Cotton lint,,,1972.0,1972.0,,
14,Barbados,2559.0,Cottonseed,,,1973.0,1973.0,,
57,Belarus,2594.0,Cottonseed Cake,,,1974.0,1974.0,,
255,Belgium,2575.0,Cottonseed Oil,,,1975.0,1975.0,,
15,Belgium-Luxembourg,2619.0,Dates,,,1976.0,1976.0,,
23,Belize,2625.0,"Fruits, Other",,,1977.0,1977.0,,
53,Benin,2620.0,Grapes and products (excl wine),,,1978.0,1978.0,,
17,Bermuda,2572.0,Groundnut Oil,,,1979.0,1979.0,,
19,Bolivia (Plurinational State of),2680.0,Infant food,,,1980.0,1980.0,,
80,Bosnia and Herzegovina,2662.0,Jute,,,1981.0,1981.0,,
20,Botswana,2514.0,Maize and products,,,1982.0,1982.0,,
21,Brazil,2517.0,Millet and products,,,1983.0,1983.0,,
26,Brunei Darussalam,2544.0,Molasses,,,1984.0,1984.0,,
27,Bulgaria,2551.0,Nuts and products,,,1985.0,1985.0,,
233,Burkina Faso,2586.0,"Oilcrops Oil, Other",,,1986.0,1986.0,,
35,Cabo Verde,2570.0,"Oilcrops, Other",,,1987.0,1987.0,,
115,Cambodia,2598.0,"Oilseed Cakes, Other",,,1988.0,1988.0,,
32,Cameroon,2580.0,Olive Oil,,,1989.0,1989.0,,
33,Canada,2563.0,Olives (including preserved),,,1990.0,1990.0,,
37,Central African Republic,2611.0,"Oranges, Mandarines",,,1991.0,1991.0,,
39,Chad,2577.0,Palm Oil,,,1992.0,1992.0,,
40,Chile,2640.0,Pepper,,,1993.0,1993.0,,
96,"China, Hong Kong SAR",2618.0,Pineapples and products,,,1994.0,1994.0,,
128,"China, Macao SAR",2531.0,Potatoes and products,,,1995.0,1995.0,,
41,"China, mainland",2549.0,"Pulses, Other and products",,,1996.0,1996.0,,
214,"China, Taiwan Province of",2574.0,Rape and Mustard Oil,,,1997.0,1997.0,,
44,Colombia,2805.0,Rice (Milled Equivalent),,,1998.0,1998.0,,
46,Congo,2804.0,Rice (Paddy Equivalent),,,1999.0,1999.0,,
48,Costa Rica,2815.0,Roots & Tuber Dry Equiv,,,2000.0,2000.0,,
107,Côte d'Ivoire,2561.0,Sesame seed,,,2001.0,2001.0,,
98,Croatia,2597.0,Sesameseed Cake,,,2002.0,2002.0,,
49,Cuba,2579.0,Sesameseed Oil,,,2003.0,2003.0,,
50,Cyprus,2571.0,Soyabean Oil,,,2004.0,2004.0,,
167,Czechia,2645.0,"Spices, Other",,,2005.0,2005.0,,
51,Czechoslovakia,2542.0,Sugar (Raw Equivalent),,,2006.0,2006.0,,
116,Democratic People's Republic of Korea,2537.0,Sugar beet,,,2007.0,2007.0,,
54,Denmark,2536.0,Sugar cane,,,2008.0,2008.0,,
72,Djibouti,2827.0,"Sugar, Raw Equivalent",,,2009.0,2009.0,,
55,Dominica,2818.0,"Sugar, Refined Equiv",,,2010.0,2010.0,,
56,Dominican Republic,2557.0,Sunflower seed,,,2011.0,2011.0,,
58,Ecuador,2592.0,Sunflowerseed Cake,,,2012.0,2012.0,,
59,Egypt,2573.0,Sunflowerseed Oil,,,2013.0,2013.0,,
60,El Salvador,2543.0,"Sweeteners, Other",,,,,,
63,Estonia,2635.0,Tea (including mate),,,,,,
238,Ethiopia,2671.0,Tobacco,,,,,,
62,Ethiopia PDR,2601.0,Tomatoes and products,,,,,,
66,Fiji,2605.0,"Vegetables, Other",,,,,,
67,Finland,2511.0,Wheat and products,,,,,,
68,France,2655.0,Wine,,,,,,
70,French Polynesia,2924.0,Alcoholic Beverages,,,,,,
74,Gabon,2905.0,Cereals - Excluding Beer,,,,,,
75,Gambia,2919.0,Fruits - Excluding Wine,,,,,,
73,Georgia,2928.0,Miscellaneous,,,,,,
79,Germany,2913.0,Oilcrops,,,,,,
81,Ghana,2911.0,Pulses,,,,,,
84,Greece,2923.0,Spices,,,,,,
86,Grenada,2907.0,Starchy Roots,,,,,,
89,Guatemala,2922.0,Stimulants,,,,,,
