Unnamed: 0,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
0,2,Afghanistan,221.0,"Almonds, with shell",5312.0,Area harvested,1975.0,1975.0,ha,F
1,3,Albania,711.0,"Anise, badian, fennel, coriander",5419.0,Yield,1976.0,1976.0,hg/ha,Im
2,4,Algeria,515.0,Apples,5510.0,Production,1977.0,1977.0,tonnes,
3,5,American Samoa,526.0,Apricots,,,1978.0,1978.0,,*
4,7,Angola,44.0,Barley,,,1979.0,1979.0,,Fc
5,8,Antigua and Barbuda,558.0,Berries nes,,,1980.0,1980.0,,M
6,9,Argentina,767.0,Cotton lint,,,1981.0,1981.0,,A
7,1,Armenia,329.0,Cottonseed,,,1982.0,1982.0,,
8,10,Australia,569.0,Figs,,,1983.0,1983.0,,
9,11,Austria,512.0,"Fruit, citrus nes",,,1984.0,1984.0,,
10,52,Azerbaijan,619.0,"Fruit, fresh nes",,,1985.0,1985.0,,
11,12,Bahamas,541.0,"Fruit, stone nes",,,1986.0,1986.0,,
12,13,Bahrain,560.0,Grapes,,,1987.0,1987.0,,
13,16,Bangladesh,333.0,Linseed,,,1988.0,1988.0,,
14,14,Barbados,56.0,Maize,,,1989.0,1989.0,,
15,57,Belarus,568.0,"Melons, other (inc.cantaloupes)",,,1990.0,1990.0,,
16,255,Belgium,79.0,Millet,,,1991.0,1991.0,,
17,15,Belgium-Luxembourg,234.0,"Nuts, nes",,,1992.0,1992.0,,
18,23,Belize,260.0,Olives,,,1993.0,1993.0,,
19,53,Benin,403.0,"Onions, dry",,,1994.0,1994.0,,
20,17,Bermuda,490.0,Oranges,,,1995.0,1995.0,,
21,18,Bhutan,534.0,Peaches and nectarines,,,1996.0,1996.0,,
22,19,Bolivia (Plurinational State of),521.0,Pears,,,1997.0,1997.0,,
23,80,Bosnia and Herzegovina,223.0,Pistachios,,,1998.0,1998.0,,
24,20,Botswana,536.0,Plums and sloes,,,1999.0,1999.0,,
25,21,Brazil,116.0,Potatoes,,,2000.0,2000.0,,
26,239,British Virgin Islands,211.0,"Pulses, nes",,,2001.0,2001.0,,
27,26,Brunei Darussalam,27.0,"Rice, paddy",,,2002.0,2002.0,,
28,27,Bulgaria,328.0,Seed cotton,,,2003.0,2003.0,,
29,233,Burkina Faso,289.0,Sesame seed,,,2004.0,2004.0,,
30,29,Burundi,723.0,"Spices, nes",,,2005.0,2005.0,,
31,35,Cabo Verde,157.0,Sugar beet,,,2006.0,2006.0,,
32,115,Cambodia,156.0,Sugar cane,,,2007.0,2007.0,,
33,32,Cameroon,267.0,Sunflower seed,,,2008.0,2008.0,,
34,33,Canada,463.0,"Vegetables, fresh nes",,,2009.0,2009.0,,
35,36,Cayman Islands,222.0,"Walnuts, with shell",,,2010.0,2010.0,,
36,37,Central African Republic,567.0,Watermelons,,,2011.0,2011.0,,
37,39,Chad,15.0,Wheat,,,2012.0,2012.0,,
38,40,Chile,1817.0,Cereals (Rice Milled Eqv),,,2013.0,2013.0,,
39,351,China,1717.0,"Cereals,Total",,,2014.0,2014.0,,
40,96,"China, Hong Kong SAR",1804.0,"Citrus Fruit,Total",,,2015.0,2015.0,,
41,128,"China, Macao SAR",1814.0,"Coarse Grain, Total",,,2016.0,2016.0,,
42,41,"China, mainland",1753.0,Fibre Crops Primary,,,2017.0,2017.0,,
43,214,"China, Taiwan Province of",1738.0,Fruit Primary,,,1961.0,1961.0,,
44,44,Colombia,1841.0,"Oilcrops, Cake Equivalent",,,1962.0,1962.0,,
45,45,Comoros,1732.0,"Oilcrops, Oil Equivalent",,,1963.0,1963.0,,
46,46,Congo,1726.0,"Pulses,Total",,,1964.0,1964.0,,
47,47,Cook Islands,1720.0,"Roots and Tubers,Total",,,1965.0,1965.0,,
48,48,Costa Rica,1729.0,"Treenuts,Total",,,1966.0,1966.0,,
49,107,Côte d'Ivoire,1735.0,Vegetables Primary,,,1967.0,1967.0,,
50,98,Croatia,176.0,"Beans, dry",,,1968.0,1968.0,,
51,49,Cuba,414.0,"Beans, green",,,1969.0,1969.0,,
52,50,Cyprus,181.0,"Broad beans, horse beans, dry",,,1970.0,1970.0,,
53,167,Czechia,358.0,Cabbages and other brassicas,,,1971.0,1971.0,,
54,51,Czechoslovakia,426.0,Carrots and turnips,,,1972.0,1972.0,,
55,116,Democratic People's Republic of Korea,393.0,Cauliflowers and broccoli,,,1973.0,1973.0,,
56,250,Democratic Republic of the Congo,531.0,Cherries,,,1974.0,1974.0,,
57,54,Denmark,530.0,"Cherries, sour",,,,,,
58,72,Djibouti,220.0,Chestnut,,,,,,
59,55,Dominica,401.0,"Chillies and peppers, green",,,,,,
60,56,Dominican Republic,397.0,Cucumbers and gherkins,,,,,,
61,58,Ecuador,577.0,Dates,,,,,,
62,59,Egypt,399.0,Eggplants (aubergines),,,,,,
63,60,El Salvador,406.0,Garlic,,,,,,
64,61,Equatorial Guinea,677.0,Hops,,,,,,
65,178,Eritrea,407.0,"Leeks, other alliaceous vegetables",,,,,,
66,63,Estonia,497.0,Lemons and limes,,,,,,
67,209,Eswatini,372.0,Lettuce and chicory,,,,,,
68,238,Ethiopia,449.0,Mushrooms and truffles,,,,,,
