,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Flag
0,4,Algeria,1882.0,"Agricult.Products, Total",64.0,Import Value Base Period Quantity,2017.0,2017.0,1000 $,Fc
1,5,American Samoa,1982.0,Food Excl Fish,65.0,Import Value Base Period Price,,,index,
2,7,Angola,,,94.0,Export Value Base Quantity,,,,
3,8,Antigua and Barbuda,,,95.0,Export Value Base Price,,,,
4,9,Argentina,,,462.0,Import Value Index (2004-2006 = 100),,,,
5,1,Armenia,,,464.0,Import Unit/Value Index (2004-2006 = 100),,,,
6,22,Aruba,,,465.0,Import Quantity Index (2004-2006 = 100),,,,
7,10,Australia,,,492.0,Export Value Index (2004-2006 = 100),,,,
8,11,Austria,,,494.0,Export Unit/Value Index (2004-2006 = 100),,,,
9,52,Azerbaijan,,,495.0,Export Quantity Index (2004-2006 = 100),,,,
10,12,Bahamas,,,,,,,,
11,16,Bangladesh,,,,,,,,
12,14,Barbados,,,,,,,,
13,57,Belarus,,,,,,,,
14,23,Belize,,,,,,,,
15,53,Benin,,,,,,,,
16,17,Bermuda,,,,,,,,
17,19,Bolivia (Plurinational State of),,,,,,,,
18,20,Botswana,,,,,,,,
19,21,Brazil,,,,,,,,
20,26,Brunei Darussalam,,,,,,,,
21,27,Bulgaria,,,,,,,,
22,233,Burkina Faso,,,,,,,,
23,29,Burundi,,,,,,,,
24,32,Cameroon,,,,,,,,
25,33,Canada,,,,,,,,
26,37,Central African Republic,,,,,,,,
27,39,Chad,,,,,,,,
28,40,Chile,,,,,,,,
29,96,"China, Hong Kong SAR",,,,,,,,
30,128,"China, Macao SAR",,,,,,,,
31,41,"China, mainland",,,,,,,,
32,214,"China, Taiwan Province of",,,,,,,,
33,44,Colombia,,,,,,,,
34,45,Comoros,,,,,,,,
35,46,Congo,,,,,,,,
36,47,Cook Islands,,,,,,,,
37,48,Costa Rica,,,,,,,,
38,107,Côte d'Ivoire,,,,,,,,
39,49,Cuba,,,,,,,,
40,50,Cyprus,,,,,,,,
41,116,Democratic People's Republic of Korea,,,,,,,,
42,250,Democratic Republic of the Congo,,,,,,,,
43,54,Denmark,,,,,,,,
44,72,Djibouti,,,,,,,,
45,55,Dominica,,,,,,,,
46,56,Dominican Republic,,,,,,,,
47,58,Ecuador,,,,,,,,
48,59,Egypt,,,,,,,,
49,60,El Salvador,,,,,,,,
50,63,Estonia,,,,,,,,
51,209,Eswatini,,,,,,,,
52,64,Faroe Islands,,,,,,,,
53,66,Fiji,,,,,,,,
54,67,Finland,,,,,,,,
55,68,France,,,,,,,,
56,70,French Polynesia,,,,,,,,
57,74,Gabon,,,,,,,,
58,75,Gambia,,,,,,,,
59,73,Georgia,,,,,,,,
60,79,Germany,,,,,,,,
61,81,Ghana,,,,,,,,
62,84,Greece,,,,,,,,
63,86,Grenada,,,,,,,,
64,89,Guatemala,,,,,,,,
65,90,Guinea,,,,,,,,
66,175,Guinea-Bissau,,,,,,,,
67,91,Guyana,,,,,,,,
68,93,Haiti,,,,,,,,
69,95,Honduras,,,,,,,,
70,97,Hungary,,,,,,,,
71,99,Iceland,,,,,,,,
72,100,India,,,,,,,,
73,101,Indonesia,,,,,,,,
74,102,Iran (Islamic Republic of),,,,,,,,
75,103,Iraq,,,,,,,,
76,104,Ireland,,,,,,,,
77,105,Israel,,,,,,,,
78,106,Italy,,,,,,,,
79,109,Jamaica,,,,,,,,
80,110,Japan,,,,,,,,
81,112,Jordan,,,,,,,,
82,108,Kazakhstan,,,,,,,,
83,114,Kenya,,,,,,,,
84,118,Kuwait,,,,,,,,
85,113,Kyrgyzstan,,,,,,,,
86,120,Lao People's Democratic Republic,,,,,,,,
87,119,Latvia,,,,,,,,
88,121,Lebanon,,,,,,,,
89,122,Lesotho,,,,,,,,
90,126,Lithuania,,,,,,,,
91,129,Madagascar,,,,,,,,
92,130,Malawi,,,,,,,,
93,131,Malaysia,,,,,,,,
94,133,Mali,,,,,,,,
95,134,Malta,,,,,,,,
96,136,Mauritania,,,,,,,,
97,137,Mauritius,,,,,,,,
98,138,Mexico,,,,,,,,
99,141,Mongolia,,,,,,,,
100,143,Morocco,,,,,,,,
101,144,Mozambique,,,,,,,,
102,147,Namibia,,,,,,,,
103,148,Nauru,,,,,,,,
104,149,Nepal,,,,,,,,
105,150,Netherlands,,,,,,,,
106,153,New Caledonia,,,,,,,,
107,156,New Zealand,,,,,,,,
108,157,Nicaragua,,,,,,,,
109,158,Niger,,,,,,,,
110,159,Nigeria,,,,,,,,
111,160,Niue,,,,,,,,
112,162,Norway,,,,,,,,
113,165,Pakistan,,,,,,,,
114,299,Palestine,,,,,,,,
115,166,Panama,,,,,,,,
116,168,Papua New Guinea,,,,,,,,
117,169,Paraguay,,,,,,,,
118,170,Peru,,,,,,,,
119,171,Philippines,,,,,,,,
120,173,Poland,,,,,,,,
121,174,Portugal,,,,,,,,
122,117,Republic of Korea,,,,,,,,
123,146,Republic of Moldova,,,,,,,,
124,183,Romania,,,,,,,,
125,185,Russian Federation,,,,,,,,
126,184,Rwanda,,,,,,,,
