name,standardized_name,db_entity_id
"United Republic of Tanzania, Zanzibar","United Republic of Tanzania, Zanzibar",35031
Bulgaria,Bulgaria,39
Finland,Finland,155
Nicaragua,Nicaragua,105
Saint-Martin (French Part),Saint Martin (French part),280
United Arab Emirates,United Arab Emirates,72
Guinea,Guinea,147
Hungary,Hungary,138
Lebanon,Lebanon,124
Nepal ,Nepal,107
Non-Annex I countries,Non-Annex I countries,34991
Channel Islands,Channel Islands,304
Aruba,Aruba,219
Austria,Austria,24
Republic of Moldova ,Moldova,111
Haiti,Haiti,145
Syrian Arab Republic,Syria,77
Azerbaijan ,Azerbaijan,25
Venezuela (Bolivarian Republic of),Venezuela,238
Marshall Islands,Marshall Islands,223
Cocos (Keeling) Islands,Cocos Islands,263
Nauru,Nauru,218
Venezuela (Bolivarian Republic of) ,Venezuela,238
East Asia (exc China),East Asia (exc China),35099
Bosnia and Herzegovina,Bosnia and Herzegovina,35
Eastern Asia,Eastern Asia,467
Guam,Guam,254
North Africa (exc Sudan),North Africa (exc Sudan),35098
Chad,Chad,173
European Union,European Union,318
Jamaica,Jamaica,132
Uzbekistan,Uzbekistan,62
Bangladesh,Bangladesh,28
EU(12)ex.int,EU(12)ex.int,35026
Panama ,Panama,100
The former Yugoslav Republic of Macedonia,Macedonia,66
South-Eastern Asia,South Eastern Asia,36360
Liberia,Liberia,121
Belgium-Luxembourg,Belgium-Luxembourg,34978
Dominican Republic,Dominican Republic,160
Mexico,Mexico,113
Falkland Islands (Malvinas),Falkland Islands,249
Northern Europe,Northern Europe,474
Sudan (former) ,Sudan,79
Haiti ,Haiti,145
Eswatini,Swaziland,78
Åland Islands,Aland Islands,61373
Isle of Man,Isle of Man,265
Eastern Africa,Eastern Africa,462
Netherlands,Netherlands,5
Serbia and Montenegro,Serbia,88
Kiribati,Kiribati,204
Luxembourg,Luxembourg,210
Afghanistan,Afghanistan,15
Cabo Verde,Cape Verde,45
EU(15)ex.int,EU(12)ex.int,35026
Ghana ,Ghana,150
"China, Hong Kong SAR",Hong Kong,144
Switzerland,Switzerland,7
Poland,Poland,11
Uganda,Uganda,68
Western Europe,"Europe, Western",439
Bhutan,Bhutan,33
Polynesia,French Polynesia,203
South Africa,South Africa,81
Oceania excluding Australia and New Zealand,Oceania (excluding Australia and New Zealand),36415
San Marino,San Marino,231
Americas,Americas,290
South Sudan,South Sudan,258
Yemen,Yemen,61
USSR,Russia,12
Somalia,Somalia,82
Guinea-Bissau,Guinea-Bissau,94
Egypt,Egypt,65
Zimbabwe,Zimbabwe,80
Sudan,Sudan,79
Bermuda,Bermuda,194
Eastern Asia and South-eastern Asia,Eastern and South-Eastern Asia,36461
Heard and McDonald Islands,Heard Island and McDonald Islands,350
Least Developed Countries,Least Developed Countries,79334
Botswana,Botswana,36
Qatar,Qatar,226
Mali,Mali,115
French Guiana,French Guiana,253
Cook Islands,Cook Islands,199
Greece,Greece,149
Niue,Niue,261
South America,South America,295
Kenya ,Kenya,129
Togo ,Togo,74
Fiji,Fiji,202
Central African Republic,Central African Republic,174
United States Virgin Islands,United States Virgin Islands,256
Barbados,Barbados,29
Niger,Niger,104
Mauritania,Mauritania,114
Spain,Spain,9
Asia,Asia,275
Oman,Oman,217
Namibia,Namibia,108
Central Asia and Southern Asia,Central and Southern Asia,36460
EU(25)ex.int,EU(12)ex.int,35026
Tonga,Tonga,235
Puerto Rico,Puerto Rico,93
Papua New Guinea,Papua New Guinea,99
Guadeloupe,Guadeloupe,252
Eastern Europe,Eastern Europe,473
EU(27)ex.int,EU(12)ex.int,35026
Morocco,Morocco,110
Gibraltar,Gibraltar,251
Turkey,Turkey,70
Côte d'Ivoire ,Cote d'Ivoire,143
Johnston Island,Johnston Island,35106
Burundi,Burundi,41
Honduras,Honduras,139
Tokelau,Tokelau,287
Rwanda,Rwanda,91
Low income economies,Low income economies,5402
Nigeria,Nigeria,103
Guatemala,Guatemala,148
Land Locked Developing Countries,Land Locked Developing Countries,34987
Albania ,Albania,16
New Caledonia,New Caledonia,220
Australia,Australia,23
"China, Macao SAR",Macao,262
Malta,Malta,212
Algeria,Algeria,17
Micronesia,Micronesia,35355
Antarctica,Antarctica,346
Sri Lanka ,Sri Lanka,141
Gabon,Gabon,153
Bangladesh ,Bangladesh,28
Burkina Faso,Burkina Faso,40
Viet Nam ,Vietnam,84
Svalbard and Jan Mayen Islands,Svalbard and Jan Mayen,298
Czechoslovakia,Czechoslovakia,267
Western Asia and Northern Africa,Northern Africa and Western Asia,36463
Montenegro,Montenegro,215
Caribbean,Caribbean,436
Palestine,Palestine,140
Senegal,Senegal,89
Croatia,Croatia,165
Congo,Congo,168
"Saint Helena, Ascension and Tristan da Cunha",Saint Helena,260
Hungary ,Hungary,138
Saint Lucia,Saint Lucia,229
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,230
Antigua and Barbuda,Antigua and Barbuda,20
