country,year,variable,value
Asia,1990,Annual CO2 emissions from other industry,17623174.0
Asia,1991,Annual CO2 emissions from other industry,17000641.0
Asia,1992,Annual CO2 emissions from other industry,15125109.0
Asia,1993,Annual CO2 emissions from other industry,14649810.0
Asia,1994,Annual CO2 emissions from other industry,14127672.0
Asia,1995,Annual CO2 emissions from other industry,14120951.0
Asia,1996,Annual CO2 emissions from other industry,13564901.0
Asia,1997,Annual CO2 emissions from other industry,14049316.0
Asia,1998,Annual CO2 emissions from other industry,14045371.0
Asia,1999,Annual CO2 emissions from other industry,14222453.0
Asia,2000,Annual CO2 emissions from other industry,14316535.0
Asia,2001,Annual CO2 emissions from other industry,14078376.0
Asia,2002,Annual CO2 emissions from other industry,14440338.0
Asia,2003,Annual CO2 emissions from other industry,15385445.0
Asia,2004,Annual CO2 emissions from other industry,15418632.0
Asia,2005,Annual CO2 emissions from other industry,17342329.0
Asia,2006,Annual CO2 emissions from other industry,18814706.0
Asia,2007,Annual CO2 emissions from other industry,18955397.0
Asia,2008,Annual CO2 emissions from other industry,17947503.0
Asia,2009,Annual CO2 emissions from other industry,14948445.0
Asia,2010,Annual CO2 emissions from other industry,16186700.0
Asia,2011,Annual CO2 emissions from other industry,16616760.0
Asia,2012,Annual CO2 emissions from other industry,16895390.0
Asia,2013,Annual CO2 emissions from other industry,19891617.0
Asia,2014,Annual CO2 emissions from other industry,18928125.0
Asia,2015,Annual CO2 emissions from other industry,18795698.0
Asia,2016,Annual CO2 emissions from other industry,17984441.0
Asia,2017,Annual CO2 emissions from other industry,18783903.0
Asia,2018,Annual CO2 emissions from other industry,18353024.0
Asia,2019,Annual CO2 emissions from other industry,18353024.0
Asia (excl. China & India),1990,Annual CO2 emissions from other industry,17623174.0
Asia (excl. China & India),1991,Annual CO2 emissions from other industry,17000641.0
Asia (excl. China & India),1992,Annual CO2 emissions from other industry,15125109.0
Asia (excl. China & India),1993,Annual CO2 emissions from other industry,14649810.0
Asia (excl. China & India),1994,Annual CO2 emissions from other industry,14127672.0
Asia (excl. China & India),1995,Annual CO2 emissions from other industry,14120951.0
Asia (excl. China & India),1996,Annual CO2 emissions from other industry,13564901.0
Asia (excl. China & India),1997,Annual CO2 emissions from other industry,14049316.0
Asia (excl. China & India),1998,Annual CO2 emissions from other industry,14045371.0
Asia (excl. China & India),1999,Annual CO2 emissions from other industry,14222453.0
Asia (excl. China & India),2000,Annual CO2 emissions from other industry,14316535.0
Asia (excl. China & India),2001,Annual CO2 emissions from other industry,14078376.0
Asia (excl. China & India),2002,Annual CO2 emissions from other industry,14440338.0
Asia (excl. China & India),2003,Annual CO2 emissions from other industry,15385445.0
Asia (excl. China & India),2004,Annual CO2 emissions from other industry,15418632.0
Asia (excl. China & India),2005,Annual CO2 emissions from other industry,17342329.0
Asia (excl. China & India),2006,Annual CO2 emissions from other industry,18814706.0
Asia (excl. China & India),2007,Annual CO2 emissions from other industry,18955397.0
Asia (excl. China & India),2008,Annual CO2 emissions from other industry,17947503.0
