year,country,value
2018,China,8.08
2019,China,8.093
2020,China,8.106
2021,China,8.119
2022,China,8.132
2023,China,8.144
2024,China,8.156
2025,China,8.167
2026,China,8.179
2027,China,8.191
2028,China,8.203
2029,China,8.215
2030,China,8.227
2018,North Korea,5.773
2019,North Korea,5.7589999999999995
2020,North Korea,5.744
2021,North Korea,5.73
2022,North Korea,5.7170000000000005
2023,North Korea,5.702999999999999
2024,North Korea,5.69
2025,North Korea,5.678
2026,North Korea,5.665
2027,North Korea,5.653
2028,North Korea,5.641
2029,North Korea,5.629
2030,North Korea,5.617000000000001
2018,Taiwan,6.625
2019,Taiwan,6.625
2020,Taiwan,6.624
2021,Taiwan,6.622999999999999
2022,Taiwan,6.62
2023,Taiwan,6.617000000000001
2024,Taiwan,6.615
2025,Taiwan,6.611000000000001
2026,Taiwan,6.603
2027,Taiwan,6.591
2028,Taiwan,6.579
2029,Taiwan,6.572
2030,Taiwan,6.563
2018,Cambodia,1.6880000000000002
2019,Cambodia,1.702
2020,Cambodia,1.7169999999999999
2021,Cambodia,1.7309999999999999
2022,Cambodia,1.746
2023,Cambodia,1.761
2024,Cambodia,1.776
2025,Cambodia,1.7919999999999998
2026,Cambodia,1.807
2027,Cambodia,1.8230000000000002
2028,Cambodia,1.839
2029,Cambodia,1.855
2030,Cambodia,1.8719999999999999
2018,Indonesia,1.3530000000000002
2019,Indonesia,1.354
2020,Indonesia,1.354
2021,Indonesia,1.355
2022,Indonesia,1.355
2023,Indonesia,1.3559999999999999
2024,Indonesia,1.3559999999999999
2025,Indonesia,1.357
2026,Indonesia,1.357
2027,Indonesia,1.358
2028,Indonesia,1.359
2029,Indonesia,1.359
2030,Indonesia,1.36
2018,Laos,1.797
2019,Laos,1.795
2020,Laos,1.794
2021,Laos,1.7919999999999998
2022,Laos,1.79
2023,Laos,1.7890000000000001
2024,Laos,1.787
2025,Laos,1.785
2026,Laos,1.784
2027,Laos,1.7819999999999998
2028,Laos,1.781
2029,Laos,1.78
2030,Laos,1.778
2018,Malaysia,1.368
2019,Malaysia,1.368
2020,Malaysia,1.368
2021,Malaysia,1.368
2022,Malaysia,1.368
2023,Malaysia,1.368
2024,Malaysia,1.368
2025,Malaysia,1.368
2026,Malaysia,1.368
2027,Malaysia,1.368
2028,Malaysia,1.368
2029,Malaysia,1.367
2030,Malaysia,1.367
2018,Maldives,1.396
2019,Maldives,1.3940000000000001
2020,Maldives,1.392
2021,Maldives,1.39
2022,Maldives,1.3880000000000001
2023,Maldives,1.3869999999999998
2024,Maldives,1.385
2025,Maldives,1.3840000000000001
2026,Maldives,1.383
2027,Maldives,1.382
2028,Maldives,1.38
2029,Maldives,1.379
2030,Maldives,1.3780000000000001
2018,Myanmar,1.244
2019,Myanmar,1.2429999999999999
2020,Myanmar,1.242
2021,Myanmar,1.242
2022,Myanmar,1.2409999999999999
2023,Myanmar,1.24
2024,Myanmar,1.239
2025,Myanmar,1.238
2026,Myanmar,1.237
2027,Myanmar,1.236
2028,Myanmar,1.235
2029,Myanmar,1.235
2030,Myanmar,1.234
2018,Philippines,1.986
2019,Philippines,1.985
2020,Philippines,1.984
2021,Philippines,1.983
2022,Philippines,1.982
2023,Philippines,1.982
2024,Philippines,1.982
2025,Philippines,1.982
2026,Philippines,1.9809999999999999
2027,Philippines,1.9809999999999999
2028,Philippines,1.9809999999999999
2029,Philippines,1.9809999999999999
2030,Philippines,1.9809999999999999
2018,Sri Lanka,1.551
2019,Sri Lanka,1.56
2020,Sri Lanka,1.569
2021,Sri Lanka,1.578
2022,Sri Lanka,1.587
2023,Sri Lanka,1.5959999999999999
2024,Sri Lanka,1.6059999999999999
2025,Sri Lanka,1.615
2026,Sri Lanka,1.624
2027,Sri Lanka,1.6340000000000001
2028,Sri Lanka,1.643
2029,Sri Lanka,1.652
2030,Sri Lanka,1.662
2018,Thailand,1.8780000000000001
2019,Thailand,1.876
2020,Thailand,1.874
2021,Thailand,1.8719999999999999
2022,Thailand,1.87
2023,Thailand,1.868
2024,Thailand,1.867
2025,Thailand,1.865
2026,Thailand,1.8630000000000002
2027,Thailand,1.861
2028,Thailand,1.859
2029,Thailand,1.858
2030,Thailand,1.8559999999999999
2018,Timor-Leste,1.3530000000000002
2019,Timor-Leste,1.355
2020,Timor-Leste,1.358
2021,Timor-Leste,1.36
2022,Timor-Leste,1.3619999999999999
2023,Timor-Leste,1.364
2024,Timor-Leste,1.367
2025,Timor-Leste,1.369
2026,Timor-Leste,1.3719999999999999
2027,Timor-Leste,1.374
2028,Timor-Leste,1.376
2029,Timor-Leste,1.379
2030,Timor-Leste,1.381
2018,Vietnam,1.85
2019,Vietnam,1.8659999999999999
2020,Vietnam,1.883
2021,Vietnam,1.9
2022,Vietnam,1.916
2023,Vietnam,1.933
2024,Vietnam,1.95
2025,Vietnam,1.9680000000000002
2026,Vietnam,1.985
2027,Vietnam,2.003
2028,Vietnam,2.021
2029,Vietnam,2.039
2030,Vietnam,2.057
2018,Fiji,3.391
2019,Fiji,3.398
2020,Fiji,3.406
