Country,Year,undesa_five_year_change_in_international_migrants_by_destination
World,1995,8303819
Sub-Saharan Africa,1995,989096
Northern Africa and Western Asia,1995,1303295
Central and Southern Asia,1995,-4920809
Eastern and South-Eastern Asia,1995,1503924
Latin America and the Caribbean,1995,-474418
Oceania (excluding Australia and New Zealand),1995,21902
Australia and New Zealand,1995,268687
Europe and Northern America,1995,9612142
Developed regions,1995,10167883
Less developed regions,1995,-1864064
"Less developed regions, excluding least developed countries",1995,-2485620
"Less developed regions, excluding China",1995,-2175108
Least developed countries,1995,621556
Land-locked Developing Countries (LLDC),1995,-1842786
Small island developing States (SIDS),1995,446141
High-income countries,1995,11601476
Middle-income countries,1995,-3157639
Upper-middle-income countries,1995,-75660
Lower-middle-income countries,1995,-3081979
Low-income countries,1995,-197582
Africa,1995,667411
Eastern Africa,1995,-981539
Burundi,1995,-78257
Comoros,1995,-140
Djibouti,1995,-22447
Eritrea,1995,552
Ethiopia,1995,-348486
Kenya,1995,320656
Madagascar,1995,-2740
Malawi,1995,-886100
Mauritius,1995,3880
Mayotte,1995,11087
Mozambique,1995,45924
Reunion,1995,19949
Rwanda,1995,55711
Seychelles,1995,1427
Somalia,1995,-458767
Uganda,1995,62714
Tanzania,1995,532018
Zambia,1995,-35125
Zimbabwe,1995,-203395
Middle Africa,1995,1201335
Angola,1995,6296
Cameroon,1995,-21176
Central African Republic,1995,32478
Chad,1995,15242
Congo,1995,62244
Democratic Republic of Congo,1995,1062769
Equatorial Guinea,1995,889
Gabon,1995,43239
Sao Tome and Principe,1995,-646
Northern Africa,1995,-321685
Algeria,1995,-11922
Egypt,1995,-6878
Libya,1995,50966
Morocco,1995,-4535
Sudan,1995,-349500
Tunisia,1995,-117
Western Sahara,1995,301
Southern Africa,1995,-193557
Botswana,1995,12658
Eswatini,1995,-39834
Lesotho,1995,-1036
Namibia,1995,-5269
South Africa,1995,-160076
Western Africa,1995,962857
Benin,1995,28952
Burkina Faso,1995,114452
Cape Verde,1995,1048
Cote d'Ivoire,1995,259968
Gambia,1995,32767
Ghana,1995,88028
Guinea,1995,370884
Guinea-Bissau,1995,12593
Liberia,1995,113599
Mali,1995,15451
Mauritania,1995,-22088
Niger,1995,30535
Nigeria,1995,6378
Saint Helena,1995,-61
Senegal,1995,17244
Sierra Leone,1995,-123632
Togo,1995,16739
Asia,1995,-1791905
Central Asia,1995,-725888
Kazakhstan,1995,-367232
