Country,Year,undesa_net_number_of_migrants
World,1955,1
More developed regions,1955,128609
Less developed regions,1955,-128608
Least developed countries,1955,-500341
"Less developed regions, excluding least developed countries",1955,371733
"Less developed regions, excluding China",1955,-84446
Land-locked Developing Countries (LLDC),1955,489194
Small Island Developing States (SIDS),1955,-504045
High-income countries,1955,1215432
Middle-income countries,1955,-203824
Upper-middle-income countries,1955,-566222
Lower-middle-income countries,1955,362398
Low-income countries,1955,-1006641
No income group available,1955,-4966
Africa,1955,-609683
Asia,1955,993748
Europe,1955,-1751713
Latin America and the Caribbean,1955,-473777
Northern America,1955,1421903
Oceania,1955,419523
Sub-Saharan Africa,1955,-186573
Eastern Africa,1955,-100487
Burundi,1955,-69947
Comoros,1955,0
Djibouti,1955,999
Eritrea,1955,997
Ethiopia,1955,-19999
Kenya,1955,0
Madagascar,1955,0
Malawi,1955,0
Mauritius,1955,2662
Mayotte,1955,2619
Mozambique,1955,-23500
Reunion,1955,2545
Rwanda,1955,0
Seychelles,1955,-2373
Somalia,1955,0
South Sudan,1955,0
Uganda,1955,0
 Tanzania,1955,10017
Zambia,1955,0
Zimbabwe,1955,-4507
Middle Africa,1955,-6140
Angola,1955,0
Cameroon,1955,0
Central African Republic,1955,0
Chad,1955,0
Congo,1955,0
Democratic Republic of Congo,1955,0
Equatorial Guinea,1955,0
Gabon,1955,2999
Sao Tome and Principe,1955,-9139
Southern Africa,1955,-25871
Botswana,1955,-7655
Eswatini,1955,-5676
Lesotho,1955,-20000
Namibia,1955,0
South Africa,1955,7460
Western Africa,1955,-54075
Benin,1955,-23001
Burkina Faso,1955,-102159
Cape Verde,1955,-5926
Cote d'Ivoire,1955,69380
Gambia,1955,0
Ghana,1955,60002
Guinea,1955,0
Guinea-Bissau,1955,-10001
Liberia,1955,-13
Mali,1955,-35031
Mauritania,1955,-1300
Niger,1955,5001
Nigeria,1955,3368
Senegal,1955,33033
Sierra Leone,1955,0
Togo,1955,-46919
Northern Africa and Western Asia,1955,-160184
Northern Africa,1955,-423110
Algeria,1955,-359943
Egypt,1955,-50100
Libya,1955,0
Morocco,1955,0
Sudan,1955,0
Tunisia,1955,-18667
Western Sahara,1955,5600
Western Asia,1955,262926
Armenia,1955,49863
Azerbaijan,1955,0
Bahrain,1955,3080
Cyprus,1955,-13800
Georgia,1955,44882
Iraq,1955,-550
Israel,1955,236870
Jordan,1955,123094
Kuwait,1955,3850
Lebanon,1955,1615
Oman,1955,-10000
Qatar,1955,5687
Saudi Arabia,1955,26289
Palestine,1955,-68816
Syria,1955,-70000
Turkey,1955,-19000
United Arab Emirates,1955,-138
Yemen,1955,-50000
 Central and Southern Asia,1955,525786
Central Asia,1955,768007
Kazakhstan,1955,511180
Kyrgyzstan,1955,17524
Tajikistan,1955,58359
Turkmenistan,1955,8725
Uzbekistan,1955,172219
Southern Asia,1955,-242221
Afghanistan,1955,-20000
Bangladesh,1955,-55096
Bhutan,1955,5000
India,1955,-105701
Iran,1955,-1088
Maldives,1955,-22
Nepal,1955,-40559
Pakistan,1955,-8255
Sri Lanka,1955,-16500
 Eastern and South-Eastern Asia,1955,205036
Eastern Asia,1955,-179625
China,1955,-256027
Hong Kong,1955,149239
Macao,1955,-32375
 Taiwan,1955,95002
North Korea,1955,-568413
Japan,1955,0
Mongolia,1955,0
South Korea,1955,432950
South-Eastern Asia,1955,384661
Brunei,1955,6699
Cambodia,1955,0
Indonesia,1955,378717
Laos,1955,-10
Malaysia,1955,-17181
Myanmar,1955,0
Philippines,1955,-49122
Singapore,1955,65558
Thailand,1955,0
Timor-Leste,1955,0
Vietnam,1955,0
Latin America and the Caribbean,1955,-473777
Caribbean,1955,-505484
Antigua and Barbuda,1955,-973
Aruba,1955,-1580
Bahamas,1955,-921
Barbados,1955,-5960
Cuba,1955,-30000
Curacao,1955,2619
Dominican Republic,1955,-18957
Grenada,1955,-6100
Guadeloupe,1955,-2805
Haiti,1955,-29999
Jamaica,1955,-38941
Martinique,1955,-8004
Puerto Rico,1955,-335936
Saint Lucia,1955,-8729
Saint Vincent and the Grenadines,1955,-5228
Trinidad and Tobago,1955,-3821
United States Virgin Islands,1955,-302
Central America,1955,-321848
Belize,1955,-2956
Costa Rica,1955,4912
El Salvador,1955,-62152
Guatemala,1955,-2865
Honduras,1955,-2001
Mexico,1955,-231909
Nicaragua,1955,-10810
Panama,1955,-14066
South America,1955,353555
Argentina,1955,280091
Bolivia,1955,-23860
Brazil,1955,298175
Chile,1955,-123955
Colombia,1955,-208405
Ecuador,1955,-2000
French Guiana,1955,231
Guyana,1955,1676
Paraguay,1955,-79370
Peru,1955,-15500
Suriname,1955,-3423
Uruguay,1955,10000
Venezuela,1955,220074
Australia/New Zealand,1955,458419
Australia,1955,396007
New Zealand,1955,62412
Oceania (excluding Australia and New Zealand),1955,-38896
Melanesia,1955,-21080
Fiji,1955,-7225
New Caledonia,1955,-3462
Papua New Guinea,1955,-12324
Solomon Islands,1955,2826
Vanuatu,1955,-895
Micronesia (country),1955,-5175
Guam,1955,-3842
Kiribati,1955,-646
Micronesia (region),1955,456
Polynesia,1955,-12641
French Polynesia,1955,-1286
Samoa,1955,-4981
Tonga,1955,-1343
Europe and Northern America,1955,-329810
Europe,1955,-1751713
Eastern Europe,1955,-170984
Belarus,1955,-388179
Bulgaria,1955,-100895
Czechia,1955,59997
Hungary,1955,24754
Poland,1955,0
Moldova,1955,90096
Romania,1955,-2001
Russia,1955,32795
Slovakia,1955,68523
Ukraine,1955,43926
Northern Europe,1955,-598684
Channel Islands,1955,2186
Denmark,1955,-18280
Estonia,1955,36999
Finland,1955,-32540
Iceland,1955,-413
Ireland,1955,-170354
Latvia,1955,28718
Lithuania,1955,-73350
Norway,1955,-3962
Sweden,1955,52052
United Kingdom,1955,-415028
Southern Europe,1955,-1170242
Albania,1955,-99
Bosnia and Herzegovina,1955,-50002
Croatia,1955,-18
Greece,1955,-70009
Italy,1955,-236164
Malta,1955,-29215
Montenegro,1955,9999
North Macedonia,1955,0
Portugal,1955,-307374
Serbia,1955,35206
Slovenia,1955,-20000
Spain,1955,-505033
Western Europe,1955,188197
Austria,1955,-77999
Belgium,1955,53710
France,1955,214483
Germany,1955,-42001
Luxembourg,1955,5756
Netherlands,1955,-84929
Switzerland,1955,119036
Northern America,1955,1421903
Canada,1955,555781
United States,1955,867763
World,1960,0
More developed regions,1960,142046
Less developed regions,1960,-142046
Least developed countries,1960,-646494
"Less developed regions, excluding least developed countries",1960,504448
"Less developed regions, excluding China",1960,-207733
Land-locked Developing Countries (LLDC),1960,784908
Small Island Developing States (SIDS),1960,-541831
High-income countries,1960,2418273
Middle-income countries,1960,-1951782
Upper-middle-income countries,1960,-1514093
Lower-middle-income countries,1960,-437689
Low-income countries,1960,-469450
No income group available,1960,2959
Africa,1960,-736133
Asia,1960,1658823
Europe,1960,-2885098
Latin America and the Caribbean,1960,-1138508
