year,country,value
2010,Guinea-Bissau,44.1
2010,Jordan,1.8
2010,Lesotho,21.3
2010,Nepal,28.6
2010,Sao Tome and Principe,26.7
2010,Tuvalu,4.5
2010,Vanuatu,18.5
2011,Bosnia and Herzegovina,5.1
2011,Chad,67.9
2011,"Congo, Rep",13.4
2011,Germany,0.0
2011,Lebanon,9.2
2011,Senegal,41.2
2011,Sierra Leone,42.5
2011,Tanzania,60.6
2012,Albania,0.4
2012,"Congo, Dem. Rep",28.7
2012,Guinea,53.7
2012,Haiti,23.2
2012,Iraq,13.6
2012,Lao PDR,13.4
2012,Madagascar,82.5
2013,Burundi,66.3
2013,Comoros,15.3
2013,Fiji,0.8
2013,"Micronesia, Fed. Sts",8.7
2013,Morocco,12.7
2013,Seychelles,94.9
2013,Solomon Islands,11.4
2014,Bulgaria,1.2
2014,Burkina Faso,64.7
2014,Cameroon,24.4
2014,Guatemala,24.8
2014,Iceland,0.2
2014,Mauritania,54.3
2014,Montenegro,0.1
2014,Mozambique,54.9
2014,Nicaragua,14.1
2014,Niger,70.6
2014,South Africa,2.3
2014,Timor-Leste,21.2
2014,Ukraine,0.5
2014,Vietnam,5.9
2014,"Yemen, Rep",15.9
2015,Austria,0.0
2015,Belgium,1.9
2015,Benin,61.6
2015,Botswana,8.3
2015,Cote d'Ivoire,53.2
2015,Croatia,0.2
2015,Cyprus,1.6
2015,Czech Republic,0.0
2015,Denmark,0.9
2015,"Egypt, Arab Rep",11.5
2015,Estonia,0.1
2015,Ethiopia,66.7
2015,Finland,0.9
2015,France,1.1
2015,"Gambia, The",29.9
2015,Greece,2.2
2015,Hungary,0.1
2015,Ireland,0.8
2015,Italy,1.5
2015,Kenya,22.5
2015,Latvia,0.3
2015,Lithuania,0.4
2015,Luxembourg,1.0
2015,Malta,0.5
2015,Myanmar,17.7
2015,Namibia,11.3
2015,Netherlands,1.2
2015,North Macedonia,0.5
2015,Norway,1.4
2015,Pakistan,41.4
2015,Philippines,4.5
2015,Portugal,2.7
2015,Russian Federation,0.2
2015,Serbia,4.2
2015,Slovak Republic,0.0
2015,Slovenia,0.0
2015,Spain,4.0
2015,Sweden,0.7
2015,Switzerland,0.0
2015,Tajikistan,0.3
2015,Togo,26.7
2015,Tunisia,20.2
2015,United Kingdom,0.5
2015,Zambia,24.4
2016,Bangladesh,22.0
2016,Dominican Republic,13.4
2016,Ghana,17.1
2016,Indonesia,5.0
2016,"Iran, Islamic Rep",4.6
2016,Liberia,30.5
2016,Malawi,43.4
2016,Mexico,4.5
2016,Mongolia,6.0
2016,Poland,0.1
2016,Romania,0.3
2016,Rwanda,37.0
2016,Sri Lanka,3.8
2016,Turkey,3.2
2016,Uganda,33.0
2016,West Bank and Gaza,1.2
2017,Argentina,1.5
2017,Armenia,0.1
2017,Belarus,0.3
2017,Bhutan,40.8
2017,Bolivia,16.2
2017,Brazil,17.4
2017,Chile,0.0
2017,Colombia,5.7
2017,Costa Rica,4.6
2017,Djibouti,29.7
2017,Ecuador,4.4
2017,El Salvador,27.1
2017,Gabon,11.3
2017,Georgia,0.1
2017,Honduras,12.3
2017,Kazakhstan,0.0
2017,Kosovo,0.5
2017,Kyrgyz Republic,0.1
2017,Moldova,0.1
2017,Paraguay,6.0
2017,Peru,5.7
2017,Thailand,14.8
2017,Uruguay,2.4
