country,year,value
WORLD,2020,366377.841
WORLD,2021,369614.169
WORLD,2022,372694.394
WORLD,2023,375595.697
WORLD,2024,378235.368
WORLD,2025,380542.827
WORLD,2026,382714.985
WORLD,2027,384617.523
WORLD,2028,386225.668
WORLD,2029,387496.983
WORLD,2030,388409.843
WORLD,2031,389184.228
WORLD,2032,389723.613
WORLD,2033,390014.102
WORLD,2034,390054.489
WORLD,2035,389926.613
WORLD,2036,390023.472
WORLD,2037,390156.865
WORLD,2038,390319.627
WORLD,2039,390526.595
WORLD,2040,390768.217
WORLD,2041,391318.27
WORLD,2042,391887.805
WORLD,2043,392485.376
WORLD,2044,393104.885
WORLD,2045,393694.191
WORLD,2046,394485.853
WORLD,2047,395237.651
WORLD,2048,395929.644
WORLD,2049,396532.952
WORLD,2050,397035.929
WORLD,2051,397776.07
WORLD,2052,398476.514
WORLD,2053,399115.639
WORLD,2054,399669.873
WORLD,2055,400092.093
WORLD,2056,400658.679
WORLD,2057,401099.842
WORLD,2058,401401.677
WORLD,2059,401538.526
WORLD,2060,401497.294
WORLD,2061,401627.554
WORLD,2062,401660.502
WORLD,2063,401581.713
WORLD,2064,401373.843
WORLD,2065,401011.111
WORLD,2066,400825.223
WORLD,2067,400544.305
WORLD,2068,400153.018
WORLD,2069,399634.421
WORLD,2070,398987.941
WORLD,2071,398612.904
WORLD,2072,398193.767
WORLD,2073,397714.129
WORLD,2074,397162.873
WORLD,2075,396516.199
WORLD,2076,396117.869
WORLD,2077,395652.567
WORLD,2078,395110.019
WORLD,2079,394475.308
WORLD,2080,393735.662
WORLD,2081,393244.403
WORLD,2082,392718.891
WORLD,2083,392144.594
WORLD,2084,391497.166
WORLD,2085,390738.575
WORLD,2086,390246.098
WORLD,2087,389699.472
WORLD,2088,389066.256
WORLD,2089,388319.233
WORLD,2090,387431.049
WORLD,2091,386796.967
WORLD,2092,386063.295
WORLD,2093,385215.81
WORLD,2094,384233.774
WORLD,2095,383102.33
WORLD,2096,382253.838
WORLD,2097,381325.584
WORLD,2098,380297.066
WORLD,2099,379152.429
WORLD,2100,377875.761
More developed regions,2020,41020.194
More developed regions,2021,41411.761
More developed regions,2022,41666.509
More developed regions,2023,41781.658
More developed regions,2024,41743.904
More developed regions,2025,41579.434
More developed regions,2026,41478.465
More developed regions,2027,41320.51
More developed regions,2028,41093.77
More developed regions,2029,40801.278
More developed regions,2030,40463.613
More developed regions,2031,40257.157
More developed regions,2032,40017.976
More developed regions,2033,39750.345
More developed regions,2034,39463.168
More developed regions,2035,39158.955
More developed regions,2036,39002.83
More developed regions,2037,38816.784
More developed regions,2038,38602.738
More developed regions,2039,38367.593
More developed regions,2040,38119.419
More developed regions,2041,38026.587
More developed regions,2042,37918.856
More developed regions,2043,37796.089
More developed regions,2044,37661.793
More developed regions,2045,37521.335
More developed regions,2046,37545.91
More developed regions,2047,37563.786
More developed regions,2048,37569.391
More developed regions,2049,37562.669
More developed regions,2050,37540.94
More developed regions,2051,37668.701
More developed regions,2052,37766.325
More developed regions,2053,37829.926
More developed regions,2054,37856.972
More developed regions,2055,37842.838
More developed regions,2056,37955.494
More developed regions,2057,38019.776
More developed regions,2058,38031.878
More developed regions,2059,37989.462
More developed regions,2060,37892.373
More developed regions,2061,37921.921
More developed regions,2062,37902.608
More developed regions,2063,37829.337
More developed regions,2064,37702.561
More developed regions,2065,37528.779
More developed regions,2066,37496.843
More developed regions,2067,37426.885
More developed regions,2068,37317.493
More developed regions,2069,37170.867
More developed regions,2070,36990.159
More developed regions,2071,36964.238
More developed regions,2072,36910.297
More developed regions,2073,36823.932
More developed regions,2074,36706.905
More developed regions,2075,36563.588
More developed regions,2076,36582.853
More developed regions,2077,36578.292
More developed regions,2078,36546.783
More developed regions,2079,36488.663
More developed regions,2080,36403.304
More developed regions,2081,36476.485
More developed regions,2082,36522.886
More developed regions,2083,36537.269
More developed regions,2084,36517.511
More developed regions,2085,36461.193
More developed regions,2086,36559.922
More developed regions,2087,36623.82
More developed regions,2088,36646.357
More developed regions,2089,36624.637
More developed regions,2090,36557.253
More developed regions,2091,36644.345
More developed regions,2092,36689.237
More developed regions,2093,36686.079
More developed regions,2094,36633.178
More developed regions,2095,36531.404
More developed regions,2096,36586.663
More developed regions,2097,36597.901
More developed regions,2098,36560.844
More developed regions,2099,36475.523
More developed regions,2100,36344.12
Less developed regions,2020,325357.647
Less developed regions,2021,328202.408
Less developed regions,2022,331027.885
Less developed regions,2023,333814.039
Less developed regions,2024,336491.464
Less developed regions,2025,338963.393
Less developed regions,2026,341236.52
Less developed regions,2027,343297.013
Less developed regions,2028,345131.898
Less developed regions,2029,346695.705
Less developed regions,2030,347946.23
Less developed regions,2031,348927.071
Less developed regions,2032,349705.637
Less developed regions,2033,350263.757
Less developed regions,2034,350591.321
Less developed regions,2035,350767.658
Less developed regions,2036,351020.642
Less developed regions,2037,351340.081
Less developed regions,2038,351716.889
Less developed regions,2039,352159.002
Less developed regions,2040,352648.798
Less developed regions,2041,353291.683
Less developed regions,2042,353968.949
Less developed regions,2043,354689.287
Less developed regions,2044,355443.092
Less developed regions,2045,356172.856
Less developed regions,2046,356939.943
Less developed regions,2047,357673.865
Less developed regions,2048,358360.253
Less developed regions,2049,358970.283
Less developed regions,2050,359494.989
Less developed regions,2051,360107.369
Less developed regions,2052,360710.189
Less developed regions,2053,361285.713
Less developed regions,2054,361812.901
Less developed regions,2055,362249.255
Less developed regions,2056,362703.185
Less developed regions,2057,363080.066
Less developed regions,2058,363369.799
Less developed regions,2059,363549.064
Less developed regions,2060,363604.921
Less developed regions,2061,363705.633
Less developed regions,2062,363757.894
Less developed regions,2063,363752.376
Less developed regions,2064,363671.282
Less developed regions,2065,363482.332
Less developed regions,2066,363328.38
Less developed regions,2067,363117.42
Less developed regions,2068,362835.525
Less developed regions,2069,362463.554
Less developed regions,2070,361997.782
Less developed regions,2071,361648.666
Less developed regions,2072,361283.47
Less developed regions,2073,360890.197
Less developed regions,2074,360455.968
Less developed regions,2075,359952.611
Less developed regions,2076,359535.016
Less developed regions,2077,359074.275
Less developed regions,2078,358563.236
Less developed regions,2079,357986.645
Less developed regions,2080,357332.358
Less developed regions,2081,356767.918
Less developed regions,2082,356196.005
Less developed regions,2083,355607.325
Less developed regions,2084,354979.655
Less developed regions,2085,354277.382
Less developed regions,2086,353686.176
Less developed regions,2087,353075.652
Less developed regions,2088,352419.899
