country;variable;percentile;year;value;age;pop
DE-SN;sfiinc992t;p90p100;1874;0.4432;992;t
DE-SN;sfiinc992t;p90p100;1875;0.4375;992;t
DE-SN;sfiinc992t;p90p100;1876;0.4317;992;t
DE-SN;sfiinc992t;p90p100;1877;0.4259;992;t
DE-SN;sfiinc992t;p90p100;1878;0.4202;992;t
DE-SN;sfiinc992t;p90p100;1879;0.4234;992;t
DE-SN;sfiinc992t;p90p100;1880;0.4267;992;t
DE-SN;sfiinc992t;p90p100;1881;0.4299;992;t
DE-SN;sfiinc992t;p90p100;1882;0.4315;992;t
DE-SN;sfiinc992t;p90p100;1883;0.433;992;t
DE-SN;sfiinc992t;p90p100;1884;0.4343;992;t
DE-SN;sfiinc992t;p90p100;1885;0.4355;992;t
DE-SN;sfiinc992t;p90p100;1886;0.4343;992;t
DE-SN;sfiinc992t;p90p100;1887;0.433;992;t
DE-SN;sfiinc992t;p90p100;1888;0.4348;992;t
DE-SN;sfiinc992t;p90p100;1889;0.4367;992;t
DE-SN;sfiinc992t;p90p100;1890;0.4385;992;t
DE-SN;sfiinc992t;p90p100;1891;0.4404;992;t
DE-SN;sfiinc992t;p90p100;1892;0.441;992;t
DE-SN;sfiinc992t;p90p100;1893;0.4416;992;t
DE-SN;sfiinc992t;p90p100;1894;0.4386;992;t
DE-SN;sfiinc992t;p90p100;1895;0.4355;992;t
DE-SN;sfiinc992t;p90p100;1896;0.4343;992;t
DE-SN;sfiinc992t;p90p100;1897;0.4331;992;t
DE-SN;sfiinc992t;p90p100;1898;0.4328;992;t
DE-SN;sfiinc992t;p90p100;1899;0.4325;992;t
DE-SN;sfiinc992t;p90p100;1900;0.4335;992;t
DE-SN;sfiinc992t;p90p100;1901;0.4345;992;t
DE-SN;sfiinc992t;p90p100;1902;0.4312;992;t
DE-SN;sfiinc992t;p90p100;1903;0.428;992;t
DE-SN;sfiinc992t;p90p100;1904;0.428;992;t
DE-SN;sfiinc992t;p90p100;1905;0.428;992;t
DE-SN;sfiinc992t;p90p100;1906;0.4269;992;t
DE-SN;sfiinc992t;p90p100;1907;0.4258;992;t
DE-SN;sfiinc992t;p90p100;1908;0.4277;992;t
DE-SN;sfiinc992t;p90p100;1909;0.4296;992;t
DE-SN;sfiinc992t;p90p100;1910;0.4279;992;t
DE-SN;sfiinc992t;p90p100;1911;0.4263;992;t
DE-SN;sfiinc992t;p90p100;1912;0.427;992;t
DE-SN;sfiinc992t;p90p100;1913;0.4276;992;t
DE-SN;sfiinc992t;p90p100;1914;0.4537;992;t
DE-SN;sfiinc992t;p90p100;1915;0.4797;992;t
DE-SN;sfiinc992t;p90p100;1916;0.4865;992;t
DE-SN;sfiinc992t;p90p100;1917;0.4933;992;t
DE-SN;sptinc992t;p95p100;1874;0.3425;992;t
DE-SN;sptinc992t;p95p100;1875;0.3361;992;t
DE-SN;sptinc992t;p95p100;1876;0.3298;992;t
DE-SN;sptinc992t;p95p100;1877;0.3234;992;t
DE-SN;sptinc992t;p95p100;1878;0.3171;992;t
DE-SN;sptinc992t;p95p100;1879;0.3206;992;t
DE-SN;sptinc992t;p95p100;1880;0.3242;992;t
DE-SN;sptinc992t;p95p100;1881;0.3277;992;t
DE-SN;sptinc992t;p95p100;1882;0.3303;992;t
DE-SN;sptinc992t;p95p100;1883;0.3328;992;t
DE-SN;sptinc992t;p95p100;1884;0.3345;992;t
DE-SN;sptinc992t;p95p100;1885;0.3363;992;t
DE-SN;sptinc992t;p95p100;1886;0.3358;992;t
DE-SN;sptinc992t;p95p100;1887;0.3352;992;t
DE-SN;sptinc992t;p95p100;1888;0.3379;992;t
DE-SN;sptinc992t;p95p100;1889;0.3406;992;t
DE-SN;sptinc992t;p95p100;1890;0.3423;992;t
DE-SN;sptinc992t;p95p100;1891;0.3441;992;t
DE-SN;sptinc992t;p95p100;1892;0.3442;992;t
DE-SN;sptinc992t;p95p100;1893;0.3443;992;t
DE-SN;sptinc992t;p95p100;1894;0.3428;992;t
DE-SN;sptinc992t;p95p100;1895;0.3413;992;t
DE-SN;sptinc992t;p95p100;1896;0.3409;992;t
DE-SN;sptinc992t;p95p100;1897;0.3406;992;t
DE-SN;sptinc992t;p95p100;1898;0.3406;992;t
DE-SN;sptinc992t;p95p100;1899;0.3407;992;t
DE-SN;sptinc992t;p95p100;1900;0.3409;992;t
DE-SN;sptinc992t;p95p100;1901;0.3411;992;t
DE-SN;sptinc992t;p95p100;1902;0.3373;992;t
DE-SN;sptinc992t;p95p100;1903;0.3335;992;t
DE-SN;sptinc992t;p95p100;1904;0.3335;992;t
DE-SN;sptinc992t;p95p100;1905;0.3335;992;t
DE-SN;sptinc992t;p95p100;1906;0.3336;992;t
DE-SN;sptinc992t;p95p100;1907;0.3337;992;t
DE-SN;sptinc992t;p95p100;1908;0.3348;992;t
DE-SN;sptinc992t;p95p100;1909;0.336;992;t
DE-SN;sptinc992t;p95p100;1910;0.3343;992;t
DE-SN;sptinc992t;p95p100;1911;0.3326;992;t
DE-SN;sptinc992t;p95p100;1912;0.3338;992;t
DE-SN;sptinc992t;p95p100;1913;0.335;992;t
DE-SN;sptinc992t;p95p100;1914;0.3578;992;t
DE-SN;sptinc992t;p95p100;1915;0.3806;992;t
DE-SN;sptinc992t;p95p100;1916;0.3898;992;t
DE-SN;sptinc992t;p95p100;1917;0.3991;992;t
DE-SN;sfiinc992t;p99.5p100;1874;0.1394;992;t
DE-SN;sfiinc992t;p99.5p100;1875;0.1338;992;t
DE-SN;sfiinc992t;p99.5p100;1876;0.1283;992;t
DE-SN;sfiinc992t;p99.5p100;1877;0.1228;992;t
DE-SN;sfiinc992t;p99.5p100;1878;0.1173;992;t
DE-SN;sfiinc992t;p99.5p100;1879;0.1204;992;t
DE-SN;sfiinc992t;p99.5p100;1880;0.1236;992;t
DE-SN;sfiinc992t;p99.5p100;1881;0.1267;992;t
DE-SN;sfiinc992t;p99.5p100;1882;0.1293;992;t
DE-SN;sfiinc992t;p99.5p100;1883;0.1319;992;t
DE-SN;sfiinc992t;p99.5p100;1884;0.1335;992;t
DE-SN;sfiinc992t;p99.5p100;1885;0.1351;992;t
DE-SN;sfiinc992t;p99.5p100;1886;0.1357;992;t
DE-SN;sfiinc992t;p99.5p100;1887;0.1364;992;t
DE-SN;sfiinc992t;p99.5p100;1888;0.1396;992;t
DE-SN;sfiinc992t;p99.5p100;1889;0.1428;992;t
DE-SN;sfiinc992t;p99.5p100;1890;0.1447;992;t
DE-SN;sfiinc992t;p99.5p100;1891;0.1466;992;t
DE-SN;sfiinc992t;p99.5p100;1892;0.146;992;t
DE-SN;sfiinc992t;p99.5p100;1893;0.1454;992;t
DE-SN;sfiinc992t;p99.5p100;1894;0.1462;992;t
DE-SN;sfiinc992t;p99.5p100;1895;0.1471;992;t
DE-SN;sfiinc992t;p99.5p100;1896;0.1481;992;t
DE-SN;sfiinc992t;p99.5p100;1897;0.1492;992;t
DE-SN;sfiinc992t;p99.5p100;1898;0.15;992;t
DE-SN;sfiinc992t;p99.5p100;1899;0.1508;992;t
DE-SN;sfiinc992t;p99.5p100;1900;0.1508;992;t
DE-SN;sfiinc992t;p99.5p100;1901;0.1507;992;t
DE-SN;sfiinc992t;p99.5p100;1902;0.1473;992;t
DE-SN;sfiinc992t;p99.5p100;1903;0.1439;992;t
DE-SN;sfiinc992t;p99.5p100;1904;0.1439;992;t
DE-SN;sfiinc992t;p99.5p100;1905;0.1439;992;t
DE-SN;sfiinc992t;p99.5p100;1906;0.1467;992;t
DE-SN;sfiinc992t;p99.5p100;1907;0.1495;992;t
DE-SN;sfiinc992t;p99.5p100;1908;0.1501;992;t
DE-SN;sfiinc992t;p99.5p100;1909;0.1507;992;t
DE-SN;sfiinc992t;p99.5p100;1910;0.149;992;t
DE-SN;sfiinc992t;p99.5p100;1911;0.1474;992;t
DE-SN;sfiinc992t;p99.5p100;1912;0.1481;992;t
DE-SN;sfiinc992t;p99.5p100;1913;0.1489;992;t
DE-SN;sfiinc992t;p99.5p100;1914;0.1613;992;t
DE-SN;sfiinc992t;p99.5p100;1915;0.1737;992;t
DE-SN;sfiinc992t;p99.5p100;1916;0.1903;992;t
