country;variable;percentile;year;value;age;pop
DO;sptinc992j;p0p72;1980;0.2364;992;j
DO;sptinc992j;p0p72;1981;0.2364;992;j
DO;sptinc992j;p0p72;1982;0.2364;992;j
DO;sptinc992j;p0p72;1983;0.2364;992;j
DO;sptinc992j;p0p72;1984;0.2364;992;j
DO;sptinc992j;p0p72;1985;0.2364;992;j
DO;sptinc992j;p0p72;1986;0.2364;992;j
DO;sptinc992j;p0p72;1987;0.2364;992;j
DO;sptinc992j;p0p72;1988;0.2364;992;j
DO;sptinc992j;p0p72;1989;0.2364;992;j
DO;sptinc992j;p0p72;1990;0.2364;992;j
DO;sptinc992j;p0p72;1991;0.2364;992;j
DO;sptinc992j;p0p72;1992;0.2364;992;j
DO;sptinc992j;p0p72;1993;0.2364;992;j
DO;sptinc992j;p0p72;1994;0.2364;992;j
DO;sptinc992j;p0p72;1995;0.2364;992;j
DO;sptinc992j;p0p72;1996;0.2364;992;j
DO;sptinc992j;p0p72;1997;0.2364;992;j
DO;sptinc992j;p0p72;1998;0.2364;992;j
DO;sptinc992j;p0p72;1999;0.2364;992;j
DO;sptinc992j;p0p72;2000;0.2364;992;j
DO;sptinc992j;p0p72;2001;0.2364;992;j
DO;sptinc992j;p0p72;2002;0.2364;992;j
DO;sptinc992j;p0p72;2003;0.2362;992;j
DO;sptinc992j;p0p72;2004;0.2421;992;j
DO;sptinc992j;p0p72;2005;0.2432;992;j
DO;sptinc992j;p0p72;2006;0.2377;992;j
DO;sptinc992j;p0p72;2007;0.234;992;j
DO;sptinc992j;p0p72;2008;0.2383;992;j
DO;sptinc992j;p0p72;2009;0.2453;992;j
DO;sptinc992j;p0p72;2010;0.2496;992;j
DO;sptinc992j;p0p72;2011;0.2503;992;j
DO;sptinc992j;p0p72;2012;0.2635;992;j
DO;sptinc992j;p0p72;2013;0.258;992;j
DO;sptinc992j;p0p72;2014;0.2619;992;j
DO;sptinc992j;p0p72;2015;0.265;992;j
