country;variable;percentile;year;value;age;pop
GD;afinrx992i;p0p100;1977;109.6;992;i
GD;afinrx992i;p0p100;1978;93.0;992;i
GD;afinrx992i;p0p100;1979;224.6;992;i
GD;afinrx992i;p0p100;1980;280.7;992;i
GD;afinrx992i;p0p100;1981;303.7;992;i
GD;afinrx992i;p0p100;1982;317.0;992;i
GD;afinrx992i;p0p100;1983;337.9;992;i
GD;afinrx992i;p0p100;1984;255.6;992;i
GD;afinrx992i;p0p100;1985;231.6;992;i
GD;afinrx992i;p0p100;1986;284.2;992;i
GD;afinrx992i;p0p100;1987;254.8;992;i
GD;afinrx992i;p0p100;1988;378.6;992;i
GD;afinrx992i;p0p100;1989;324.5;992;i
GD;afinrx992i;p0p100;1990;320.0;992;i
GD;afinrx992i;p0p100;1991;352.1;992;i
GD;afinrx992i;p0p100;1992;395.9;992;i
GD;afinrx992i;p0p100;1993;298.8;992;i
GD;afinrx992i;p0p100;1994;382.4;992;i
GD;afinrx992i;p0p100;1995;496.7;992;i
GD;afinrx992i;p0p100;1996;453.0;992;i
GD;afinrx992i;p0p100;1997;438.7;992;i
GD;afinrx992i;p0p100;1998;388.1;992;i
GD;afinrx992i;p0p100;1999;398.8;992;i
GD;afinrx992i;p0p100;2000;353.0;992;i
GD;afinrx992i;p0p100;2001;249.0;992;i
GD;afinrx992i;p0p100;2002;266.2;992;i
GD;afinrx992i;p0p100;2003;237.0;992;i
GD;afinrx992i;p0p100;2004;345.8;992;i
GD;afinrx992i;p0p100;2005;663.6;992;i
GD;afinrx992i;p0p100;2006;719.4;992;i
GD;afinrx992i;p0p100;2007;710.1;992;i
GD;afinrx992i;p0p100;2008;382.2;992;i
GD;afinrx992i;p0p100;2009;376.9;992;i
GD;afinrx992i;p0p100;2010;323.8;992;i
GD;afinrx992i;p0p100;2011;257.9;992;i
GD;afinrx992i;p0p100;2012;296.9;992;i
GD;afinrx992i;p0p100;2013;284.2;992;i
GD;afinrx992i;p0p100;2014;520.3;992;i
GD;afinrx992i;p0p100;2015;486.5;992;i
GD;afinrx992i;p0p100;2016;450.5;992;i
GD;afinrx992i;p0p100;2017;411.7;992;i
GD;afinrx992i;p0p100;2018;435.1;992;i
GD;anninc999i;p0p100;1970;5201.5;999;i
GD;anninc999i;p0p100;1971;5569.8;999;i
GD;anninc999i;p0p100;1972;5992.6;999;i
GD;anninc999i;p0p100;1973;6534.6;999;i
GD;anninc999i;p0p100;1974;6975.6;999;i
GD;anninc999i;p0p100;1975;7204.4;999;i
GD;anninc999i;p0p100;1976;7953.2;999;i
GD;anninc999i;p0p100;1977;8529.1;999;i
GD;anninc999i;p0p100;1978;9060.9;999;i
