country;variable;percentile;year;value;age;pop
GY;tptinc992j;p0p59;1980;0.0;992;j
GY;tptinc992j;p0p59;1981;0.0;992;j
GY;tptinc992j;p0p59;1982;0.0;992;j
GY;tptinc992j;p0p59;1983;0.0;992;j
GY;tptinc992j;p0p59;1984;0.0;992;j
GY;tptinc992j;p0p59;1985;0.0;992;j
GY;tptinc992j;p0p59;1986;0.0;992;j
GY;tptinc992j;p0p59;1987;0.0;992;j
GY;tptinc992j;p0p59;1988;0.0;992;j
GY;tptinc992j;p0p59;1989;0.0;992;j
GY;tptinc992j;p0p59;1990;0.0;992;j
GY;tptinc992j;p0p59;1991;0.0;992;j
GY;tptinc992j;p0p59;1992;0.0;992;j
GY;tptinc992j;p0p59;1993;0.0;992;j
GY;tptinc992j;p0p59;1994;0.0;992;j
GY;tptinc992j;p0p59;1995;0.0;992;j
GY;tptinc992j;p0p59;1996;0.0;992;j
GY;tptinc992j;p0p59;1997;0.0;992;j
GY;tptinc992j;p0p59;1998;0.0;992;j
GY;tptinc992j;p0p59;1999;0.0;992;j
GY;tptinc992j;p0p59;2000;0.0;992;j
GY;tptinc992j;p0p59;2001;0.0;992;j
GY;tptinc992j;p0p59;2002;0.0;992;j
GY;tptinc992j;p0p59;2003;0.0;992;j
GY;tptinc992j;p0p59;2004;0.0;992;j
GY;tptinc992j;p0p59;2005;0.0;992;j
GY;tptinc992j;p0p59;2006;0.0;992;j
GY;tptinc992j;p0p59;2007;0.1;992;j
GY;tptinc992j;p0p59;2008;0.0;992;j
GY;tptinc992j;p0p59;2009;0.0;992;j
GY;tptinc992j;p0p59;2010;0.0;992;j
GY;tptinc992j;p0p59;2011;0.0;992;j
GY;tptinc992j;p0p59;2012;0.0;992;j
GY;tptinc992j;p0p59;2013;0.0;992;j
GY;tptinc992j;p0p59;2014;0.0;992;j
GY;tptinc992j;p0p59;2015;0.0;992;j
GY;tptinc992j;p0p59;2016;0.0;992;j
GY;tptinc992j;p0p59;2017;0.0;992;j
GY;tptinc992j;p0p59;2018;0.0;992;j
GY;tptinc992j;p0p59;2019;0.0;992;j
GY;tptinc992j;p0p99.8;1980;0.0;992;j
GY;tptinc992j;p0p99.8;1981;0.0;992;j
GY;tptinc992j;p0p99.8;1982;0.0;992;j
GY;tptinc992j;p0p99.8;1983;0.0;992;j
GY;tptinc992j;p0p99.8;1984;0.0;992;j
GY;tptinc992j;p0p99.8;1985;0.0;992;j
GY;tptinc992j;p0p99.8;1986;0.0;992;j
GY;tptinc992j;p0p99.8;1987;0.0;992;j
GY;tptinc992j;p0p99.8;1988;0.0;992;j
GY;tptinc992j;p0p99.8;1989;0.0;992;j
GY;tptinc992j;p0p99.8;1990;0.0;992;j
GY;tptinc992j;p0p99.8;1991;0.0;992;j
GY;tptinc992j;p0p99.8;1992;0.0;992;j
GY;tptinc992j;p0p99.8;1993;0.0;992;j
GY;tptinc992j;p0p99.8;1994;0.0;992;j
GY;tptinc992j;p0p99.8;1995;0.0;992;j
GY;tptinc992j;p0p99.8;1996;0.0;992;j
GY;tptinc992j;p0p99.8;1997;0.0;992;j
GY;tptinc992j;p0p99.8;1998;0.0;992;j
GY;tptinc992j;p0p99.8;1999;0.0;992;j
GY;tptinc992j;p0p99.8;2000;0.0;992;j
GY;tptinc992j;p0p99.8;2001;0.0;992;j
GY;tptinc992j;p0p99.8;2002;0.0;992;j
GY;tptinc992j;p0p99.8;2003;0.0;992;j
GY;tptinc992j;p0p99.8;2004;0.0;992;j
GY;tptinc992j;p0p99.8;2005;0.0;992;j
GY;tptinc992j;p0p99.8;2006;0.0;992;j
GY;tptinc992j;p0p99.8;2007;0.1;992;j
GY;tptinc992j;p0p99.8;2008;0.0;992;j
GY;tptinc992j;p0p99.8;2009;0.0;992;j
GY;tptinc992j;p0p99.8;2010;0.0;992;j
GY;tptinc992j;p0p99.8;2011;0.0;992;j
GY;tptinc992j;p0p99.8;2012;0.0;992;j
GY;tptinc992j;p0p99.8;2013;0.0;992;j
GY;tptinc992j;p0p99.8;2014;0.0;992;j
GY;tptinc992j;p0p99.8;2015;0.0;992;j
GY;tptinc992j;p0p99.8;2016;0.0;992;j
GY;tptinc992j;p0p99.8;2017;0.0;992;j
GY;tptinc992j;p0p99.8;2018;0.0;992;j
GY;tptinc992j;p0p99.8;2019;0.0;992;j
GY;tptinc992j;p33p34;1980;290925.2;992;j
GY;tptinc992j;p33p34;1981;287092.0;992;j
GY;tptinc992j;p33p34;1982;241971.3;992;j
GY;tptinc992j;p33p34;1983;221496.8;992;j
GY;tptinc992j;p33p34;1984;214222.7;992;j
GY;tptinc992j;p33p34;1985;221262.6;992;j
GY;tptinc992j;p33p34;1986;217474.1;992;j
GY;tptinc992j;p33p34;1987;217833.8;992;j
GY;tptinc992j;p33p34;1988;207416.3;992;j
GY;tptinc992j;p33p34;1989;194659.4;992;j
GY;tptinc992j;p33p34;1990;186336.0;992;j
GY;tptinc992j;p33p34;1991;195875.5;992;j
GY;tptinc992j;p33p34;1992;183630.7;992;j
GY;tptinc992j;p33p34;1993;203215.1;992;j
GY;tptinc992j;p33p34;1994;223190.7;992;j
GY;tptinc992j;p33p34;1995;234374.6;992;j
GY;tptinc992j;p33p34;1996;265568.7;992;j
GY;tptinc992j;p33p34;1997;281453.1;992;j
GY;tptinc992j;p33p34;1998;281322.8;992;j
GY;tptinc992j;p33p34;1999;288392.0;992;j
GY;tptinc992j;p33p34;2000;285226.0;992;j
GY;tptinc992j;p33p34;2001;291608.3;992;j
GY;tptinc992j;p33p34;2002;296801.1;992;j
GY;tptinc992j;p33p34;2003;300798.8;992;j
GY;tptinc992j;p33p34;2004;322968.5;992;j
GY;tptinc992j;p33p34;2005;315453.4;992;j
GY;tptinc992j;p33p34;2006;318011.0;992;j
GY;tptinc992j;p33p34;2007;342896.4;992;j
GY;tptinc992j;p33p34;2008;359749.9;992;j
GY;tptinc992j;p33p34;2009;380585.1;992;j
GY;tptinc992j;p33p34;2010;408832.2;992;j
GY;tptinc992j;p33p34;2011;425133.2;992;j
GY;tptinc992j;p33p34;2012;467327.6;992;j
GY;tptinc992j;p33p34;2013;481767.7;992;j
GY;tptinc992j;p33p34;2014;501345.3;992;j
GY;tptinc992j;p33p34;2015;515204.2;992;j
GY;tptinc992j;p33p34;2016;524295.1;992;j
GY;tptinc992j;p33p34;2017;526053.8;992;j
GY;tptinc992j;p33p34;2018;546152.7;992;j
GY;tptinc992j;p33p34;2019;557908.4;992;j
GY;tptinc992j;p52p100;1980;520325.3;992;j
GY;tptinc992j;p52p100;1981;513469.5;992;j
GY;tptinc992j;p52p100;1982;432770.3;992;j
GY;tptinc992j;p52p100;1983;396151.2;992;j
GY;tptinc992j;p52p100;1984;383141.4;992;j
GY;tptinc992j;p52p100;1985;395732.4;992;j
GY;tptinc992j;p52p100;1986;388956.6;992;j
GY;tptinc992j;p52p100;1987;389599.9;992;j
GY;tptinc992j;p52p100;1988;370968.0;992;j
GY;tptinc992j;p52p100;1989;348152.1;992;j
GY;tptinc992j;p52p100;1990;333265.5;992;j
GY;tptinc992j;p52p100;1991;350327.0;992;j
GY;tptinc992j;p52p100;1992;328426.9;992;j
GY;tptinc992j;p52p100;1993;363454.1;992;j
GY;tptinc992j;p52p100;1994;399180.9;992;j
GY;tptinc992j;p52p100;1995;419183.5;992;j
GY;tptinc992j;p52p100;1996;474974.6;992;j
GY;tptinc992j;p52p100;1997;503384.1;992;j
GY;tptinc992j;p52p100;1998;503151.1;992;j
GY;tptinc992j;p52p100;1999;515794.5;992;j
GY;tptinc992j;p52p100;2000;510132.1;992;j
GY;tptinc992j;p52p100;2001;521546.9;992;j
GY;tptinc992j;p52p100;2002;530834.4;992;j
GY;tptinc992j;p52p100;2003;524138.6;992;j
GY;tptinc992j;p52p100;2004;557597.9;992;j
GY;tptinc992j;p52p100;2005;549458.0;992;j
GY;tptinc992j;p52p100;2006;552539.7;992;j
GY;tptinc992j;p52p100;2007;589436.4;992;j
GY;tptinc992j;p52p100;2008;616702.9;992;j
GY;tptinc992j;p52p100;2009;652578.4;992;j
GY;tptinc992j;p52p100;2010;687343.6;992;j
GY;tptinc992j;p52p100;2011;712178.3;992;j
GY;tptinc992j;p52p100;2012;786913.3;992;j
GY;tptinc992j;p52p100;2013;797380.6;992;j
GY;tptinc992j;p52p100;2014;824197.1;992;j
GY;tptinc992j;p52p100;2015;851313.2;992;j
GY;tptinc992j;p52p100;2016;861706.4;992;j
GY;tptinc992j;p52p100;2017;864753.5;992;j
GY;tptinc992j;p52p100;2018;898504.4;992;j
GY;tptinc992j;p52p100;2019;917844.3;992;j
GY;sptinc992j;p8p9;1980;0.0004;992;j
GY;sptinc992j;p8p9;1981;0.0004;992;j
GY;sptinc992j;p8p9;1982;0.0004;992;j
GY;sptinc992j;p8p9;1983;0.0004;992;j
GY;sptinc992j;p8p9;1984;0.0004;992;j
GY;sptinc992j;p8p9;1985;0.0004;992;j
GY;sptinc992j;p8p9;1986;0.0004;992;j
GY;sptinc992j;p8p9;1987;0.0004;992;j
GY;sptinc992j;p8p9;1988;0.0004;992;j
GY;sptinc992j;p8p9;1989;0.0004;992;j
GY;sptinc992j;p8p9;1990;0.0004;992;j
GY;sptinc992j;p8p9;1991;0.0004;992;j
GY;sptinc992j;p8p9;1992;0.0004;992;j
GY;sptinc992j;p8p9;1993;0.0004;992;j
GY;sptinc992j;p8p9;1994;0.0004;992;j
GY;sptinc992j;p8p9;1995;0.0004;992;j
GY;sptinc992j;p8p9;1996;0.0004;992;j
GY;sptinc992j;p8p9;1997;0.0004;992;j
GY;sptinc992j;p8p9;1998;0.0004;992;j
GY;sptinc992j;p8p9;1999;0.0004;992;j
GY;sptinc992j;p8p9;2000;0.0004;992;j
GY;sptinc992j;p8p9;2001;0.0004;992;j
GY;sptinc992j;p8p9;2002;0.0004;992;j
GY;sptinc992j;p8p9;2003;0.0004;992;j
GY;sptinc992j;p8p9;2004;0.0005;992;j
GY;sptinc992j;p8p9;2005;0.0004;992;j
GY;sptinc992j;p8p9;2006;0.0004;992;j
GY;sptinc992j;p8p9;2007;0.0004;992;j
GY;sptinc992j;p8p9;2008;0.0005;992;j
GY;sptinc992j;p8p9;2009;0.0005;992;j
GY;sptinc992j;p8p9;2010;0.0005;992;j
GY;sptinc992j;p8p9;2011;0.0005;992;j
GY;sptinc992j;p8p9;2012;0.0005;992;j
GY;sptinc992j;p8p9;2013;0.0005;992;j
GY;sptinc992j;p8p9;2014;0.0006;992;j
GY;sptinc992j;p8p9;2015;0.0005;992;j
GY;sptinc992j;p8p9;2016;0.0005;992;j
GY;sptinc992j;p8p9;2017;0.0005;992;j
GY;sptinc992j;p8p9;2018;0.0005;992;j
GY;sptinc992j;p8p9;2019;0.0005;992;j
GY;tptinc992j;p0p99;1980;0.0;992;j
GY;tptinc992j;p0p99;1981;0.0;992;j
GY;tptinc992j;p0p99;1982;0.0;992;j
GY;tptinc992j;p0p99;1983;0.0;992;j
GY;tptinc992j;p0p99;1984;0.0;992;j
GY;tptinc992j;p0p99;1985;0.0;992;j
GY;tptinc992j;p0p99;1986;0.0;992;j
GY;tptinc992j;p0p99;1987;0.0;992;j
GY;tptinc992j;p0p99;1988;0.0;992;j
GY;tptinc992j;p0p99;1989;0.0;992;j
GY;tptinc992j;p0p99;1990;0.0;992;j
GY;tptinc992j;p0p99;1991;0.0;992;j
GY;tptinc992j;p0p99;1992;0.0;992;j
GY;tptinc992j;p0p99;1993;0.0;992;j
GY;tptinc992j;p0p99;1994;0.0;992;j
GY;tptinc992j;p0p99;1995;0.0;992;j
GY;tptinc992j;p0p99;1996;0.0;992;j
GY;tptinc992j;p0p99;1997;0.0;992;j
GY;tptinc992j;p0p99;1998;0.0;992;j
GY;tptinc992j;p0p99;1999;0.0;992;j
GY;tptinc992j;p0p99;2000;0.0;992;j
GY;tptinc992j;p0p99;2001;0.0;992;j
GY;tptinc992j;p0p99;2002;0.0;992;j
GY;tptinc992j;p0p99;2003;0.0;992;j
GY;tptinc992j;p0p99;2004;0.0;992;j
GY;tptinc992j;p0p99;2005;0.0;992;j
GY;tptinc992j;p0p99;2006;0.0;992;j
GY;tptinc992j;p0p99;2007;0.1;992;j
GY;tptinc992j;p0p99;2008;0.0;992;j
GY;tptinc992j;p0p99;2009;0.0;992;j
GY;tptinc992j;p0p99;2010;0.0;992;j
GY;tptinc992j;p0p99;2011;0.0;992;j
GY;tptinc992j;p0p99;2012;0.0;992;j
GY;tptinc992j;p0p99;2013;0.0;992;j
GY;tptinc992j;p0p99;2014;0.0;992;j
GY;tptinc992j;p0p99;2015;0.0;992;j
GY;tptinc992j;p0p99;2016;0.0;992;j
GY;tptinc992j;p0p99;2017;0.0;992;j
GY;tptinc992j;p0p99;2018;0.0;992;j
GY;tptinc992j;p0p99;2019;0.0;992;j
GY;aptinc992j;p99.8p99.9;1980;26529993.1;992;j
GY;aptinc992j;p99.8p99.9;1981;26180437.9;992;j
GY;aptinc992j;p99.8p99.9;1982;22065801.9;992;j
GY;aptinc992j;p99.8p99.9;1983;20198690.5;992;j
GY;aptinc992j;p99.8p99.9;1984;19535354.7;992;j
GY;aptinc992j;p99.8p99.9;1985;20177334.6;992;j
GY;aptinc992j;p99.8p99.9;1986;19831854.6;992;j
GY;aptinc992j;p99.8p99.9;1987;19864655.5;992;j
GY;aptinc992j;p99.8p99.9;1988;18914666.5;992;j
GY;aptinc992j;p99.8p99.9;1989;17751343.6;992;j
GY;aptinc992j;p99.8p99.9;1990;16992317.8;992;j
GY;aptinc992j;p99.8p99.9;1991;17862238.1;992;j
GY;aptinc992j;p99.8p99.9;1992;16745610.7;992;j
GY;aptinc992j;p99.8p99.9;1993;18531553.7;992;j
GY;aptinc992j;p99.8p99.9;1994;20353163.9;992;j
GY;aptinc992j;p99.8p99.9;1995;21373043.2;992;j
GY;aptinc992j;p99.8p99.9;1996;24217682.9;992;j
GY;aptinc992j;p99.8p99.9;1997;25666209.8;992;j
GY;aptinc992j;p99.8p99.9;1998;25654328.7;992;j
GY;aptinc992j;p99.8p99.9;1999;26298982.7;992;j
GY;aptinc992j;p99.8p99.9;2000;26010271.0;992;j
GY;aptinc992j;p99.8p99.9;2001;26592279.5;992;j
GY;aptinc992j;p99.8p99.9;2002;27065824.0;992;j
GY;aptinc992j;p99.8p99.9;2003;28007369.9;992;j
GY;aptinc992j;p99.8p99.9;2004;28339236.9;992;j
GY;aptinc992j;p99.8p99.9;2005;26699383.7;992;j
GY;aptinc992j;p99.8p99.9;2006;27515208.2;992;j
GY;aptinc992j;p99.8p99.9;2007;30661990.2;992;j
GY;aptinc992j;p99.8p99.9;2008;30554105.4;992;j
GY;aptinc992j;p99.8p99.9;2009;31708283.8;992;j
GY;aptinc992j;p99.8p99.9;2010;31346773.1;992;j
GY;aptinc992j;p99.8p99.9;2011;33306447.4;992;j
GY;aptinc992j;p99.8p99.9;2012;32003699.4;992;j
GY;aptinc992j;p99.8p99.9;2013;35720137.3;992;j
GY;aptinc992j;p99.8p99.9;2014;36061318.1;992;j
GY;aptinc992j;p99.8p99.9;2015;37816844.5;992;j
GY;aptinc992j;p99.8p99.9;2016;36915347.1;992;j
GY;aptinc992j;p99.8p99.9;2017;34843122.6;992;j
GY;aptinc992j;p99.8p99.9;2018;35093093.2;992;j
GY;aptinc992j;p99.8p99.9;2019;35848454.0;992;j
GY;aptinc992j;p99.999p100;1980;539048193.2;992;j
GY;aptinc992j;p99.999p100;1981;531945774.2;992;j
GY;aptinc992j;p99.999p100;1982;448342771.7;992;j
GY;aptinc992j;p99.999p100;1983;410405971.4;992;j
GY;aptinc992j;p99.999p100;1984;396928020.6;992;j
GY;aptinc992j;p99.999p100;1985;409972054.1;992;j
GY;aptinc992j;p99.999p100;1986;402952438.1;992;j
GY;aptinc992j;p99.999p100;1987;403618900.6;992;j
GY;aptinc992j;p99.999p100;1988;384316601.4;992;j
GY;aptinc992j;p99.999p100;1989;360679689.8;992;j
GY;aptinc992j;p99.999p100;1990;345257466.5;992;j
GY;aptinc992j;p99.999p100;1991;362932893.4;992;j
GY;aptinc992j;p99.999p100;1992;340244762.6;992;j
GY;aptinc992j;p99.999p100;1993;376532345.0;992;j
GY;aptinc992j;p99.999p100;1994;413544632.1;992;j
GY;aptinc992j;p99.999p100;1995;434266991.6;992;j
GY;aptinc992j;p99.999p100;1996;492065646.0;992;j
GY;aptinc992j;p99.999p100;1997;521497459.2;992;j
GY;aptinc992j;p99.999p100;1998;521256053.8;992;j
GY;aptinc992j;p99.999p100;1999;534354420.7;992;j
GY;aptinc992j;p99.999p100;2000;528488247.3;992;j
GY;aptinc992j;p99.999p100;2001;540313755.4;992;j
GY;aptinc992j;p99.999p100;2002;549935441.9;992;j
GY;aptinc992j;p99.999p100;2003;531063566.7;992;j
GY;aptinc992j;p99.999p100;2004;749502885.9;992;j
GY;aptinc992j;p99.999p100;2005;555409387.2;992;j
GY;aptinc992j;p99.999p100;2006;541888113.4;992;j
GY;aptinc992j;p99.999p100;2007;643786839.2;992;j
GY;aptinc992j;p99.999p100;2008;621264260.3;992;j
GY;aptinc992j;p99.999p100;2009;741154345.6;992;j
GY;aptinc992j;p99.999p100;2010;726044607.6;992;j
GY;aptinc992j;p99.999p100;2011;928685545.0;992;j
GY;aptinc992j;p99.999p100;2012;901884321.8;992;j
GY;aptinc992j;p99.999p100;2013;1106579006.4;992;j
GY;aptinc992j;p99.999p100;2014;973294447.7;992;j
GY;aptinc992j;p99.999p100;2015;961438156.2;992;j
GY;aptinc992j;p99.999p100;2016;854401175.6;992;j
GY;aptinc992j;p99.999p100;2017;777403509.3;992;j
GY;aptinc992j;p99.999p100;2018;1077580658.1;992;j
GY;aptinc992j;p99.999p100;2019;1100775027.3;992;j
GY;tptinc992j;p0p99.95;1980;0.0;992;j
GY;tptinc992j;p0p99.95;1981;0.0;992;j
GY;tptinc992j;p0p99.95;1982;0.0;992;j
GY;tptinc992j;p0p99.95;1983;0.0;992;j
GY;tptinc992j;p0p99.95;1984;0.0;992;j
GY;tptinc992j;p0p99.95;1985;0.0;992;j
GY;tptinc992j;p0p99.95;1986;0.0;992;j
GY;tptinc992j;p0p99.95;1987;0.0;992;j
GY;tptinc992j;p0p99.95;1988;0.0;992;j
GY;tptinc992j;p0p99.95;1989;0.0;992;j
GY;tptinc992j;p0p99.95;1990;0.0;992;j
GY;tptinc992j;p0p99.95;1991;0.0;992;j
GY;tptinc992j;p0p99.95;1992;0.0;992;j
GY;tptinc992j;p0p99.95;1993;0.0;992;j
GY;tptinc992j;p0p99.95;1994;0.0;992;j
GY;tptinc992j;p0p99.95;1995;0.0;992;j
GY;tptinc992j;p0p99.95;1996;0.0;992;j
GY;tptinc992j;p0p99.95;1997;0.0;992;j
GY;tptinc992j;p0p99.95;1998;0.0;992;j
GY;tptinc992j;p0p99.95;1999;0.0;992;j
GY;tptinc992j;p0p99.95;2000;0.0;992;j
GY;tptinc992j;p0p99.95;2001;0.0;992;j
GY;tptinc992j;p0p99.95;2002;0.0;992;j
GY;tptinc992j;p0p99.95;2003;0.0;992;j
GY;tptinc992j;p0p99.95;2004;0.0;992;j
GY;tptinc992j;p0p99.95;2005;0.0;992;j
GY;tptinc992j;p0p99.95;2006;0.0;992;j
GY;tptinc992j;p0p99.95;2007;0.1;992;j
GY;tptinc992j;p0p99.95;2008;0.0;992;j
GY;tptinc992j;p0p99.95;2009;0.0;992;j
GY;tptinc992j;p0p99.95;2010;0.0;992;j
GY;tptinc992j;p0p99.95;2011;0.0;992;j
GY;tptinc992j;p0p99.95;2012;0.0;992;j
GY;tptinc992j;p0p99.95;2013;0.0;992;j
GY;tptinc992j;p0p99.95;2014;0.0;992;j
GY;tptinc992j;p0p99.95;2015;0.0;992;j
GY;tptinc992j;p0p99.95;2016;0.0;992;j
GY;tptinc992j;p0p99.95;2017;0.0;992;j
GY;tptinc992j;p0p99.95;2018;0.0;992;j
GY;tptinc992j;p0p99.95;2019;0.0;992;j
GY;sptinc992j;p60p61;1980;0.0063;992;j
GY;sptinc992j;p60p61;1981;0.0063;992;j
GY;sptinc992j;p60p61;1982;0.0063;992;j
GY;sptinc992j;p60p61;1983;0.0063;992;j
GY;sptinc992j;p60p61;1984;0.0063;992;j
GY;sptinc992j;p60p61;1985;0.0063;992;j
GY;sptinc992j;p60p61;1986;0.0063;992;j
GY;sptinc992j;p60p61;1987;0.0063;992;j
GY;sptinc992j;p60p61;1988;0.0063;992;j
GY;sptinc992j;p60p61;1989;0.0063;992;j
GY;sptinc992j;p60p61;1990;0.0063;992;j
GY;sptinc992j;p60p61;1991;0.0063;992;j
GY;sptinc992j;p60p61;1992;0.0063;992;j
GY;sptinc992j;p60p61;1993;0.0063;992;j
GY;sptinc992j;p60p61;1994;0.0063;992;j
GY;sptinc992j;p60p61;1995;0.0063;992;j
GY;sptinc992j;p60p61;1996;0.0063;992;j
GY;sptinc992j;p60p61;1997;0.0063;992;j
GY;sptinc992j;p60p61;1998;0.0063;992;j
GY;sptinc992j;p60p61;1999;0.0063;992;j
GY;sptinc992j;p60p61;2000;0.0063;992;j
