country;variable;percentile;year;value;age;pop
JM;sptinc992j;p0p99.91;1980;0.9189;992;j
JM;sptinc992j;p0p99.91;1981;0.9189;992;j
JM;sptinc992j;p0p99.91;1982;0.9189;992;j
JM;sptinc992j;p0p99.91;1983;0.9189;992;j
JM;sptinc992j;p0p99.91;1984;0.9189;992;j
JM;sptinc992j;p0p99.91;1985;0.9189;992;j
JM;sptinc992j;p0p99.91;1986;0.9189;992;j
JM;sptinc992j;p0p99.91;1987;0.9189;992;j
JM;sptinc992j;p0p99.91;1988;0.9189;992;j
JM;sptinc992j;p0p99.91;1989;0.9189;992;j
JM;sptinc992j;p0p99.91;1990;0.9189;992;j
JM;sptinc992j;p0p99.91;1991;0.9189;992;j
JM;sptinc992j;p0p99.91;1992;0.9189;992;j
JM;sptinc992j;p0p99.91;1993;0.9189;992;j
JM;sptinc992j;p0p99.91;1994;0.9189;992;j
JM;sptinc992j;p0p99.91;1995;0.9189;992;j
JM;sptinc992j;p0p99.91;1996;0.9189;992;j
JM;sptinc992j;p0p99.91;1997;0.9189;992;j
JM;sptinc992j;p0p99.91;1998;0.9189;992;j
JM;sptinc992j;p0p99.91;1999;0.9189;992;j
JM;sptinc992j;p0p99.91;2000;0.9189;992;j
JM;sptinc992j;p0p99.91;2001;0.9189;992;j
JM;sptinc992j;p0p99.91;2002;0.9189;992;j
JM;sptinc992j;p0p99.91;2003;0.9108;992;j
JM;sptinc992j;p0p99.91;2004;0.9135;992;j
JM;sptinc992j;p0p99.91;2005;0.9205;992;j
JM;sptinc992j;p0p99.91;2006;0.9091;992;j
JM;sptinc992j;p0p99.91;2007;0.9041;992;j
JM;sptinc992j;p0p99.91;2008;0.9138;992;j
JM;sptinc992j;p0p99.91;2009;0.9243;992;j
JM;sptinc992j;p0p99.91;2010;0.9255;992;j
JM;sptinc992j;p0p99.91;2011;0.919;992;j
JM;sptinc992j;p0p99.91;2012;0.9225;992;j
JM;sptinc992j;p0p99.91;2013;0.9146;992;j
JM;sptinc992j;p0p99.91;2014;0.9151;992;j
