country;variable;percentile;year;value;age;pop
KV;acainc992j;p38p100;2003;2813.8999;992;j
KV;acainc992j;p38p100;2004;3090.8999;992;j
KV;acainc992j;p38p100;2005;3300.3999;992;j
KV;acainc992j;p38p100;2006;3474.3999;992;j
KV;acainc992j;p38p100;2007;3752.8;992;j
KV;acainc992j;p38p100;2008;3777.7;992;j
KV;acainc992j;p38p100;2009;3699.0;992;j
KV;acainc992j;p38p100;2010;3838.8999;992;j
KV;acainc992j;p38p100;2011;3930.6001;992;j
KV;acainc992j;p38p100;2012;4030.7;992;j
KV;acainc992j;p38p100;2013;4082.5;992;j
KV;acainc992j;p38p100;2014;4123.6001;992;j
KV;acainc992j;p38p100;2015;4231.7002;992;j
KV;acainc992j;p38p100;2016;4380.2002;992;j
KV;acainc992j;p38p100;2017;4640.8999;992;j
KV;acainc992j;p50p100;2003;3107.6001;992;j
KV;acainc992j;p50p100;2004;3421.5;992;j
KV;acainc992j;p50p100;2005;3659.8;992;j
KV;acainc992j;p50p100;2006;3843.2;992;j
KV;acainc992j;p50p100;2007;4152.7998;992;j
KV;acainc992j;p50p100;2008;4173.5;992;j
KV;acainc992j;p50p100;2009;4091.5;992;j
KV;acainc992j;p50p100;2010;4275.2002;992;j
KV;acainc992j;p50p100;2011;4321.2998;992;j
KV;acainc992j;p50p100;2012;4425.0;992;j
KV;acainc992j;p50p100;2013;4462.8999;992;j
KV;acainc992j;p50p100;2014;4520.3999;992;j
KV;acainc992j;p50p100;2015;4634.2002;992;j
KV;acainc992j;p50p100;2016;4804.6001;992;j
KV;acainc992j;p50p100;2017;5108.2998;992;j
KV;acainc992j;p58p100;2003;3340.5;992;j
KV;acainc992j;p58p100;2004;3686.3;992;j
KV;acainc992j;p58p100;2005;3948.3;992;j
KV;acainc992j;p58p100;2006;4134.5;992;j
KV;acainc992j;p58p100;2007;4468.1001;992;j
KV;acainc992j;p58p100;2008;4493.2998;992;j
KV;acainc992j;p58p100;2009;4408.2998;992;j
KV;acainc992j;p58p100;2010;4631.0;992;j
KV;acainc992j;p58p100;2011;4635.2002;992;j
KV;acainc992j;p58p100;2012;4736.6001;992;j
KV;acainc992j;p58p100;2013;4769.2998;992;j
KV;acainc992j;p58p100;2014;4836.3999;992;j
KV;acainc992j;p58p100;2015;4954.8999;992;j
KV;acainc992j;p58p100;2016;5147.3999;992;j
KV;acainc992j;p58p100;2017;5488.2002;992;j
KV;acainc992j;p92p100;2003;6116.3999;992;j
KV;acainc992j;p92p100;2004;6779.7998;992;j
KV;acainc992j;p92p100;2005;7199.7002;992;j
KV;acainc992j;p92p100;2006;7614.5;992;j
KV;acainc992j;p92p100;2007;8203.7998;992;j
KV;acainc992j;p92p100;2008;8283.9004;992;j
KV;acainc992j;p92p100;2009;8136.0;992;j
KV;acainc992j;p92p100;2010;8683.5996;992;j
KV;acainc992j;p92p100;2011;8427.0996;992;j
KV;acainc992j;p92p100;2012;8591.2998;992;j
KV;acainc992j;p92p100;2013;8540.7998;992;j
KV;acainc992j;p92p100;2014;8747.9004;992;j
KV;acainc992j;p92p100;2015;8859.7998;992;j
KV;acainc992j;p92p100;2016;9406.0996;992;j
KV;acainc992j;p92p100;2017;10471.6;992;j
KV;acainc992j;p99.3p99.4;2003;9435.9004;992;j
KV;acainc992j;p99.3p99.4;2004;10363.7;992;j
KV;acainc992j;p99.3p99.4;2005;10816.3;992;j
KV;acainc992j;p99.3p99.4;2006;11740.9;992;j
KV;acainc992j;p99.3p99.4;2007;12581.3;992;j
KV;acainc992j;p99.3p99.4;2008;12773.2;992;j
KV;acainc992j;p99.3p99.4;2009;12441.7;992;j
KV;acainc992j;p99.3p99.4;2010;13301.9;992;j
KV;acainc992j;p99.3p99.4;2011;13160.2;992;j
KV;acainc992j;p99.3p99.4;2012;13387.1;992;j
KV;acainc992j;p99.3p99.4;2013;13133.1;992;j
KV;acainc992j;p99.3p99.4;2014;13572.3;992;j
KV;acainc992j;p99.3p99.4;2015;13609.6;992;j
KV;acainc992j;p99.3p99.4;2016;14661.0;992;j
KV;acainc992j;p99.3p99.4;2017;16850.699;992;j
KV;adiinc992j;p28p29;2003;1580.3;992;j
KV;adiinc992j;p28p29;2004;1728.8;992;j
KV;adiinc992j;p28p29;2005;1842.4;992;j
KV;adiinc992j;p28p29;2006;1967.5;992;j
KV;adiinc992j;p28p29;2007;2113.8999;992;j
KV;adiinc992j;p28p29;2008;2149.6001;992;j
KV;adiinc992j;p28p29;2009;2148.5;992;j
KV;adiinc992j;p28p29;2010;2190.2;992;j
KV;adiinc992j;p28p29;2011;2392.7;992;j
KV;adiinc992j;p28p29;2012;2443.2;992;j
KV;adiinc992j;p28p29;2013;2586.5;992;j
KV;adiinc992j;p28p29;2014;2502.7;992;j
KV;adiinc992j;p28p29;2015;2587.6001;992;j
KV;adiinc992j;p28p29;2016;2621.3;992;j
KV;adiinc992j;p28p29;2017;2722.8;992;j
KV;adiinc992j;p43p100;2003;3741.8;992;j
KV;adiinc992j;p43p100;2004;4098.7002;992;j
KV;adiinc992j;p43p100;2005;4381.0;992;j
KV;adiinc992j;p43p100;2006;4615.1001;992;j
KV;adiinc992j;p43p100;2007;5004.7998;992;j
KV;adiinc992j;p43p100;2008;5033.1001;992;j
KV;adiinc992j;p43p100;2009;5050.3999;992;j
KV;adiinc992j;p43p100;2010;5226.2998;992;j
KV;adiinc992j;p43p100;2011;5309.2002;992;j
KV;adiinc992j;p43p100;2012;5427.2002;992;j
KV;adiinc992j;p43p100;2013;5458.7998;992;j
KV;adiinc992j;p43p100;2014;5470.7002;992;j
KV;adiinc992j;p43p100;2015;5577.2002;992;j
KV;adiinc992j;p43p100;2016;5749.7002;992;j
KV;adiinc992j;p43p100;2017;6077.2002;992;j
KV;adiinc992j;p69p70;2003;3032.8999;992;j
KV;adiinc992j;p69p70;2004;3297.5;992;j
KV;adiinc992j;p69p70;2005;3522.8999;992;j
KV;adiinc992j;p69p70;2006;3732.6001;992;j
KV;adiinc992j;p69p70;2007;4045.2;992;j
KV;adiinc992j;p69p70;2008;4034.1001;992;j
KV;adiinc992j;p69p70;2009;4056.2;992;j
KV;adiinc992j;p69p70;2010;4170.2998;992;j
KV;adiinc992j;p69p70;2011;4324.2998;992;j
KV;adiinc992j;p69p70;2012;4447.1001;992;j
KV;adiinc992j;p69p70;2013;4503.6001;992;j
KV;adiinc992j;p69p70;2014;4458.7998;992;j
KV;adiinc992j;p69p70;2015;4572.2998;992;j
KV;adiinc992j;p69p70;2016;4681.2002;992;j
KV;adiinc992j;p69p70;2017;4898.8999;992;j
KV;adiinc992j;p99.8p99.9;2003;18872.301;992;j
KV;adiinc992j;p99.8p99.9;2004;20529.1;992;j
KV;adiinc992j;p99.8p99.9;2005;21005.5;992;j
KV;adiinc992j;p99.8p99.9;2006;23385.5;992;j
KV;adiinc992j;p99.8p99.9;2007;24131.699;992;j
KV;adiinc992j;p99.8p99.9;2008;25627.801;992;j
KV;adiinc992j;p99.8p99.9;2009;25098.5;992;j
KV;adiinc992j;p99.8p99.9;2010;26056.4;992;j
KV;adiinc992j;p99.8p99.9;2011;28312.199;992;j
KV;adiinc992j;p99.8p99.9;2012;29312.301;992;j
KV;adiinc992j;p99.8p99.9;2013;30337.0;992;j
KV;adiinc992j;p99.8p99.9;2014;29517.0;992;j
KV;adiinc992j;p99.8p99.9;2015;30039.699;992;j
KV;adiinc992j;p99.8p99.9;2016;32783.699;992;j
KV;adiinc992j;p99.8p99.9;2017;38723.301;992;j
KV;adiinc992j;p99.98p100;2003;51654.602;992;j
KV;adiinc992j;p99.98p100;2004;56011.699;992;j
KV;adiinc992j;p99.98p100;2005;55057.898;992;j
KV;adiinc992j;p99.98p100;2006;63869.699;992;j
KV;adiinc992j;p99.98p100;2007;57543.801;992;j
KV;adiinc992j;p99.98p100;2008;71313.703;992;j
KV;adiinc992j;p99.98p100;2009;66663.602;992;j
KV;adiinc992j;p99.98p100;2010;63588.898;992;j
KV;adiinc992j;p99.98p100;2011;93788.102;992;j
KV;adiinc992j;p99.98p100;2012;105560.5;992;j
KV;adiinc992j;p99.98p100;2013;139259.91;992;j
KV;adiinc992j;p99.98p100;2014;109791.7;992;j
KV;adiinc992j;p99.98p100;2015;123333.9;992;j
KV;adiinc992j;p99.98p100;2016;139034.8;992;j
KV;adiinc992j;p99.98p100;2017;171222.2;992;j
KV;aptinc992j;p1p2;2003;106.6;992;j
KV;aptinc992j;p1p2;2004;86.400002;992;j
KV;aptinc992j;p1p2;2005;102.0;992;j
KV;aptinc992j;p1p2;2006;104.4;992;j
KV;aptinc992j;p1p2;2007;110.8;992;j
KV;aptinc992j;p1p2;2008;113.9;992;j
KV;aptinc992j;p1p2;2009;114.6;992;j
KV;aptinc992j;p1p2;2010;161.0;992;j
KV;aptinc992j;p1p2;2011;163.5;992;j
KV;aptinc992j;p1p2;2012;176.5;992;j
KV;aptinc992j;p1p2;2013;203.8;992;j
KV;aptinc992j;p1p2;2014;188.8;992;j
KV;aptinc992j;p1p2;2015;223.39999;992;j
KV;aptinc992j;p1p2;2016;208.3;992;j
KV;aptinc992j;p1p2;2017;228.5;992;j
KV;aptinc992j;p40p100;2003;3869.0;992;j
KV;aptinc992j;p40p100;2004;4239.8999;992;j
KV;aptinc992j;p40p100;2005;4524.3999;992;j
KV;aptinc992j;p40p100;2006;4777.8999;992;j
KV;aptinc992j;p40p100;2007;5167.5;992;j
KV;aptinc992j;p40p100;2008;5221.1001;992;j
KV;aptinc992j;p40p100;2009;5227.7002;992;j
KV;aptinc992j;p40p100;2010;5364.7002;992;j
KV;aptinc992j;p40p100;2011;5465.7998;992;j
KV;aptinc992j;p40p100;2012;5604.7002;992;j
KV;aptinc992j;p40p100;2013;5643.0;992;j
KV;aptinc992j;p40p100;2014;5648.8999;992;j
KV;aptinc992j;p40p100;2015;5767.2998;992;j
KV;aptinc992j;p40p100;2016;5968.2002;992;j
KV;aptinc992j;p40p100;2017;6322.0;992;j
KV;bcainc992j;p99.5p100;2003;1.4730152;992;j
KV;bcainc992j;p99.5p100;2004;1.4674201;992;j
KV;bcainc992j;p99.5p100;2005;1.4406412;992;j
KV;bcainc992j;p99.5p100;2006;1.4718324;992;j
KV;bcainc992j;p99.5p100;2007;1.4057096;992;j
KV;bcainc992j;p99.5p100;2008;1.4812046;992;j
KV;bcainc992j;p99.5p100;2009;1.4549526;992;j
KV;bcainc992j;p99.5p100;2010;1.4159828;992;j
KV;bcainc992j;p99.5p100;2011;1.5802693;992;j
KV;bcainc992j;p99.5p100;2012;1.6280864;992;j
KV;bcainc992j;p99.5p100;2013;1.7796698;992;j
KV;bcainc992j;p99.5p100;2014;1.6451358;992;j
KV;bcainc992j;p99.5p100;2015;1.7018135;992;j
KV;bcainc992j;p99.5p100;2016;1.733117;992;j
KV;bcainc992j;p99.5p100;2017;1.7834047;992;j
KV;bdiinc992j;p73p100;2003;1.5820276;992;j
KV;bdiinc992j;p73p100;2004;1.5970087;992;j
KV;bdiinc992j;p73p100;2005;1.5977036;992;j
KV;bdiinc992j;p73p100;2006;1.5916932;992;j
KV;bdiinc992j;p73p100;2007;1.5878046;992;j
KV;bdiinc992j;p73p100;2008;1.5991695;992;j
KV;bdiinc992j;p73p100;2009;1.6056536;992;j
KV;bdiinc992j;p73p100;2010;1.6325521;992;j
KV;bdiinc992j;p73p100;2011;1.5573629;992;j
KV;bdiinc992j;p73p100;2012;1.5362877;992;j
KV;bdiinc992j;p73p100;2013;1.5189394;992;j
KV;bdiinc992j;p73p100;2014;1.5456557;992;j
KV;bdiinc992j;p73p100;2015;1.5329182;992;j
KV;bdiinc992j;p73p100;2016;1.5509905;992;j
KV;bdiinc992j;p73p100;2017;1.5866011;992;j
KV;bdiinc992j;p83p100;2003;1.5712296;992;j
KV;bdiinc992j;p83p100;2004;1.559424;992;j
KV;bdiinc992j;p83p100;2005;1.5338074;992;j
KV;bdiinc992j;p83p100;2006;1.5705694;992;j
KV;bdiinc992j;p83p100;2007;1.559945;992;j
KV;bdiinc992j;p83p100;2008;1.5500296;992;j
KV;bdiinc992j;p83p100;2009;1.5689276;992;j
KV;bdiinc992j;p83p100;2010;1.5842222;992;j
KV;bdiinc992j;p83p100;2011;1.5275737;992;j
KV;bdiinc992j;p83p100;2012;1.544404;992;j
KV;bdiinc992j;p83p100;2013;1.5195166;992;j
KV;bdiinc992j;p83p100;2014;1.5334055;992;j
KV;bdiinc992j;p83p100;2015;1.521692;992;j
KV;bdiinc992j;p83p100;2016;1.5481832;992;j
KV;bdiinc992j;p83p100;2017;1.6262842;992;j
KV;bptinc992j;p44p100;2003;2.1353023;992;j
KV;bptinc992j;p44p100;2004;2.1874883;992;j
KV;bptinc992j;p44p100;2005;2.2023339;992;j
