country;variable;percentile;year;value;age;pop
KY;medugo999i;p0p100;1972;0.0;999;i
KY;medugo999i;p0p100;1983;14287185.0;999;i
KY;medugo999i;p0p100;1984;16431917.0;999;i
KY;medugo999i;p0p100;1985;18331584.0;999;i
KY;medugo999i;p0p100;1986;17990834.0;999;i
KY;medugo999i;p0p100;1987;19226638.0;999;i
KY;medugo999i;p0p100;1988;20225734.0;999;i
KY;medugo999i;p0p100;1989;21363458.0;999;i
KY;medugo999i;p0p100;1990;27199700.0;999;i
KY;medugo999i;p0p100;1991;28288012.0;999;i
KY;medugo999i;p0p100;2015;67079288.0;999;i
KY;mndpro999i;p0p100;1970;176434688.0;999;i
KY;mndpro999i;p0p100;1971;181952256.0;999;i
KY;mndpro999i;p0p100;1972;197040624.0;999;i
KY;mndpro999i;p0p100;1973;225121904.0;999;i
KY;mndpro999i;p0p100;1974;246779888.0;999;i
KY;mndpro999i;p0p100;1975;270540288.0;999;i
KY;mndpro999i;p0p100;1976;296621664.0;999;i
KY;mndpro999i;p0p100;1977;325264032.0;999;i
KY;mndpro999i;p0p100;1978;356714048.0;999;i
KY;mndpro999i;p0p100;1979;391243008.0;999;i
KY;mndpro999i;p0p100;1980;429155168.0;999;i
KY;mndpro999i;p0p100;1981;470807008.0;999;i
KY;mndpro999i;p0p100;1982;516629984.0;999;i
KY;mndpro999i;p0p100;1983;584822080.0;999;i
KY;mndpro999i;p0p100;1984;621674176.0;999;i
KY;mndpro999i;p0p100;1985;638986624.0;999;i
KY;mndpro999i;p0p100;1986;686221824.0;999;i
KY;mndpro999i;p0p100;1987;747435520.0;999;i
KY;mndpro999i;p0p100;1988;853975488.0;999;i
KY;mndpro999i;p0p100;1989;931446784.0;999;i
KY;mndpro999i;p0p100;1990;1064673984.0;999;i
KY;mndpro999i;p0p100;1991;1073058624.0;999;i
KY;mndpro999i;p0p100;1992;1104175616.0;999;i
KY;mndpro999i;p0p100;1993;1156937472.0;999;i
KY;mndpro999i;p0p100;1994;1218377472.0;999;i
KY;mndpro999i;p0p100;1995;1275556480.0;999;i
KY;mndpro999i;p0p100;1996;1336644352.0;999;i
KY;mndpro999i;p0p100;1997;1406519296.0;999;i
KY;mndpro999i;p0p100;1998;1859642368.0;999;i
KY;mndpro999i;p0p100;1999;1917675264.0;999;i
KY;mndpro999i;p0p100;2000;1931037440.0;999;i
KY;mndpro999i;p0p100;2001;1937268864.0;999;i
KY;mndpro999i;p0p100;2002;1967081216.0;999;i
KY;mndpro999i;p0p100;2003;1999033216.0;999;i
KY;mndpro999i;p0p100;2004;2000243968.0;999;i
KY;mndpro999i;p0p100;2005;2113700096.0;999;i
KY;mndpro999i;p0p100;2006;3972058368.0;999;i
KY;mndpro999i;p0p100;2007;3973414144.0;999;i
KY;mndpro999i;p0p100;2008;4035396096.0;999;i
KY;mndpro999i;p0p100;2009;3714304000.0;999;i
KY;mndpro999i;p0p100;2010;3604706816.0;999;i
KY;mndpro999i;p0p100;2011;3652705024.0;999;i
KY;mndpro999i;p0p100;2012;3702351616.0;999;i
KY;mndpro999i;p0p100;2013;3751883776.0;999;i
KY;mndpro999i;p0p100;2014;3855090688.0;999;i
KY;mndpro999i;p0p100;2015;3965970688.0;999;i
KY;mndpro999i;p0p100;2016;4089509888.0;999;i
KY;mndpro999i;p0p100;2017;4213223680.0;999;i
KY;mndpro999i;p0p100;2018;4350885888.0;999;i
KY;mndpro999i;p0p100;2019;4492831232.0;999;i
KY;ahougo999i;p0p100;1972;0.0;999;i
KY;ahougo999i;p0p100;1983;0.0;999;i
KY;ahougo999i;p0p100;1984;0.0;999;i
KY;ahougo999i;p0p100;1985;0.0;999;i
KY;ahougo999i;p0p100;1986;125.8;999;i
KY;ahougo999i;p0p100;1987;111.6;999;i
KY;ahougo999i;p0p100;1988;98.7;999;i
KY;ahougo999i;p0p100;1989;88.9;999;i
KY;ahougo999i;p0p100;1990;76.8;999;i
KY;ahougo999i;p0p100;1991;142.1;999;i
KY;aedugo999i;p0p100;1972;0.0;999;i
KY;aedugo999i;p0p100;1983;793.2;999;i
KY;aedugo999i;p0p100;1984;880.1;999;i
KY;aedugo999i;p0p100;1985;941.7;999;i
KY;aedugo999i;p0p100;1986;880.6;999;i
KY;aedugo999i;p0p100;1987;892.4;999;i
KY;aedugo999i;p0p100;1988;888.6;999;i
KY;aedugo999i;p0p100;1989;888.7;999;i
KY;aedugo999i;p0p100;1990;1074.6;999;i
KY;aedugo999i;p0p100;1991;1065.7;999;i
KY;aedugo999i;p0p100;2015;1086.8;999;i
KY;mptfon999i;p0p100;2016;-18051540.0;999;i
KY;mptfon999i;p0p100;2017;-644061120.0;999;i
KY;aheago999i;p0p100;1972;845.5;999;i
KY;aheago999i;p0p100;1983;951.9;999;i
KY;aheago999i;p0p100;1984;1026.8;999;i
KY;aheago999i;p0p100;1985;941.7;999;i
KY;aheago999i;p0p100;1986;880.6;999;i
KY;aheago999i;p0p100;1987;892.4;999;i
KY;aheago999i;p0p100;1988;888.6;999;i
KY;aheago999i;p0p100;1989;888.7;999;i
KY;aheago999i;p0p100;1990;1151.3;999;i
KY;aheago999i;p0p100;1991;1065.7;999;i
KY;aheago999i;p0p100;2015;497.8;999;i
KY;mheago999i;p0p100;1972;8567075.0;999;i
KY;mheago999i;p0p100;1983;17144622.0;999;i
KY;mheago999i;p0p100;1984;19170568.0;999;i
KY;mheago999i;p0p100;1985;18331584.0;999;i
KY;mheago999i;p0p100;1986;17990834.0;999;i
KY;mheago999i;p0p100;1987;19226638.0;999;i
KY;mheago999i;p0p100;1988;20225734.0;999;i
KY;mheago999i;p0p100;1989;21363458.0;999;i
KY;mheago999i;p0p100;1990;29142534.0;999;i
KY;mheago999i;p0p100;1991;28288012.0;999;i
KY;mheago999i;p0p100;2015;30723268.0;999;i
KY;aptfrp999i;p0p100;1970;0.0;999;i
KY;aptfrp999i;p0p100;1971;46.3;999;i
KY;aptfrp999i;p0p100;1972;94.7;999;i
KY;aptfrp999i;p0p100;1973;152.7;999;i
KY;aptfrp999i;p0p100;1974;209.9;999;i
KY;aptfrp999i;p0p100;1975;270.7;999;i
KY;aptfrp999i;p0p100;1976;335.6;999;i
KY;aptfrp999i;p0p100;1977;404.5;999;i
KY;aptfrp999i;p0p100;1978;479.4;999;i
KY;aptfrp999i;p0p100;1979;562.2;999;i
KY;aptfrp999i;p0p100;1980;655.5;999;i
KY;aptfrp999i;p0p100;1981;761.9;999;i
KY;aptfrp999i;p0p100;1982;883.2;999;i
