country;variable;percentile;year;value;age;pop
LS;sptinc992j;p0p79;1980;0.2339;992;j
LS;sptinc992j;p0p79;1981;0.2339;992;j
LS;sptinc992j;p0p79;1982;0.2339;992;j
LS;sptinc992j;p0p79;1983;0.2339;992;j
LS;sptinc992j;p0p79;1984;0.2339;992;j
LS;sptinc992j;p0p79;1985;0.2339;992;j
LS;sptinc992j;p0p79;1986;0.2339;992;j
LS;sptinc992j;p0p79;1987;0.232;992;j
LS;sptinc992j;p0p79;1988;0.2302;992;j
LS;sptinc992j;p0p79;1989;0.2283;992;j
LS;sptinc992j;p0p79;1990;0.2264;992;j
LS;sptinc992j;p0p79;1991;0.2245;992;j
LS;sptinc992j;p0p79;1992;0.2226;992;j
LS;sptinc992j;p0p79;1993;0.2208;992;j
LS;sptinc992j;p0p79;1994;0.1931;992;j
LS;sptinc992j;p0p79;1995;0.2038;992;j
LS;sptinc992j;p0p79;1996;0.2144;992;j
LS;sptinc992j;p0p79;1997;0.2251;992;j
LS;sptinc992j;p0p79;1998;0.2358;992;j
LS;sptinc992j;p0p79;1999;0.2465;992;j
LS;sptinc992j;p0p79;2000;0.2572;992;j
LS;sptinc992j;p0p79;2001;0.2679;992;j
LS;sptinc992j;p0p79;2002;0.2786;992;j
LS;sptinc992j;p0p79;2003;0.2756;992;j
LS;sptinc992j;p0p79;2004;0.2726;992;j
LS;sptinc992j;p0p79;2005;0.2696;992;j
LS;sptinc992j;p0p79;2006;0.2667;992;j
LS;sptinc992j;p0p79;2007;0.2637;992;j
LS;sptinc992j;p0p79;2008;0.2607;992;j
LS;sptinc992j;p0p79;2009;0.2577;992;j
LS;sptinc992j;p0p79;2010;0.2548;992;j
LS;sptinc992j;p0p79;2011;0.265;992;j
LS;sptinc992j;p0p79;2012;0.2753;992;j
LS;sptinc992j;p0p79;2013;0.2855;992;j
LS;sptinc992j;p0p79;2014;0.2958;992;j
LS;sptinc992j;p0p79;2015;0.3061;992;j
LS;sptinc992j;p0p79;2016;0.3164;992;j
LS;sptinc992j;p0p79;2017;0.3267;992;j
LS;sptinc992j;p0p79;2018;0.3267;992;j
LS;sptinc992j;p0p79;2019;0.3267;992;j
LS;aptinc992j;p17p18;1980;2460.2;992;j
LS;aptinc992j;p17p18;1981;2487.8;992;j
LS;aptinc992j;p17p18;1982;4463.0;992;j
LS;aptinc992j;p17p18;1983;4684.5;992;j
LS;aptinc992j;p17p18;1984;4794.2;992;j
LS;aptinc992j;p17p18;1985;4650.9;992;j
LS;aptinc992j;p17p18;1986;4578.3;992;j
LS;aptinc992j;p17p18;1987;4798.7;992;j
LS;aptinc992j;p17p18;1988;4227.5;992;j
LS;aptinc992j;p17p18;1989;4103.2;992;j
LS;aptinc992j;p17p18;1990;4057.0;992;j
LS;aptinc992j;p17p18;1991;3855.4;992;j
LS;aptinc992j;p17p18;1992;3639.9;992;j
LS;aptinc992j;p17p18;1993;3377.9;992;j
LS;aptinc992j;p17p18;1994;2700.3;992;j
LS;aptinc992j;p17p18;1995;2848.4;992;j
LS;aptinc992j;p17p18;1996;3026.4;992;j
LS;aptinc992j;p17p18;1997;3163.4;992;j
LS;aptinc992j;p17p18;1998;3127.9;992;j
LS;aptinc992j;p17p18;1999;3310.0;992;j
LS;aptinc992j;p17p18;2000;3425.8;992;j
LS;aptinc992j;p17p18;2001;3552.9;992;j
LS;aptinc992j;p17p18;2002;3799.3;992;j
LS;aptinc992j;p17p18;2003;3903.7;992;j
LS;aptinc992j;p17p18;2004;3747.4;992;j
LS;aptinc992j;p17p18;2005;3872.7;992;j
LS;aptinc992j;p17p18;2006;3902.6;992;j
LS;aptinc992j;p17p18;2007;3859.2;992;j
LS;aptinc992j;p17p18;2008;3906.7;992;j
LS;aptinc992j;p17p18;2009;3746.3;992;j
LS;aptinc992j;p17p18;2010;3770.7;992;j
LS;aptinc992j;p17p18;2011;3958.7;992;j
LS;aptinc992j;p17p18;2012;4312.9;992;j
LS;aptinc992j;p17p18;2013;4560.9;992;j
