country;variable;percentile;year;value;age;pop
MV;sptinc992j;p0p57;1980;0.1547;992;j
MV;sptinc992j;p0p57;1981;0.1547;992;j
MV;sptinc992j;p0p57;1982;0.1547;992;j
MV;sptinc992j;p0p57;1983;0.1547;992;j
MV;sptinc992j;p0p57;1984;0.1547;992;j
MV;sptinc992j;p0p57;1985;0.1547;992;j
MV;sptinc992j;p0p57;1986;0.1547;992;j
MV;sptinc992j;p0p57;1987;0.1547;992;j
MV;sptinc992j;p0p57;1988;0.1547;992;j
MV;sptinc992j;p0p57;1989;0.1547;992;j
MV;sptinc992j;p0p57;1990;0.1547;992;j
MV;sptinc992j;p0p57;1991;0.1547;992;j
MV;sptinc992j;p0p57;1992;0.1547;992;j
MV;sptinc992j;p0p57;1993;0.1547;992;j
MV;sptinc992j;p0p57;1994;0.1547;992;j
MV;sptinc992j;p0p57;1995;0.1547;992;j
MV;sptinc992j;p0p57;1996;0.1547;992;j
MV;sptinc992j;p0p57;1997;0.1546;992;j
MV;sptinc992j;p0p57;1998;0.1547;992;j
MV;sptinc992j;p0p57;1999;0.1545;992;j
MV;sptinc992j;p0p57;2000;0.1545;992;j
MV;sptinc992j;p0p57;2001;0.1545;992;j
MV;sptinc992j;p0p57;2002;0.1542;992;j
MV;sptinc992j;p0p57;2003;0.1579;992;j
MV;sptinc992j;p0p57;2004;0.1622;992;j
MV;sptinc992j;p0p57;2005;0.1663;992;j
MV;sptinc992j;p0p57;2006;0.1702;992;j
MV;sptinc992j;p0p57;2007;0.1739;992;j
MV;sptinc992j;p0p57;2008;0.1799;992;j
MV;sptinc992j;p0p57;2009;0.1848;992;j
MV;sptinc992j;p0p57;2010;0.1833;992;j
MV;sptinc992j;p0p57;2011;0.1842;992;j
MV;sptinc992j;p0p57;2012;0.1844;992;j
MV;sptinc992j;p0p57;2013;0.1847;992;j
MV;sptinc992j;p0p57;2014;0.1853;992;j
MV;sptinc992j;p0p57;2015;0.1858;992;j
MV;sptinc992j;p0p57;2016;0.186;992;j
MV;sptinc992j;p0p57;2017;0.186;992;j
MV;sptinc992j;p0p57;2018;0.186;992;j
MV;sptinc992j;p0p57;2019;0.186;992;j
MV;sptinc992j;p0p99.97;1980;0.8907;992;j
MV;sptinc992j;p0p99.97;1981;0.8907;992;j
MV;sptinc992j;p0p99.97;1982;0.8907;992;j
MV;sptinc992j;p0p99.97;1983;0.8907;992;j
MV;sptinc992j;p0p99.97;1984;0.8907;992;j
MV;sptinc992j;p0p99.97;1985;0.8907;992;j
MV;sptinc992j;p0p99.97;1986;0.8907;992;j
MV;sptinc992j;p0p99.97;1987;0.8907;992;j
MV;sptinc992j;p0p99.97;1988;0.8907;992;j
MV;sptinc992j;p0p99.97;1989;0.8907;992;j
MV;sptinc992j;p0p99.97;1990;0.8907;992;j
MV;sptinc992j;p0p99.97;1991;0.8907;992;j
MV;sptinc992j;p0p99.97;1992;0.8907;992;j
MV;sptinc992j;p0p99.97;1993;0.8907;992;j
MV;sptinc992j;p0p99.97;1994;0.8907;992;j
MV;sptinc992j;p0p99.97;1995;0.8907;992;j
MV;sptinc992j;p0p99.97;1996;0.8907;992;j
MV;sptinc992j;p0p99.97;1997;0.8908;992;j
MV;sptinc992j;p0p99.97;1998;0.8907;992;j
MV;sptinc992j;p0p99.97;1999;0.891;992;j
MV;sptinc992j;p0p99.97;2000;0.891;992;j
MV;sptinc992j;p0p99.97;2001;0.891;992;j
MV;sptinc992j;p0p99.97;2002;0.8915;992;j
MV;sptinc992j;p0p99.97;2003;0.9015;992;j
MV;sptinc992j;p0p99.97;2004;0.911;992;j
MV;sptinc992j;p0p99.97;2005;0.9207;992;j
MV;sptinc992j;p0p99.97;2006;0.9304;992;j
MV;sptinc992j;p0p99.97;2007;0.9399;992;j
MV;sptinc992j;p0p99.97;2008;0.9509;992;j
MV;sptinc992j;p0p99.97;2009;0.9616;992;j
MV;sptinc992j;p0p99.97;2010;0.9603;992;j
MV;sptinc992j;p0p99.97;2011;0.9611;992;j
MV;sptinc992j;p0p99.97;2012;0.9613;992;j
MV;sptinc992j;p0p99.97;2013;0.9615;992;j
MV;sptinc992j;p0p99.97;2014;0.962;992;j
MV;sptinc992j;p0p99.97;2015;0.9624;992;j
MV;sptinc992j;p0p99.97;2016;0.9626;992;j
MV;sptinc992j;p0p99.97;2017;0.9626;992;j
MV;sptinc992j;p0p99.97;2018;0.9626;992;j
MV;sptinc992j;p0p99.97;2019;0.9626;992;j
MV;sptinc992j;p38p39;1980;0.0037;992;j
MV;sptinc992j;p38p39;1981;0.0037;992;j
MV;sptinc992j;p38p39;1982;0.0037;992;j
MV;sptinc992j;p38p39;1983;0.0037;992;j
MV;sptinc992j;p38p39;1984;0.0037;992;j
MV;sptinc992j;p38p39;1985;0.0037;992;j
MV;sptinc992j;p38p39;1986;0.0037;992;j
MV;sptinc992j;p38p39;1987;0.0037;992;j
MV;sptinc992j;p38p39;1988;0.0037;992;j
MV;sptinc992j;p38p39;1989;0.0037;992;j
MV;sptinc992j;p38p39;1990;0.0037;992;j
MV;sptinc992j;p38p39;1991;0.0037;992;j
MV;sptinc992j;p38p39;1992;0.0037;992;j
MV;sptinc992j;p38p39;1993;0.0037;992;j
MV;sptinc992j;p38p39;1994;0.0037;992;j
MV;sptinc992j;p38p39;1995;0.0037;992;j
MV;sptinc992j;p38p39;1996;0.0037;992;j
MV;sptinc992j;p38p39;1997;0.0037;992;j
MV;sptinc992j;p38p39;1998;0.0037;992;j
MV;sptinc992j;p38p39;1999;0.0037;992;j
MV;sptinc992j;p38p39;2000;0.0037;992;j
MV;sptinc992j;p38p39;2001;0.0037;992;j
MV;sptinc992j;p38p39;2002;0.0037;992;j
MV;sptinc992j;p38p39;2003;0.0038;992;j
MV;sptinc992j;p38p39;2004;0.0039;992;j
MV;sptinc992j;p38p39;2005;0.0041;992;j
MV;sptinc992j;p38p39;2006;0.0042;992;j
MV;sptinc992j;p38p39;2007;0.0043;992;j
MV;sptinc992j;p38p39;2008;0.0044;992;j
MV;sptinc992j;p38p39;2009;0.0046;992;j
MV;sptinc992j;p38p39;2010;0.0045;992;j
MV;sptinc992j;p38p39;2011;0.0045;992;j
MV;sptinc992j;p38p39;2012;0.0045;992;j
MV;sptinc992j;p38p39;2013;0.0046;992;j
MV;sptinc992j;p38p39;2014;0.0046;992;j
MV;sptinc992j;p38p39;2015;0.0046;992;j
MV;sptinc992j;p38p39;2016;0.0046;992;j
MV;sptinc992j;p38p39;2017;0.0046;992;j
MV;sptinc992j;p38p39;2018;0.0046;992;j
MV;sptinc992j;p38p39;2019;0.0046;992;j
MV;sptinc992j;p10p11;1980;0.0009;992;j
MV;sptinc992j;p10p11;1981;0.0009;992;j
MV;sptinc992j;p10p11;1982;0.0009;992;j
MV;sptinc992j;p10p11;1983;0.0009;992;j
