country;variable;percentile;year;value;age;pop
MX;tptinc992j;p7p100;1980;5495.7;992;j
MX;tptinc992j;p7p100;1981;5723.4;992;j
MX;tptinc992j;p7p100;1982;5277.4;992;j
MX;tptinc992j;p7p100;1983;4821.8;992;j
MX;tptinc992j;p7p100;1984;4882.4;992;j
MX;tptinc992j;p7p100;1985;4869.6;992;j
MX;tptinc992j;p7p100;1986;4235.0;992;j
MX;tptinc992j;p7p100;1987;4331.4;992;j
MX;tptinc992j;p7p100;1988;4371.0;992;j
MX;tptinc992j;p7p100;1989;4508.1;992;j
MX;tptinc992j;p7p100;1990;4464.7;992;j
MX;tptinc992j;p7p100;1991;4592.8;992;j
MX;tptinc992j;p7p100;1992;4639.5;992;j
MX;tptinc992j;p7p100;1993;5461.0;992;j
MX;tptinc992j;p7p100;1994;5564.1;992;j
MX;tptinc992j;p7p100;1995;4868.3;992;j
MX;tptinc992j;p7p100;1996;4966.1;992;j
MX;tptinc992j;p7p100;1997;5279.1;992;j
MX;tptinc992j;p7p100;1998;5402.3;992;j
MX;tptinc992j;p7p100;1999;5482.2;992;j
MX;tptinc992j;p7p100;2000;5723.9;992;j
MX;tptinc992j;p7p100;2001;5616.8;992;j
MX;tptinc992j;p7p100;2002;0.1;992;j
MX;tptinc992j;p7p100;2003;6160.2;992;j
MX;tptinc992j;p7p100;2004;0.1;992;j
MX;tptinc992j;p7p100;2005;7423.2;992;j
MX;tptinc992j;p7p100;2006;0.1;992;j
MX;tptinc992j;p7p100;2007;7387.4;992;j
MX;tptinc992j;p7p100;2008;0.1;992;j
MX;tptinc992j;p7p100;2009;6390.3;992;j
MX;tptinc992j;p7p100;2010;0.1;992;j
MX;tptinc992j;p7p100;2011;6992.5;992;j
MX;tptinc992j;p7p100;2012;0.1;992;j
MX;tptinc992j;p7p100;2013;7291.5;992;j
MX;tptinc992j;p7p100;2014;0.1;992;j
MX;tptinc992j;p7p100;2015;7645.3;992;j
MX;tptinc992j;p7p100;2016;7893.2;992;j
MX;tptinc992j;p7p100;2017;8119.7;992;j
MX;tptinc992j;p7p100;2018;0.1;992;j
MX;tptinc992j;p7p100;2019;8282.4;992;j
MX;sptinc992j;p56p100;1980;0.8945;992;j
MX;sptinc992j;p56p100;1981;0.8945;992;j
MX;sptinc992j;p56p100;1982;0.8945;992;j
MX;sptinc992j;p56p100;1983;0.8945;992;j
MX;sptinc992j;p56p100;1984;0.8945;992;j
MX;sptinc992j;p56p100;1985;0.8945;992;j
MX;sptinc992j;p56p100;1986;0.8945;992;j
MX;sptinc992j;p56p100;1987;0.8945;992;j
MX;sptinc992j;p56p100;1988;0.8945;992;j
MX;sptinc992j;p56p100;1989;0.8945;992;j
MX;sptinc992j;p56p100;1990;0.8945;992;j
MX;sptinc992j;p56p100;1991;0.8945;992;j
MX;sptinc992j;p56p100;1992;0.8945;992;j
MX;sptinc992j;p56p100;1993;0.8945;992;j
MX;sptinc992j;p56p100;1994;0.8945;992;j
MX;sptinc992j;p56p100;1995;0.8945;992;j
MX;sptinc992j;p56p100;1996;0.8945;992;j
MX;sptinc992j;p56p100;1997;0.8945;992;j
MX;sptinc992j;p56p100;1998;0.8945;992;j
MX;sptinc992j;p56p100;1999;0.8945;992;j
MX;sptinc992j;p56p100;2000;0.8945;992;j
MX;sptinc992j;p56p100;2001;0.8945;992;j
MX;sptinc992j;p56p100;2002;0.8945;992;j
MX;sptinc992j;p56p100;2003;0.8924;992;j
MX;sptinc992j;p56p100;2004;0.892;992;j
MX;sptinc992j;p56p100;2005;0.8929;992;j
MX;sptinc992j;p56p100;2006;0.8955;992;j
MX;sptinc992j;p56p100;2007;0.8994;992;j
MX;sptinc992j;p56p100;2008;0.9032;992;j
MX;sptinc992j;p56p100;2009;0.9054;992;j
MX;sptinc992j;p56p100;2010;0.9078;992;j
MX;sptinc992j;p56p100;2011;0.9042;992;j
MX;sptinc992j;p56p100;2012;0.9021;992;j
MX;sptinc992j;p56p100;2013;0.9034;992;j
MX;sptinc992j;p56p100;2014;0.9067;992;j
MX;sptinc992j;p56p100;2015;0.9024;992;j
MX;sptinc992j;p56p100;2016;0.8981;992;j
MX;sptinc992j;p56p100;2017;0.8938;992;j
MX;sptinc992j;p56p100;2018;0.891;992;j
MX;sptinc992j;p56p100;2019;0.891;992;j
MX;tptinc992j;p51p52;1980;98967.6;992;j
MX;tptinc992j;p51p52;1981;103069.8;992;j
MX;tptinc992j;p51p52;1982;95036.9;992;j
MX;tptinc992j;p51p52;1983;86832.7;992;j
MX;tptinc992j;p51p52;1984;87923.6;992;j
MX;tptinc992j;p51p52;1985;87693.8;992;j
MX;tptinc992j;p51p52;1986;76265.3;992;j
MX;tptinc992j;p51p52;1987;78000.7;992;j
MX;tptinc992j;p51p52;1988;78715.2;992;j
MX;tptinc992j;p51p52;1989;81182.6;992;j
MX;tptinc992j;p51p52;1990;80402.4;992;j
MX;tptinc992j;p51p52;1991;82708.0;992;j
MX;tptinc992j;p51p52;1992;83549.6;992;j
MX;tptinc992j;p51p52;1993;98343.8;992;j
MX;tptinc992j;p51p52;1994;100199.9;992;j
MX;tptinc992j;p51p52;1995;87670.8;992;j
MX;tptinc992j;p51p52;1996;89430.9;992;j
MX;tptinc992j;p51p52;1997;95068.0;992;j
MX;tptinc992j;p51p52;1998;97285.9;992;j
MX;tptinc992j;p51p52;1999;98725.1;992;j
MX;tptinc992j;p51p52;2000;103078.6;992;j
MX;tptinc992j;p51p52;2001;101149.0;992;j
MX;tptinc992j;p51p52;2002;1.3;992;j
MX;tptinc992j;p51p52;2003;90791.5;992;j
MX;tptinc992j;p51p52;2004;1.0;992;j
MX;tptinc992j;p51p52;2005;89734.6;992;j
MX;tptinc992j;p51p52;2006;0.9;992;j
MX;tptinc992j;p51p52;2007;89399.2;992;j
MX;tptinc992j;p51p52;2008;0.8;992;j
MX;tptinc992j;p51p52;2009;77573.4;992;j
MX;tptinc992j;p51p52;2010;0.7;992;j
MX;tptinc992j;p51p52;2011;81106.5;992;j
MX;tptinc992j;p51p52;2012;0.7;992;j
MX;tptinc992j;p51p52;2013;80604.5;992;j
MX;tptinc992j;p51p52;2014;0.6;992;j
MX;tptinc992j;p51p52;2015;82312.4;992;j
MX;tptinc992j;p51p52;2016;85731.7;992;j
MX;tptinc992j;p51p52;2017;88919.2;992;j
MX;tptinc992j;p51p52;2018;0.6;992;j
MX;tptinc992j;p51p52;2019;91399.7;992;j
MX;mgsmho999i;p0p100;1993;4080245145600.0;999;i
MX;mgsmho999i;p0p100;1994;4270705606656.0;999;i
MX;mgsmho999i;p0p100;1995;4068565581824.0;999;i
MX;mgsmho999i;p0p100;1996;4290289860608.0;999;i
MX;mgsmho999i;p0p100;1997;4575771754496.0;999;i
MX;mgsmho999i;p0p100;1998;4815692759040.0;999;i
MX;mgsmho999i;p0p100;1999;4906420797440.0;999;i
MX;mgsmho999i;p0p100;2000;5190229426176.0;999;i
MX;mgsmho999i;p0p100;2001;5159403913216.0;999;i
MX;mgsmho999i;p0p100;2002;5038432321536.0;999;i
MX;mgsmho999i;p0p100;2003;4803872686080.0;999;i
MX;mgsmho999i;p0p100;2004;4895365660672.0;999;i
MX;mgsmho999i;p0p100;2005;5045346107392.0;999;i
MX;mgsmho999i;p0p100;2006;5188534927360.0;999;i
MX;mgsmho999i;p0p100;2007;5355073961984.0;999;i
MX;mgsmho999i;p0p100;2008;5446819119104.0;999;i
MX;mgsmho999i;p0p100;2009;5701790334976.0;999;i
MX;mgsmho999i;p0p100;2010;5977709477888.0;999;i
MX;mgsmho999i;p0p100;2011;6080516063232.0;999;i
MX;mgsmho999i;p0p100;2012;6121472917504.0;999;i
MX;mgsmho999i;p0p100;2013;6345014640640.0;999;i
MX;mgsmho999i;p0p100;2014;6403823501312.0;999;i
MX;mgsmho999i;p0p100;2015;6629942624256.0;999;i
