country;variable;percentile;year;value;age;pop
NC;afinrx999i;p0p100;2002;279122.4;999;i
NC;afinrx999i;p0p100;2003;289873.8;999;i
NC;afinrx999i;p0p100;2004;273347.6;999;i
NC;afinrx999i;p0p100;2005;296614.3;999;i
NC;afinrx999i;p0p100;2006;278196.6;999;i
NC;afinrx999i;p0p100;2007;225257.7;999;i
NC;afinrx999i;p0p100;2008;257372.1;999;i
NC;afinrx999i;p0p100;2009;240162.9;999;i
NC;afinrx999i;p0p100;2010;224612.5;999;i
NC;afinrx999i;p0p100;2011;245219.8;999;i
NC;afinrx999i;p0p100;2012;315743.7;999;i
NC;afinrx999i;p0p100;2013;297556.6;999;i
NC;afinrx999i;p0p100;2014;272814.6;999;i
NC;afinrx999i;p0p100;2015;281452.4;999;i
NC;afinrx999i;p0p100;2016;275995.4;999;i
NC;npopul995f;p0p100;1950;2004.0;995;f
NC;npopul995f;p0p100;1951;2001.0;995;f
NC;npopul995f;p0p100;1952;2008.0;995;f
NC;npopul995f;p0p100;1953;2026.0;995;f
NC;npopul995f;p0p100;1954;2053.0;995;f
NC;npopul995f;p0p100;1955;2078.0;995;f
NC;npopul995f;p0p100;1956;2131.0;995;f
NC;npopul995f;p0p100;1957;2188.0;995;f
NC;npopul995f;p0p100;1958;2249.0;995;f
NC;npopul995f;p0p100;1959;2312.0;995;f
NC;npopul995f;p0p100;1960;2378.0;995;f
NC;npopul995f;p0p100;1961;2441.0;995;f
NC;npopul995f;p0p100;1962;2509.0;995;f
NC;npopul995f;p0p100;1963;2574.0;995;f
NC;npopul995f;p0p100;1964;2646.0;995;f
NC;npopul995f;p0p100;1965;2729.0;995;f
NC;npopul995f;p0p100;1966;2825.0;995;f
NC;npopul995f;p0p100;1967;2921.0;995;f
NC;npopul995f;p0p100;1968;3036.0;995;f
NC;npopul995f;p0p100;1969;3159.0;995;f
NC;npopul995f;p0p100;1970;3292.0;995;f
NC;npopul995f;p0p100;1971;3436.0;995;f
NC;npopul995f;p0p100;1972;3588.0;995;f
NC;npopul995f;p0p100;1973;3738.0;995;f
NC;npopul995f;p0p100;1974;3887.0;995;f
NC;npopul995f;p0p100;1975;4026.0;995;f
NC;npopul995f;p0p100;1976;4154.0;995;f
NC;npopul995f;p0p100;1977;4277.0;995;f
NC;npopul995f;p0p100;1978;4405.0;995;f
NC;npopul995f;p0p100;1979;4524.0;995;f
NC;npopul995f;p0p100;1980;4641.0;995;f
NC;npopul995f;p0p100;1981;4808.0;995;f
NC;npopul995f;p0p100;1982;4963.0;995;f
NC;npopul995f;p0p100;1983;5111.0;995;f
NC;npopul995f;p0p100;1984;5261.0;995;f
NC;npopul995f;p0p100;1985;5416.0;995;f
NC;npopul995f;p0p100;1986;5575.0;995;f
NC;npopul995f;p0p100;1987;5738.0;995;f
NC;npopul995f;p0p100;1988;5931.0;995;f
NC;npopul995f;p0p100;1989;6142.0;995;f
NC;npopul995f;p0p100;1990;6387.0;995;f
NC;npopul995f;p0p100;1991;6561.0;995;f
NC;npopul995f;p0p100;1992;6754.0;995;f
NC;npopul995f;p0p100;1993;6948.0;995;f
NC;npopul995f;p0p100;1994;7138.0;995;f
NC;npopul995f;p0p100;1995;7341.0;995;f
NC;npopul995f;p0p100;1996;7776.0;995;f
NC;npopul995f;p0p100;1997;8232.0;995;f
NC;npopul995f;p0p100;1998;8716.0;995;f
NC;npopul995f;p0p100;1999;9202.0;995;f
NC;npopul995f;p0p100;2000;9673.0;995;f
NC;npopul995f;p0p100;2001;10011.0;995;f
NC;npopul995f;p0p100;2002;10340.0;995;f
NC;npopul995f;p0p100;2003;10683.0;995;f
NC;npopul995f;p0p100;2004;11055.0;995;f
NC;npopul995f;p0p100;2005;11472.0;995;f
NC;npopul995f;p0p100;2006;11957.0;995;f
NC;npopul995f;p0p100;2007;12480.0;995;f
NC;npopul995f;p0p100;2008;13027.0;995;f
NC;npopul995f;p0p100;2009;13590.0;995;f
NC;npopul995f;p0p100;2010;14169.0;995;f
NC;npopul995f;p0p100;2011;14701.0;995;f
NC;npopul995f;p0p100;2012;15262.0;995;f
NC;npopul995f;p0p100;2013;15851.0;995;f
NC;npopul995f;p0p100;2014;16488.0;995;f
NC;npopul995f;p0p100;2015;17179.0;995;f
NC;npopul995f;p0p100;2016;17886.0;995;f
NC;npopul995f;p0p100;2017;18652.0;995;f
NC;npopul995f;p0p100;2018;19467.0;995;f
NC;npopul995f;p0p100;2019;20354.0;995;f
NC;npopul993m;p0p100;1950;10108.0;993;m
NC;npopul993m;p0p100;1951;10009.0;993;m
NC;npopul993m;p0p100;1952;10034.0;993;m
NC;npopul993m;p0p100;1953;10143.0;993;m
NC;npopul993m;p0p100;1954;10303.0;993;m
NC;npopul993m;p0p100;1955;10485.0;993;m
