country;variable;percentile;year;value;age;pop
NU;npopul999i;p0p100;1950;4667.0;999;i
NU;npopul999i;p0p100;1951;4678.0;999;i
NU;npopul999i;p0p100;1952;4684.0;999;i
NU;npopul999i;p0p100;1953;4686.0;999;i
NU;npopul999i;p0p100;1954;4685.0;999;i
NU;npopul999i;p0p100;1955;4694.0;999;i
NU;npopul999i;p0p100;1956;4700.0;999;i
NU;npopul999i;p0p100;1957;4719.0;999;i
NU;npopul999i;p0p100;1958;4750.0;999;i
NU;npopul999i;p0p100;1959;4788.0;999;i
NU;npopul999i;p0p100;1960;4826.0;999;i
NU;npopul999i;p0p100;1961;4875.0;999;i
NU;npopul999i;p0p100;1962;4931.0;999;i
NU;npopul999i;p0p100;1963;4983.0;999;i
NU;npopul999i;p0p100;1964;5045.0;999;i
NU;npopul999i;p0p100;1965;5098.0;999;i
NU;npopul999i;p0p100;1966;5151.0;999;i
NU;npopul999i;p0p100;1967;5208.0;999;i
NU;npopul999i;p0p100;1968;5237.0;999;i
NU;npopul999i;p0p100;1969;5218.0;999;i
NU;npopul999i;p0p100;1970;5135.0;999;i
NU;npopul999i;p0p100;1971;4964.0;999;i
NU;npopul999i;p0p100;1972;4724.0;999;i
NU;npopul999i;p0p100;1973;4449.0;999;i
NU;npopul999i;p0p100;1974;4191.0;999;i
NU;npopul999i;p0p100;1975;3976.0;999;i
NU;npopul999i;p0p100;1976;3807.0;999;i
NU;npopul999i;p0p100;1977;3686.0;999;i
NU;npopul999i;p0p100;1978;3599.0;999;i
NU;npopul999i;p0p100;1979;3511.0;999;i
NU;npopul999i;p0p100;1980;3404.0;999;i
NU;npopul999i;p0p100;1981;3269.0;999;i
NU;npopul999i;p0p100;1982;3127.0;999;i
NU;npopul999i;p0p100;1983;2981.0;999;i
NU;npopul999i;p0p100;1984;2841.0;999;i
NU;npopul999i;p0p100;1985;2719.0;999;i
NU;npopul999i;p0p100;1986;2609.0;999;i
NU;npopul999i;p0p100;1987;2521.0;999;i
NU;npopul999i;p0p100;1988;2450.0;999;i
NU;npopul999i;p0p100;1989;2383.0;999;i
NU;npopul999i;p0p100;1990;2329.0;999;i
NU;npopul999i;p0p100;1991;2288.0;999;i
NU;npopul999i;p0p100;1992;2258.0;999;i
NU;npopul999i;p0p100;1993;2236.0;999;i
NU;npopul999i;p0p100;1994;2205.0;999;i
NU;npopul999i;p0p100;1995;2165.0;999;i
NU;npopul999i;p0p100;1996;2124.0;999;i
NU;npopul999i;p0p100;1997;2067.0;999;i
NU;npopul999i;p0p100;1998;2010.0;999;i
NU;npopul999i;p0p100;1999;1956.0;999;i
NU;npopul999i;p0p100;2000;1899.0;999;i
NU;npopul999i;p0p100;2001;1854.0;999;i
NU;npopul999i;p0p100;2002;1791.0;999;i
NU;npopul999i;p0p100;2003;1755.0;999;i
NU;npopul999i;p0p100;2004;1715.0;999;i
NU;npopul999i;p0p100;2005;1683.0;999;i
NU;npopul999i;p0p100;2006;1661.0;999;i
NU;npopul999i;p0p100;2007;1643.0;999;i
NU;npopul999i;p0p100;2008;1635.0;999;i
NU;npopul999i;p0p100;2009;1628.0;999;i
NU;npopul999i;p0p100;2010;1618.0;999;i
NU;npopul999i;p0p100;2011;1620.0;999;i
NU;npopul999i;p0p100;2012;1610.0;999;i
NU;npopul999i;p0p100;2013;1612.0;999;i
NU;npopul999i;p0p100;2014;1609.0;999;i
NU;npopul999i;p0p100;2015;1619.0;999;i
NU;npopul999i;p0p100;2016;1614.0;999;i
NU;npopul999i;p0p100;2017;1609.0;999;i
NU;npopul999i;p0p100;2018;1620.0;999;i
NU;npopul999i;p0p100;2019;1615.0;999;i
