country;variable;percentile;year;value;age;pop
QD-MER;bptinc992j;p7p100;1980;60.801815033;992;j
QD-MER;bptinc992j;p7p100;1981;59.7289161682;992;j
QD-MER;bptinc992j;p7p100;1982;58.1866722107;992;j
QD-MER;bptinc992j;p7p100;1983;58.1003456116;992;j
QD-MER;bptinc992j;p7p100;1984;57.3398094177;992;j
QD-MER;bptinc992j;p7p100;1985;57.9651184082;992;j
QD-MER;bptinc992j;p7p100;1986;58.8849716187;992;j
QD-MER;bptinc992j;p7p100;1987;58.2953033447;992;j
QD-MER;bptinc992j;p7p100;1988;61.5588531494;992;j
QD-MER;bptinc992j;p7p100;1989;60.3957557678;992;j
QD-MER;bptinc992j;p7p100;1990;59.4530754089;992;j
QD-MER;bptinc992j;p7p100;1991;59.3484077454;992;j
QD-MER;bptinc992j;p7p100;1992;59.7777137756;992;j
QD-MER;bptinc992j;p7p100;1993;63.2114105225;992;j
QD-MER;bptinc992j;p7p100;1994;65.1000900269;992;j
QD-MER;bptinc992j;p7p100;1995;66.8580245972;992;j
QD-MER;bptinc992j;p7p100;1996;80.4065551758;992;j
QD-MER;bptinc992j;p7p100;1997;66.8400650024;992;j
QD-MER;bptinc992j;p7p100;1998;63.9997215271;992;j
QD-MER;bptinc992j;p7p100;1999;61.6861572266;992;j
QD-MER;bptinc992j;p7p100;2000;63.3196105957;992;j
QD-MER;bptinc992j;p7p100;2001;63.498588562;992;j
QD-MER;bptinc992j;p7p100;2002;64.5164031982;992;j
QD-MER;bptinc992j;p7p100;2003;65.5123977661;992;j
QD-MER;bptinc992j;p7p100;2004;65.6457977295;992;j
QD-MER;bptinc992j;p7p100;2005;67.6637496948;992;j
QD-MER;bptinc992j;p7p100;2006;67.528503418;992;j
QD-MER;bptinc992j;p7p100;2007;68.2509689331;992;j
QD-MER;bptinc992j;p7p100;2008;66.9147491455;992;j
QD-MER;bptinc992j;p7p100;2009;63.8764457703;992;j
QD-MER;bptinc992j;p7p100;2010;67.64793396;992;j
QD-MER;bptinc992j;p7p100;2011;66.3915023804;992;j
QD-MER;bptinc992j;p7p100;2012;63.1461219788;992;j
QD-MER;bptinc992j;p7p100;2013;65.575843811;992;j
QD-MER;bptinc992j;p7p100;2014;69.0974349976;992;j
QD-MER;bptinc992j;p7p100;2015;68.4868011475;992;j
QD-MER;bptinc992j;p7p100;2016;67.6618881226;992;j
QD-MER;bptinc992j;p7p100;2017;66.797492981;992;j
QD-MER;bptinc992j;p7p100;2018;66.3809967041;992;j
QD-MER;bptinc992j;p7p100;2019;67.1311264038;992;j
QD-MER;aptinc992j;p62p63;1980;1340.7;992;j
QD-MER;aptinc992j;p62p63;1981;1385.3;992;j
QD-MER;aptinc992j;p62p63;1982;1440.2;992;j
QD-MER;aptinc992j;p62p63;1983;1481.9;992;j
QD-MER;aptinc992j;p62p63;1984;1552.5;992;j
QD-MER;aptinc992j;p62p63;1985;1579.2;992;j
QD-MER;aptinc992j;p62p63;1986;1613.3;992;j
QD-MER;aptinc992j;p62p63;1987;1659.5;992;j
QD-MER;aptinc992j;p62p63;1988;1688.5;992;j
QD-MER;aptinc992j;p62p63;1989;1684.7;992;j
QD-MER;aptinc992j;p62p63;1990;1684.5;992;j
QD-MER;aptinc992j;p62p63;1991;1700.1;992;j
QD-MER;aptinc992j;p62p63;1992;1716.8;992;j
QD-MER;aptinc992j;p62p63;1993;1748.2;992;j
QD-MER;aptinc992j;p62p63;1994;1766.4;992;j
QD-MER;aptinc992j;p62p63;1995;1840.8;992;j
QD-MER;aptinc992j;p62p63;1996;1874.9;992;j
QD-MER;aptinc992j;p62p63;1997;1968.1;992;j
QD-MER;aptinc992j;p62p63;1998;1917.8;992;j
QD-MER;aptinc992j;p62p63;1999;1920.7;992;j
QD-MER;aptinc992j;p62p63;2000;1999.3;992;j
QD-MER;aptinc992j;p62p63;2001;2049.7;992;j
QD-MER;aptinc992j;p62p63;2002;2078.2;992;j
QD-MER;aptinc992j;p62p63;2003;2152.1;992;j
QD-MER;aptinc992j;p62p63;2004;2311.0;992;j
QD-MER;aptinc992j;p62p63;2005;2436.2;992;j
QD-MER;aptinc992j;p62p63;2006;2639.4;992;j
QD-MER;aptinc992j;p62p63;2007;2885.6;992;j
QD-MER;aptinc992j;p62p63;2008;2995.4;992;j
QD-MER;aptinc992j;p62p63;2009;3100.1;992;j
QD-MER;aptinc992j;p62p63;2010;3307.9;992;j
QD-MER;aptinc992j;p62p63;2011;3539.1;992;j
QD-MER;aptinc992j;p62p63;2012;3761.5;992;j
QD-MER;aptinc992j;p62p63;2013;3823.5;992;j
QD-MER;aptinc992j;p62p63;2014;4088.3;992;j
QD-MER;aptinc992j;p62p63;2015;4201.5;992;j
QD-MER;aptinc992j;p62p63;2016;4353.3;992;j
QD-MER;aptinc992j;p62p63;2017;4513.4;992;j
QD-MER;aptinc992j;p62p63;2018;4635.7;992;j
QD-MER;aptinc992j;p62p63;2019;4692.5;992;j
QD-MER;npopul551m;p0p100;1950;25088007.0;551;m
QD-MER;npopul551m;p0p100;1951;25293110.0;551;m
QD-MER;npopul551m;p0p100;1952;25513497.0;551;m
QD-MER;npopul551m;p0p100;1953;25833522.0;551;m
QD-MER;npopul551m;p0p100;1954;26296326.0;551;m
QD-MER;npopul551m;p0p100;1955;26894316.0;551;m
QD-MER;npopul551m;p0p100;1956;27191915.0;551;m
QD-MER;npopul551m;p0p100;1957;27674853.0;551;m
QD-MER;npopul551m;p0p100;1958;28259594.0;551;m
QD-MER;npopul551m;p0p100;1959;28871886.0;551;m
QD-MER;npopul551m;p0p100;1960;29495556.0;551;m
QD-MER;npopul551m;p0p100;1961;30018976.0;551;m
QD-MER;npopul551m;p0p100;1962;30502801.0;551;m
QD-MER;npopul551m;p0p100;1963;31008044.0;551;m
QD-MER;npopul551m;p0p100;1964;31630642.0;551;m
QD-MER;npopul551m;p0p100;1965;32419927.0;551;m
QD-MER;npopul551m;p0p100;1966;33134075.0;551;m
QD-MER;npopul551m;p0p100;1967;34041488.0;551;m
QD-MER;npopul551m;p0p100;1968;35041115.0;551;m
QD-MER;npopul551m;p0p100;1969;36005328.0;551;m
QD-MER;npopul551m;p0p100;1970;36874663.0;551;m
QD-MER;npopul551m;p0p100;1971;37390378.0;551;m
QD-MER;npopul551m;p0p100;1972;37855899.0;551;m
QD-MER;npopul551m;p0p100;1973;38323232.0;551;m
QD-MER;npopul551m;p0p100;1974;38875588.0;551;m
QD-MER;npopul551m;p0p100;1975;39570576.0;551;m
QD-MER;npopul551m;p0p100;1976;40188998.0;551;m
QD-MER;npopul551m;p0p100;1977;40907999.0;551;m
QD-MER;npopul551m;p0p100;1978;41808730.0;551;m
QD-MER;npopul551m;p0p100;1979;42815239.0;551;m
QD-MER;npopul551m;p0p100;1980;44117775.0;551;m
QD-MER;npopul551m;p0p100;1981;45513982.0;551;m
QD-MER;npopul551m;p0p100;1982;48204139.0;551;m
QD-MER;npopul551m;p0p100;1983;49416386.0;551;m
QD-MER;npopul551m;p0p100;1984;51428183.0;551;m
QD-MER;npopul551m;p0p100;1985;53166730.0;551;m
QD-MER;npopul551m;p0p100;1986;54429228.0;551;m
QD-MER;npopul551m;p0p100;1987;56384606.0;551;m
QD-MER;npopul551m;p0p100;1988;56139938.0;551;m
QD-MER;npopul551m;p0p100;1989;56957294.0;551;m
QD-MER;npopul551m;p0p100;1990;59049656.0;551;m
QD-MER;npopul551m;p0p100;1991;60216816.0;551;m
QD-MER;npopul551m;p0p100;1992;62052909.0;551;m
QD-MER;npopul551m;p0p100;1993;63677581.0;551;m
QD-MER;npopul551m;p0p100;1994;64226075.0;551;m
QD-MER;npopul551m;p0p100;1995;65611675.0;551;m
QD-MER;npopul551m;p0p100;1996;65789092.0;551;m
QD-MER;npopul551m;p0p100;1997;65774140.0;551;m
QD-MER;npopul551m;p0p100;1998;65438387.0;551;m
QD-MER;npopul551m;p0p100;1999;66454805.0;551;m
QD-MER;npopul551m;p0p100;2000;65772255.0;551;m
QD-MER;npopul551m;p0p100;2001;68141924.0;551;m
QD-MER;npopul551m;p0p100;2002;71454616.0;551;m
QD-MER;npopul551m;p0p100;2003;72194861.0;551;m
QD-MER;npopul551m;p0p100;2004;75693093.0;551;m
QD-MER;npopul551m;p0p100;2005;79531821.0;551;m
QD-MER;npopul551m;p0p100;2006;83793567.0;551;m
QD-MER;npopul551m;p0p100;2007;88955468.0;551;m
QD-MER;npopul551m;p0p100;2008;94350017.0;551;m
QD-MER;npopul551m;p0p100;2009;99303644.0;551;m
QD-MER;npopul551m;p0p100;2010;101257124.0;551;m
QD-MER;npopul551m;p0p100;2011;105030163.0;551;m
QD-MER;npopul551m;p0p100;2012;106374090.0;551;m
QD-MER;npopul551m;p0p100;2013;107305735.0;551;m
QD-MER;npopul551m;p0p100;2014;108566488.0;551;m
QD-MER;npopul551m;p0p100;2015;110774188.0;551;m
QD-MER;npopul551m;p0p100;2016;113296764.0;551;m
QD-MER;npopul551m;p0p100;2017;116589217.0;551;m
QD-MER;npopul551m;p0p100;2018;120409353.0;551;m
QD-MER;npopul551m;p0p100;2019;124453161.0;551;m
QD-MER;agdpro999i;p0p100;1950;788.4;999;i
QD-MER;agdpro999i;p0p100;1951;824.9;999;i
QD-MER;agdpro999i;p0p100;1952;870.5;999;i
QD-MER;agdpro999i;p0p100;1953;906.9;999;i
QD-MER;agdpro999i;p0p100;1954;929.4;999;i
QD-MER;agdpro999i;p0p100;1955;980.1;999;i
QD-MER;agdpro999i;p0p100;1956;1033.6;999;i
QD-MER;agdpro999i;p0p100;1957;1067.2;999;i
QD-MER;agdpro999i;p0p100;1958;1121.9;999;i
QD-MER;agdpro999i;p0p100;1959;1140.8;999;i
QD-MER;agdpro999i;p0p100;1960;1189.7;999;i
QD-MER;agdpro999i;p0p100;1961;1174.3;999;i
QD-MER;agdpro999i;p0p100;1962;1219.2;999;i
QD-MER;agdpro999i;p0p100;1963;1245.7;999;i
QD-MER;agdpro999i;p0p100;1964;1352.4;999;i
QD-MER;agdpro999i;p0p100;1965;1406.1;999;i
QD-MER;agdpro999i;p0p100;1966;1471.6;999;i
QD-MER;agdpro999i;p0p100;1967;1506.6;999;i
QD-MER;agdpro999i;p0p100;1968;1574.9;999;i
QD-MER;agdpro999i;p0p100;1969;1656.1;999;i
QD-MER;agdpro999i;p0p100;1970;1791.3;999;i
QD-MER;agdpro999i;p0p100;1971;1855.9;999;i
QD-MER;agdpro999i;p0p100;1972;1935.0;999;i
QD-MER;agdpro999i;p0p100;1973;2042.5;999;i
QD-MER;agdpro999i;p0p100;1974;2069.4;999;i
QD-MER;agdpro999i;p0p100;1975;2095.6;999;i
QD-MER;agdpro999i;p0p100;1976;2162.7;999;i
