country;variable;percentile;year;value;age;pop
QG;npopul701i;p0p100;1950;237042.0;701;i
QG;npopul701i;p0p100;1951;244217.0;701;i
QG;npopul701i;p0p100;1952;251299.0;701;i
QG;npopul701i;p0p100;1953;258576.0;701;i
QG;npopul701i;p0p100;1954;266501.0;701;i
QG;npopul701i;p0p100;1955;275298.0;701;i
QG;npopul701i;p0p100;1956;283515.0;701;i
QG;npopul701i;p0p100;1957;292084.0;701;i
QG;npopul701i;p0p100;1958;301098.0;701;i
QG;npopul701i;p0p100;1959;309840.0;701;i
QG;npopul701i;p0p100;1960;317546.0;701;i
QG;npopul701i;p0p100;1961;321137.0;701;i
QG;npopul701i;p0p100;1962;323049.0;701;i
QG;npopul701i;p0p100;1963;325175.0;701;i
QG;npopul701i;p0p100;1964;328849.0;701;i
QG;npopul701i;p0p100;1965;333650.0;701;i
QG;npopul701i;p0p100;1966;335047.0;701;i
QG;npopul701i;p0p100;1967;337159.0;701;i
QG;npopul701i;p0p100;1968;339738.0;701;i
QG;npopul701i;p0p100;1969;344102.0;701;i
QG;npopul701i;p0p100;1970;349915.0;701;i
QG;npopul701i;p0p100;1971;363613.0;701;i
QG;npopul701i;p0p100;1972;370954.0;701;i
QG;npopul701i;p0p100;1973;380888.0;701;i
QG;npopul701i;p0p100;1974;394043.0;701;i
QG;npopul701i;p0p100;1975;407761.0;701;i
QG;npopul701i;p0p100;1976;417188.0;701;i
QG;npopul701i;p0p100;1977;427039.0;701;i
QG;npopul701i;p0p100;1978;438867.0;701;i
QG;npopul701i;p0p100;1979;453210.0;701;i
QG;npopul701i;p0p100;1980;471034.0;701;i
QG;npopul701i;p0p100;1981;488204.0;701;i
QG;npopul701i;p0p100;1982;508831.0;701;i
QG;npopul701i;p0p100;1983;528417.0;701;i
QG;npopul701i;p0p100;1984;544844.0;701;i
QG;npopul701i;p0p100;1985;557642.0;701;i
QG;npopul701i;p0p100;1986;562307.0;701;i
QG;npopul701i;p0p100;1987;563576.0;701;i
