country;variable;percentile;year;value;age;pop
QL-MER;npopul701m;p0p100;1950;3669306.0;701;m
QL-MER;npopul701m;p0p100;1951;3813175.0;701;m
QL-MER;npopul701m;p0p100;1952;3937976.0;701;m
QL-MER;npopul701m;p0p100;1953;4036563.0;701;m
QL-MER;npopul701m;p0p100;1954;4093976.0;701;m
QL-MER;npopul701m;p0p100;1955;4107888.0;701;m
QL-MER;npopul701m;p0p100;1956;4101380.0;701;m
QL-MER;npopul701m;p0p100;1957;4073308.0;701;m
QL-MER;npopul701m;p0p100;1958;4036947.0;701;m
QL-MER;npopul701m;p0p100;1959;4006598.0;701;m
QL-MER;npopul701m;p0p100;1960;3991519.0;701;m
QL-MER;npopul701m;p0p100;1961;4122214.0;701;m
QL-MER;npopul701m;p0p100;1962;4217620.0;701;m
QL-MER;npopul701m;p0p100;1963;4270577.0;701;m
QL-MER;npopul701m;p0p100;1964;4285165.0;701;m
QL-MER;npopul701m;p0p100;1965;4280045.0;701;m
QL-MER;npopul701m;p0p100;1966;4427078.0;701;m
QL-MER;npopul701m;p0p100;1967;4574659.0;701;m
QL-MER;npopul701m;p0p100;1968;4727728.0;701;m
QL-MER;npopul701m;p0p100;1969;4900407.0;701;m
QL-MER;npopul701m;p0p100;1970;5106280.0;701;m
QL-MER;npopul701m;p0p100;1971;5340041.0;701;m
QL-MER;npopul701m;p0p100;1972;5601078.0;701;m
QL-MER;npopul701m;p0p100;1973;5876759.0;701;m
QL-MER;npopul701m;p0p100;1974;6147641.0;701;m
QL-MER;npopul701m;p0p100;1975;6407284.0;701;m
QL-MER;npopul701m;p0p100;1976;6654826.0;701;m
QL-MER;npopul701m;p0p100;1977;6891045.0;701;m
QL-MER;npopul701m;p0p100;1978;7148946.0;701;m
QL-MER;npopul701m;p0p100;1979;7397158.0;701;m
QL-MER;npopul701m;p0p100;1980;7695206.0;701;m
QL-MER;npopul701m;p0p100;1981;7995540.0;701;m
QL-MER;npopul701m;p0p100;1982;8361011.0;701;m
QL-MER;npopul701m;p0p100;1983;8807944.0;701;m
QL-MER;npopul701m;p0p100;1984;9288055.0;701;m
QL-MER;npopul701m;p0p100;1985;9777713.0;701;m
QL-MER;npopul701m;p0p100;1986;10202293.0;701;m
QL-MER;npopul701m;p0p100;1987;10137251.0;701;m
QL-MER;npopul701m;p0p100;1988;11010054.0;701;m
QL-MER;npopul701m;p0p100;1989;11336387.0;701;m
QL-MER;npopul701m;p0p100;1990;10592776.0;701;m
QL-MER;npopul701m;p0p100;1991;11540204.0;701;m
QL-MER;npopul701m;p0p100;1992;12062900.0;701;m
QL-MER;npopul701m;p0p100;1993;12415725.0;701;m
QL-MER;npopul701m;p0p100;1994;13080526.0;701;m
QL-MER;npopul701m;p0p100;1995;13903262.0;701;m
QL-MER;npopul701m;p0p100;1996;14216999.0;701;m
QL-MER;npopul701m;p0p100;1997;15048876.0;701;m
QL-MER;npopul701m;p0p100;1998;16321213.0;701;m
QL-MER;npopul701m;p0p100;1999;16826522.0;701;m
QL-MER;npopul701m;p0p100;2000;16143849.0;701;m
QL-MER;npopul701m;p0p100;2001;17760635.0;701;m
QL-MER;npopul701m;p0p100;2002;18705947.0;701;m
QL-MER;npopul701m;p0p100;2003;17495090.0;701;m
QL-MER;npopul701m;p0p100;2004;18102418.0;701;m
QL-MER;npopul701m;p0p100;2005;18555127.0;701;m
QL-MER;npopul701m;p0p100;2006;18892176.0;701;m
QL-MER;npopul701m;p0p100;2007;19290341.0;701;m
QL-MER;npopul701m;p0p100;2008;19690183.0;701;m
QL-MER;npopul701m;p0p100;2009;20124465.0;701;m
QL-MER;npopul701m;p0p100;2010;21038025.0;701;m
QL-MER;npopul701m;p0p100;2011;20424023.0;701;m
QL-MER;npopul701m;p0p100;2012;20485360.0;701;m
QL-MER;npopul701m;p0p100;2013;20675037.0;701;m
QL-MER;npopul701m;p0p100;2014;21083310.0;701;m
QL-MER;npopul701m;p0p100;2015;21775238.0;701;m
QL-MER;npopul701m;p0p100;2016;22498117.0;701;m
QL-MER;npopul701m;p0p100;2017;23360537.0;701;m
QL-MER;npopul701m;p0p100;2018;24446883.0;701;m
QL-MER;npopul701m;p0p100;2019;25881304.0;701;m
QL-MER;npopul151i;p0p100;1950;62162608.0;151;i
QL-MER;npopul151i;p0p100;1951;62839505.0;151;i
QL-MER;npopul151i;p0p100;1952;63321438.0;151;i
QL-MER;npopul151i;p0p100;1953;63616189.0;151;i
QL-MER;npopul151i;p0p100;1954;63926381.0;151;i
QL-MER;npopul151i;p0p100;1955;64290568.0;151;i
QL-MER;npopul151i;p0p100;1956;64019589.0;151;i
QL-MER;npopul151i;p0p100;1957;63964086.0;151;i
QL-MER;npopul151i;p0p100;1958;64128912.0;151;i
QL-MER;npopul151i;p0p100;1959;64698608.0;151;i
QL-MER;npopul151i;p0p100;1960;65919968.0;151;i
QL-MER;npopul151i;p0p100;1961;67711916.0;151;i
QL-MER;npopul151i;p0p100;1962;69877391.0;151;i
QL-MER;npopul151i;p0p100;1963;72570611.0;151;i
QL-MER;npopul151i;p0p100;1964;76098865.0;151;i
QL-MER;npopul151i;p0p100;1965;80666672.0;151;i
QL-MER;npopul151i;p0p100;1966;85226447.0;151;i
QL-MER;npopul151i;p0p100;1967;91101214.0;151;i
QL-MER;npopul151i;p0p100;1968;97224708.0;151;i
QL-MER;npopul151i;p0p100;1969;102150119.0;151;i
QL-MER;npopul151i;p0p100;1970;105106729.0;151;i
QL-MER;npopul151i;p0p100;1971;106024178.0;151;i
QL-MER;npopul151i;p0p100;1972;105012474.0;151;i
QL-MER;npopul151i;p0p100;1973;102972447.0;151;i
QL-MER;npopul151i;p0p100;1974;101516705.0;151;i
QL-MER;npopul151i;p0p100;1975;101655207.0;151;i
QL-MER;npopul151i;p0p100;1976;103206953.0;151;i
QL-MER;npopul151i;p0p100;1977;106180255.0;151;i
QL-MER;npopul151i;p0p100;1978;110288143.0;151;i
QL-MER;npopul151i;p0p100;1979;116069129.0;151;i
QL-MER;npopul151i;p0p100;1980;122155280.0;151;i
QL-MER;npopul151i;p0p100;1981;129429066.0;151;i
QL-MER;npopul151i;p0p100;1982;144464997.0;151;i
QL-MER;npopul151i;p0p100;1983;141467842.0;151;i
