country;variable;percentile;year;value;age;pop
SR;aptinc992j;p26p27;1980;16847.2;992;j
SR;aptinc992j;p26p27;1981;18207.0;992;j
SR;aptinc992j;p26p27;1982;16944.9;992;j
SR;aptinc992j;p26p27;1983;15459.9;992;j
SR;aptinc992j;p26p27;1984;15004.7;992;j
SR;aptinc992j;p26p27;1985;14639.8;992;j
SR;aptinc992j;p26p27;1986;14464.1;992;j
SR;aptinc992j;p26p27;1987;12995.5;992;j
SR;aptinc992j;p26p27;1988;13793.8;992;j
SR;aptinc992j;p26p27;1989;14025.0;992;j
SR;aptinc992j;p26p27;1990;13105.3;992;j
SR;aptinc992j;p26p27;1991;12855.2;992;j
SR;aptinc992j;p26p27;1992;12599.1;992;j
SR;aptinc992j;p26p27;1993;11280.7;992;j
SR;aptinc992j;p26p27;1994;11837.6;992;j
SR;aptinc992j;p26p27;1995;11897.8;992;j
SR;aptinc992j;p26p27;1996;11532.3;992;j
SR;aptinc992j;p26p27;1997;11701.4;992;j
SR;aptinc992j;p26p27;1998;11808.7;992;j
SR;aptinc992j;p26p27;1999;11187.0;992;j
SR;aptinc992j;p26p27;2000;11070.1;992;j
SR;aptinc992j;p26p27;2001;10348.1;992;j
SR;aptinc992j;p26p27;2002;11592.4;992;j
SR;aptinc992j;p26p27;2003;12463.3;992;j
SR;aptinc992j;p26p27;2004;13837.0;992;j
SR;aptinc992j;p26p27;2005;14344.5;992;j
SR;aptinc992j;p26p27;2006;14396.7;992;j
SR;aptinc992j;p26p27;2007;15089.5;992;j
SR;aptinc992j;p26p27;2008;15981.0;992;j
SR;aptinc992j;p26p27;2009;16366.5;992;j
SR;aptinc992j;p26p27;2010;17131.8;992;j
SR;aptinc992j;p26p27;2011;17415.3;992;j
SR;aptinc992j;p26p27;2012;18974.0;992;j
SR;aptinc992j;p26p27;2013;19577.9;992;j
SR;aptinc992j;p26p27;2014;20062.3;992;j
SR;aptinc992j;p26p27;2015;19229.9;992;j
SR;aptinc992j;p26p27;2016;16976.3;992;j
SR;aptinc992j;p26p27;2017;15818.2;992;j
SR;aptinc992j;p26p27;2018;16398.0;992;j
SR;aptinc992j;p26p27;2019;16572.4;992;j
SR;aptinc992j;p83p100;1980;302712.1;992;j
SR;aptinc992j;p83p100;1981;327143.7;992;j
SR;aptinc992j;p83p100;1982;304466.6;992;j
SR;aptinc992j;p83p100;1983;277784.0;992;j
SR;aptinc992j;p83p100;1984;269605.9;992;j
SR;aptinc992j;p83p100;1985;263048.8;992;j
SR;aptinc992j;p83p100;1986;259892.6;992;j
SR;aptinc992j;p83p100;1987;233504.6;992;j
SR;aptinc992j;p83p100;1988;247848.3;992;j
SR;aptinc992j;p83p100;1989;252002.6;992;j
SR;aptinc992j;p83p100;1990;235477.5;992;j
SR;aptinc992j;p83p100;1991;230982.9;992;j
SR;aptinc992j;p83p100;1992;226380.7;992;j
SR;aptinc992j;p83p100;1993;202692.3;992;j
SR;aptinc992j;p83p100;1994;212698.2;992;j
SR;aptinc992j;p83p100;1995;213781.1;992;j
SR;aptinc992j;p83p100;1996;207212.2;992;j
SR;aptinc992j;p83p100;1997;210251.8;992;j
SR;aptinc992j;p83p100;1998;212179.6;992;j
SR;aptinc992j;p83p100;1999;201007.9;992;j
SR;aptinc992j;p83p100;2000;198908.5;992;j
SR;aptinc992j;p83p100;2001;185935.4;992;j
SR;aptinc992j;p83p100;2002;208292.6;992;j
SR;aptinc992j;p83p100;2003;218368.8;992;j
SR;aptinc992j;p83p100;2004;229712.3;992;j
SR;aptinc992j;p83p100;2005;240835.4;992;j
SR;aptinc992j;p83p100;2006;252286.9;992;j
SR;aptinc992j;p83p100;2007;268056.4;992;j
SR;aptinc992j;p83p100;2008;273168.9;992;j
SR;aptinc992j;p83p100;2009;270128.8;992;j
SR;aptinc992j;p83p100;2010;268893.3;992;j
SR;aptinc992j;p83p100;2011;269497.6;992;j
SR;aptinc992j;p83p100;2012;270481.1;992;j
SR;aptinc992j;p83p100;2013;282653.8;992;j
SR;aptinc992j;p83p100;2014;280502.5;992;j
SR;aptinc992j;p83p100;2015;267939.1;992;j
SR;aptinc992j;p83p100;2016;231751.3;992;j
SR;aptinc992j;p83p100;2017;211863.5;992;j
SR;aptinc992j;p83p100;2018;214764.3;992;j
SR;aptinc992j;p83p100;2019;217048.4;992;j
SR;sptinc992j;p56p57;1980;0.0057;992;j
SR;sptinc992j;p56p57;1981;0.0057;992;j
SR;sptinc992j;p56p57;1982;0.0057;992;j
SR;sptinc992j;p56p57;1983;0.0057;992;j
SR;sptinc992j;p56p57;1984;0.0057;992;j
SR;sptinc992j;p56p57;1985;0.0057;992;j
SR;sptinc992j;p56p57;1986;0.0057;992;j
SR;sptinc992j;p56p57;1987;0.0057;992;j
SR;sptinc992j;p56p57;1988;0.0057;992;j
SR;sptinc992j;p56p57;1989;0.0057;992;j
SR;sptinc992j;p56p57;1990;0.0057;992;j
SR;sptinc992j;p56p57;1991;0.0057;992;j
SR;sptinc992j;p56p57;1992;0.0057;992;j
SR;sptinc992j;p56p57;1993;0.0057;992;j
SR;sptinc992j;p56p57;1994;0.0057;992;j
SR;sptinc992j;p56p57;1995;0.0057;992;j
SR;sptinc992j;p56p57;1996;0.0057;992;j
SR;sptinc992j;p56p57;1997;0.0057;992;j
SR;sptinc992j;p56p57;1998;0.0057;992;j
SR;sptinc992j;p56p57;1999;0.0057;992;j
SR;sptinc992j;p56p57;2000;0.0057;992;j
SR;sptinc992j;p56p57;2001;0.0057;992;j
