country;variable;percentile;year;value;age;pop
ST;tptinc992j;p0p90;1980;0.0;992;j
ST;tptinc992j;p0p90;1981;0.0;992;j
ST;tptinc992j;p0p90;1982;0.0;992;j
ST;tptinc992j;p0p90;1983;0.0;992;j
ST;tptinc992j;p0p90;1984;0.0;992;j
ST;tptinc992j;p0p90;1985;0.0;992;j
ST;tptinc992j;p0p90;1986;0.0;992;j
ST;tptinc992j;p0p90;1987;0.0;992;j
ST;tptinc992j;p0p90;1988;0.0;992;j
ST;tptinc992j;p0p90;1989;0.0;992;j
ST;tptinc992j;p0p90;1990;0.0;992;j
ST;tptinc992j;p0p90;1991;0.0;992;j
ST;tptinc992j;p0p90;1992;0.0;992;j
ST;tptinc992j;p0p90;1993;0.0;992;j
ST;tptinc992j;p0p90;1994;0.0;992;j
ST;tptinc992j;p0p90;1995;0.0;992;j
ST;tptinc992j;p0p90;1996;0.0;992;j
ST;tptinc992j;p0p90;1997;0.0;992;j
ST;tptinc992j;p0p90;1998;0.0;992;j
ST;tptinc992j;p0p90;1999;0.0;992;j
ST;tptinc992j;p0p90;2000;0.0;992;j
ST;tptinc992j;p0p90;2001;0.0;992;j
ST;tptinc992j;p0p90;2002;0.0;992;j
ST;tptinc992j;p0p90;2003;0.0;992;j
ST;tptinc992j;p0p90;2004;0.0;992;j
ST;tptinc992j;p0p90;2005;0.0;992;j
ST;tptinc992j;p0p90;2006;0.0;992;j
ST;tptinc992j;p0p90;2007;0.0;992;j
ST;tptinc992j;p0p90;2008;0.0;992;j
ST;tptinc992j;p0p90;2009;0.0;992;j
ST;tptinc992j;p0p90;2010;0.0;992;j
ST;tptinc992j;p0p90;2011;0.0;992;j
ST;tptinc992j;p0p90;2012;0.0;992;j
ST;tptinc992j;p0p90;2013;0.0;992;j
ST;tptinc992j;p0p90;2014;0.0;992;j
ST;tptinc992j;p0p90;2015;0.0;992;j
ST;tptinc992j;p0p90;2016;0.0;992;j
ST;tptinc992j;p0p90;2017;0.0;992;j
