country;variable;percentile;year;value;age;pop
TK;npopul999i;p0p100;1950;1566.0;999;i
TK;npopul999i;p0p100;1951;1517.0;999;i
TK;npopul999i;p0p100;1952;1504.0;999;i
TK;npopul999i;p0p100;1953;1521.0;999;i
TK;npopul999i;p0p100;1954;1559.0;999;i
TK;npopul999i;p0p100;1955;1607.0;999;i
TK;npopul999i;p0p100;1956;1671.0;999;i
TK;npopul999i;p0p100;1957;1722.0;999;i
TK;npopul999i;p0p100;1958;1782.0;999;i
TK;npopul999i;p0p100;1959;1823.0;999;i
TK;npopul999i;p0p100;1960;1873.0;999;i
TK;npopul999i;p0p100;1961;1902.0;999;i
TK;npopul999i;p0p100;1962;1935.0;999;i
TK;npopul999i;p0p100;1963;1953.0;999;i
TK;npopul999i;p0p100;1964;1947.0;999;i
TK;npopul999i;p0p100;1965;1922.0;999;i
TK;npopul999i;p0p100;1966;1876.0;999;i
TK;npopul999i;p0p100;1967;1818.0;999;i
TK;npopul999i;p0p100;1968;1734.0;999;i
TK;npopul999i;p0p100;1969;1675.0;999;i
TK;npopul999i;p0p100;1970;1621.0;999;i
TK;npopul999i;p0p100;1971;1588.0;999;i
TK;npopul999i;p0p100;1972;1573.0;999;i
TK;npopul999i;p0p100;1973;1573.0;999;i
TK;npopul999i;p0p100;1974;1572.0;999;i
TK;npopul999i;p0p100;1975;1572.0;999;i
TK;npopul999i;p0p100;1976;1567.0;999;i
TK;npopul999i;p0p100;1977;1556.0;999;i
TK;npopul999i;p0p100;1978;1542.0;999;i
TK;npopul999i;p0p100;1979;1543.0;999;i
TK;npopul999i;p0p100;1980;1553.0;999;i
TK;npopul999i;p0p100;1981;1576.0;999;i
TK;npopul999i;p0p100;1982;1620.0;999;i
TK;npopul999i;p0p100;1983;1657.0;999;i
TK;npopul999i;p0p100;1984;1697.0;999;i
TK;npopul999i;p0p100;1985;1709.0;999;i
TK;npopul999i;p0p100;1986;1703.0;999;i
TK;npopul999i;p0p100;1987;1697.0;999;i
TK;npopul999i;p0p100;1988;1665.0;999;i
TK;npopul999i;p0p100;1989;1634.0;999;i
TK;npopul999i;p0p100;1990;1608.0;999;i
TK;npopul999i;p0p100;1991;1578.0;999;i
TK;npopul999i;p0p100;1992;1558.0;999;i
TK;npopul999i;p0p100;1993;1535.0;999;i
TK;npopul999i;p0p100;1994;1529.0;999;i
TK;npopul999i;p0p100;1995;1517.0;999;i
TK;npopul999i;p0p100;1996;1529.0;999;i
TK;npopul999i;p0p100;1997;1547.0;999;i
TK;npopul999i;p0p100;1998;1575.0;999;i
TK;npopul999i;p0p100;1999;1574.0;999;i
TK;npopul999i;p0p100;2000;1554.0;999;i
TK;npopul999i;p0p100;2001;1503.0;999;i
TK;npopul999i;p0p100;2002;1435.0;999;i
TK;npopul999i;p0p100;2003;1351.0;999;i
TK;npopul999i;p0p100;2004;1273.0;999;i
TK;npopul999i;p0p100;2005;1208.0;999;i
TK;npopul999i;p0p100;2006;1167.0;999;i
TK;npopul999i;p0p100;2007;1141.0;999;i
TK;npopul999i;p0p100;2008;1126.0;999;i
TK;npopul999i;p0p100;2009;1126.0;999;i
TK;npopul999i;p0p100;2010;1140.0;999;i
TK;npopul999i;p0p100;2011;1151.0;999;i
TK;npopul999i;p0p100;2012;1167.0;999;i
TK;npopul999i;p0p100;2013;1187.0;999;i
TK;npopul999i;p0p100;2014;1219.0;999;i
TK;npopul999i;p0p100;2015;1252.0;999;i
TK;npopul999i;p0p100;2016;1282.0;999;i
TK;npopul999i;p0p100;2017;1300.0;999;i
TK;npopul999i;p0p100;2018;1319.0;999;i
TK;npopul999i;p0p100;2019;1340.0;999;i
