country;variable;percentile;year;value;age;pop
TR;aptinc992j;p33p100;1980;40240.5;992;j
TR;aptinc992j;p33p100;1981;40958.1;992;j
TR;aptinc992j;p33p100;1982;41129.3;992;j
TR;aptinc992j;p33p100;1983;41858.9;992;j
TR;aptinc992j;p33p100;1984;43280.1;992;j
TR;aptinc992j;p33p100;1985;43948.3;992;j
TR;aptinc992j;p33p100;1986;45909.9;992;j
TR;aptinc992j;p33p100;1987;48216.8;992;j
TR;aptinc992j;p33p100;1988;47678.1;992;j
TR;aptinc992j;p33p100;1989;47420.3;992;j
TR;aptinc992j;p33p100;1990;52052.5;992;j
TR;aptinc992j;p33p100;1991;50898.4;992;j
TR;aptinc992j;p33p100;1992;52174.6;992;j
TR;aptinc992j;p33p100;1993;54993.1;992;j
TR;aptinc992j;p33p100;1994;50363.8;992;j
TR;aptinc992j;p33p100;1995;53333.1;992;j
TR;aptinc992j;p33p100;1996;55794.9;992;j
TR;aptinc992j;p33p100;1997;58696.2;992;j
TR;aptinc992j;p33p100;1998;58264.2;992;j
TR;aptinc992j;p33p100;1999;54167.0;992;j
TR;aptinc992j;p33p100;2000;56637.2;992;j
TR;aptinc992j;p33p100;2001;50180.9;992;j
TR;aptinc992j;p33p100;2002;53537.1;992;j
TR;aptinc992j;p33p100;2003;55737.9;992;j
TR;aptinc992j;p33p100;2004;59886.7;992;j
TR;aptinc992j;p33p100;2005;64044.3;992;j
TR;aptinc992j;p33p100;2006;66642.5;992;j
TR;aptinc992j;p33p100;2007;68321.0;992;j
TR;aptinc992j;p33p100;2008;67326.9;992;j
TR;aptinc992j;p33p100;2009;61976.6;992;j
TR;aptinc992j;p33p100;2010;67035.0;992;j
TR;aptinc992j;p33p100;2011;73481.8;992;j
TR;aptinc992j;p33p100;2012;75064.4;992;j
TR;aptinc992j;p33p100;2013;80171.2;992;j
TR;aptinc992j;p33p100;2014;82183.2;992;j
TR;aptinc992j;p33p100;2015;85050.7;992;j
TR;aptinc992j;p33p100;2016;85423.2;992;j
TR;aptinc992j;p33p100;2017;89386.1;992;j
TR;aptinc992j;p33p100;2018;88567.9;992;j
TR;aptinc992j;p33p100;2019;85683.4;992;j
TR;sptinc992j;p0p7;1980;0.0001;992;j
TR;sptinc992j;p0p7;1981;0.0001;992;j
TR;sptinc992j;p0p7;1982;0.0001;992;j
TR;sptinc992j;p0p7;1983;0.0001;992;j
TR;sptinc992j;p0p7;1984;0.0001;992;j
TR;sptinc992j;p0p7;1985;0.0001;992;j
TR;sptinc992j;p0p7;1986;0.0001;992;j
TR;sptinc992j;p0p7;1987;0.0001;992;j
TR;sptinc992j;p0p7;1988;0.0001;992;j
TR;sptinc992j;p0p7;1989;0.0001;992;j
TR;sptinc992j;p0p7;1990;0.0001;992;j
TR;sptinc992j;p0p7;1991;0.0001;992;j
