country;variable;percentile;year;value;age;pop
US-VA;sptinc992t;p99p99.5;1917;0.0313;992;t
US-VA;sptinc992t;p99p99.5;1918;0.0358;992;t
US-VA;sptinc992t;p99p99.5;1919;0.0371;992;t
US-VA;sptinc992t;p99p99.5;1920;0.0365;992;t
US-VA;sptinc992t;p99p99.5;1921;0.0389;992;t
US-VA;sptinc992t;p99p99.5;1922;0.038;992;t
US-VA;sptinc992t;p99p99.5;1923;0.0335;992;t
US-VA;sptinc992t;p99p99.5;1924;0.0353;992;t
US-VA;sptinc992t;p99p99.5;1925;0.0347;992;t
US-VA;sptinc992t;p99p99.5;1926;0.0359;992;t
US-VA;sptinc992t;p99p99.5;1927;0.0362;992;t
US-VA;sptinc992t;p99p99.5;1928;0.0356;992;t
US-VA;sptinc992t;p99p99.5;1929;0.0347;992;t
US-VA;sptinc992t;p99p99.5;1930;0.037;992;t
US-VA;sptinc992t;p99p99.5;1931;0.0361;992;t
US-VA;sptinc992t;p99p99.5;1932;0.0381;992;t
US-VA;sptinc992t;p99p99.5;1933;0.0355;992;t
US-VA;sptinc992t;p99p99.5;1934;0.0362;992;t
US-VA;sptinc992t;p99p99.5;1935;0.0372;992;t
US-VA;sptinc992t;p99p99.5;1936;0.0389;992;t
US-VA;sptinc992t;p99p99.5;1937;0.0365;992;t
US-VA;sptinc992t;p99p99.5;1938;0.0379;992;t
US-VA;sptinc992t;p99p99.5;1939;0.0382;992;t
US-VA;sptinc992t;p99p99.5;1940;0.0373;992;t
US-VA;sptinc992t;p99p99.5;1941;0.0324;992;t
US-VA;sptinc992t;p99p99.5;1942;0.023;992;t
US-VA;sptinc992t;p99p99.5;1943;0.0235;992;t
US-VA;sptinc992t;p99p99.5;1944;0.0218;992;t
US-VA;sptinc992t;p99p99.5;1945;0.0238;992;t
US-VA;sptinc992t;p99p99.5;1946;0.0275;992;t
US-VA;sptinc992t;p99p99.5;1947;0.0277;992;t
US-VA;sptinc992t;p99p99.5;1948;0.0269;992;t
US-VA;sptinc992t;p99p99.5;1949;0.0273;992;t
US-VA;sptinc992t;p99p99.5;1950;0.028;992;t
US-VA;sptinc992t;p99p99.5;1951;0.0292;992;t
US-VA;sptinc992t;p99p99.5;1952;0.0244;992;t
US-VA;sptinc992t;p99p99.5;1953;0.0229;992;t
US-VA;sptinc992t;p99p99.5;1954;0.025;992;t
US-VA;sptinc992t;p99p99.5;1955;0.0246;992;t
US-VA;sptinc992t;p99p99.5;1956;0.025;992;t
