country,year,value
Mexico,2004,3007616878.0
Mexico,2005,4031133479.0
Mexico,2006,4917693143.0
Mexico,2007,5957653642.0
Mexico,2008,7107389688.0
Mexico,2009,8394143279.0
Mexico,2010,9500565881.0
Mexico,2011,10496196960.0
Mexico,2012,11664223296.0
Mexico,2013,12824500934.0
Mexico,2014,13406423608.0
Mexico,2015,14456331368.0
Mexico,2016,15418203229.0
Mexico,2017,16004516713.0
Mexico,2018,16561113262.0
Canada,1970,87298192017.0
Canada,1971,92574361648.0
Canada,1972,100330321959.0
Canada,1973,109473891567.0
Canada,1974,116591033595.0
Canada,1975,125291419214.0
Canada,1976,129821866004.0
Canada,1977,137302340923.0
Canada,1978,146531328054.0
Canada,1979,153947510701.0
Canada,1980,163445187038.0
Canada,1981,193100396591.0
Canada,1982,206894515930.0
Canada,1983,189277657218.0
Canada,1984,173431206937.0
Canada,1985,156962413075.0
Canada,1986,142130546981.0
Canada,1987,131025446689.0
Canada,1988,129191387043.0
Canada,1989,133601185183.0
Canada,1990,136913226548.0
Canada,1991,136706508845.0
Canada,1992,136750295191.0
Canada,1993,137458869563.0
Canada,1994,143494694484.0
Canada,1995,151322695627.0
Canada,1996,161277787092.0
Canada,1997,172210431210.0
Canada,1998,183335897445.0
Canada,1999,186068547129.0
Canada,2000,183097565555.0
Canada,2001,187461573105.0
Canada,2002,196014640269.0
Canada,2003,202189514084.0
Canada,2004,208773238746.0
Canada,2005,215189084202.0
Canada,2006,223433247020.0
Canada,2007,233596986466.0
Canada,2008,243449501596.0
Canada,2009,265145674507.0
Canada,2010,272711620117.0
Canada,2011,283236629488.0
Canada,2012,310497881499.0
Canada,2013,343562332941.0
Canada,2014,371696533174.0
Canada,2015,403977678775.0
Canada,2016,426421785434.0
Canada,2017,443764201373.0
Canada,2018,466851459261.0
Canada,2019,485983400000.0
Finland,1996,3060194203.0
Finland,1997,2724615597.0
Finland,1998,2699033974.0
Finland,1999,2508620177.0
Finland,2000,2609864642.0
Finland,2001,2649203076.0
Finland,2002,2865501337.0
Finland,2003,3046730367.0
Finland,2004,2782393513.0
Finland,2005,2681631195.0
Finland,2006,2626816172.0
Finland,2007,2432019248.0
Finland,2008,2443334162.0
Finland,2009,2396771699.0
Finland,2010,2296329278.0
Finland,2011,2181332401.0
Finland,2012,1997940721.0
Finland,2013,1849554338.0
Finland,2014,1736298488.0
Finland,2015,1582934051.0
Finland,2016,1418840836.0
Finland,2017,1279405754.0
Finland,2018,1187032764.0
Spain,1900,106021098327.0
Spain,1901,111409234335.0
Spain,1902,112435689861.0
Spain,1903,106981385684.0
Spain,1904,102119637222.0
Spain,1905,106681278283.0
Spain,1906,114329463766.0
Spain,1907,115702902477.0
Spain,1908,124246140179.0
Spain,1909,128314650652.0
Spain,1910,131256253603.0
Spain,1911,134367431988.0
Spain,1912,131004428883.0
Spain,1913,132350681209.0
Spain,1914,132807388785.0
Spain,1915,128271686694.0
Spain,1916,117024584902.0
Spain,1917,106805280902.0
Spain,1918,87750840944.0
Spain,1919,83335003851.0
Spain,1920,76427116043.0
Spain,1921,90014786428.0
Spain,1922,96917518603.0
Spain,1923,102723309377.0
Spain,1924,101497482815.0
Spain,1925,106765768110.0
Spain,1926,113649806421.0
Spain,1927,121872884633.0
Spain,1928,130437409285.0
Spain,1929,137001438126.0
Spain,1930,136414788641.0
Spain,1931,142564459639.0
Spain,1932,140685030924.0
Spain,1933,136455565928.0
Spain,1934,122260552522.0
Spain,1935,114236256653.0
Spain,1940,164666122268.0
Spain,1941,194614260230.0
Spain,1942,183432556875.0
Spain,1943,178411703900.0
Spain,1944,168619410252.0
Spain,1945,167699455657.0
Spain,1946,181638941108.0
Spain,1947,163191187538.0
Spain,1948,156439983378.0
Spain,1949,163302321641.0
Spain,1950,154675511491.0
Spain,1951,151761074189.0
Spain,1952,149940855419.0
Spain,1953,144491953148.0
Spain,1954,137112590866.0
Spain,1955,163262866984.0
Spain,1956,184416863580.0
Spain,1957,189988517486.0
Spain,1958,189134529037.0
Spain,1959,187705398332.0
Spain,1960,188358911448.0
Spain,1961,196874224697.0
Spain,1962,209683571441.0
Spain,1963,227260773800.0
Spain,1964,235972486796.0
Spain,1965,240736790326.0
Spain,1966,246681992941.0
Spain,1967,253587504315.0
Spain,1968,261636197896.0
Spain,1969,270634779499.0
Spain,1970,273222393449.0
Spain,1971,269097366795.0
Spain,1972,271394694338.0
Spain,1973,269918732463.0
Spain,1974,268744638800.0
Spain,1975,248758208930.0
Spain,1976,228330853919.0
Spain,1977,266113006823.0
Spain,1978,289438696451.0
Spain,1979,309395859702.0
Spain,1980,281351410025.0
Spain,1981,267924388696.0
Spain,1982,250555819034.0
Spain,1983,245040306099.0
Spain,1984,238561478552.0
Spain,1985,246432631996.0
Spain,1986,249217358398.0
Spain,1987,269163849531.0
Spain,1988,287244735709.0
Spain,1989,287261684857.0
Spain,1990,258688234561.0
Spain,1991,225854763266.0
Spain,1992,185649421287.0
Spain,1993,174042141823.0
Spain,1994,177611973607.0
Spain,1995,178441529208.0
Spain,1996,185183334671.0
Spain,1997,205873155678.0
Spain,1998,233896168242.0
Spain,1999,253664761022.0
Spain,2000,260359269490.0
Spain,2001,257887238145.0
Spain,2002,261994273608.0
Spain,2003,267596644840.0
Spain,2004,270329795563.0
Spain,2005,280307571386.0
Spain,2006,283197922033.0
Spain,2007,286692295372.0
Spain,2008,278759772103.0
Spain,2009,264003389258.0
Spain,2010,252747609139.0
Spain,2011,254463818941.0
Spain,2012,247387724667.0
Spain,2013,242703270136.0
Spain,2014,246506605009.0
Spain,2015,253654234087.0
Spain,2016,255771910977.0
Spain,2017,252428545122.0
Italy,2002,301420663103.0
Italy,2003,294370112634.0
Italy,2004,299680793494.0
Italy,2005,298437252552.0
Italy,2006,293378857852.0
Italy,2007,291288399220.0
Italy,2008,289073812989.0
Italy,2009,285519550034.0
Italy,2010,286072178773.0
Italy,2011,281962817768.0
Italy,2012,275259547819.0
Italy,2013,267618802752.0
Italy,2014,263143355145.0
Italy,2015,260033932457.0
Italy,2016,257119933867.0
Italy,2017,256288583191.0
Germany,1989,439670083882.0
Germany,1990,433893083282.0
Germany,1991,453653415049.0
Germany,1992,425308450206.0
Germany,1993,413524583106.0
Germany,1994,413001595583.0
Germany,1995,388623599955.0
Germany,1996,365037870382.0
Germany,1997,363152566073.0
Germany,1998,348713640415.0
Germany,1999,333717112967.0
Germany,2000,340013490957.0
Germany,2001,343771232251.0
Germany,2002,345732679148.0
Germany,2003,337159250886.0
Germany,2004,329231898818.0
Germany,2005,318574939114.0
Germany,2006,312095083264.0
Germany,2007,315177239380.0
Germany,2008,329288713485.0
Germany,2009,350721491696.0
Germany,2010,378360819096.0
Germany,2011,413601411721.0
Germany,2012,440114851539.0
Germany,2013,456549232803.0
Germany,2014,480231039678.0
Germany,2015,519938835611.0
Germany,2016,555981611857.0
Germany,2017,581937181874.0
Germany,2018,612934487127.0
Denmark,1996,64700363075.0
Denmark,1997,74765210383.0
Denmark,1998,81452213771.0
Denmark,1999,91201537486.0
Denmark,2000,92752192540.0
Denmark,2001,97239398474.0
Denmark,2002,103861705536.0
Denmark,2003,110823518419.0
Denmark,2004,131310918792.0
Denmark,2005,133943226254.0
Denmark,2006,176786314835.0
Denmark,2007,195151198725.0
Denmark,2008,233162729603.0
Denmark,2009,188252152754.0
Denmark,2010,144224665847.0
Denmark,2011,132464877608.0
Denmark,2012,116931736351.0
Denmark,2013,121269018758.0
Denmark,2014,120562605059.0
Denmark,2015,114153287438.0
Denmark,2016,115399616357.0
Denmark,2017,117622293595.0
Denmark,2018,120764176364.0
Korea,1996,406346722011318.0
Korea,1997,403572546862053.0
Korea,1998,382018683481147.0
Korea,1999,392036350708452.0
Korea,2000,413656841981189.0
Korea,2001,418545607851265.0
Korea,2002,448920651616638.0
Korea,2003,499082269021125.0
Korea,2004,562652235670710.0
Korea,2005,663999539444198.0
Korea,2006,792319179638155.0
Korea,2007,905409515643247.0
Korea,2008,959154307737421.0
Korea,2009,949894572085356.0
Korea,2010,942260524290344.0
Korea,2011,952364723788887.0
Korea,2012,973135817428839.0
Korea,2013,987188663537058.0
Korea,2014,995447505540588.0
Korea,2015,1001929627129830.0
Korea,2016,1025500462194540.0
Korea,2017,1053217277128180.0
Korea,2018,1108178762811930.0
Korea,2019,1163564550000000.0
United Kingdom,1920,72480185971.0
United Kingdom,1921,68888499919.0
United Kingdom,1922,77427034530.0
United Kingdom,1923,83241683767.0
United Kingdom,1924,84512383148.0
United Kingdom,1925,82125182715.0
United Kingdom,1926,77934417817.0
United Kingdom,1927,77887660389.0
United Kingdom,1928,71961733552.0
United Kingdom,1929,66978486612.0
United Kingdom,1930,69946818473.0
United Kingdom,1931,71605111106.0
United Kingdom,1932,71671895557.0
United Kingdom,1933,76942679128.0
United Kingdom,1934,77427204815.0
United Kingdom,1935,77421729472.0
United Kingdom,1936,81244038929.0
United Kingdom,1937,80152221835.0
United Kingdom,1938,66560370004.0
United Kingdom,1939,53750781636.0
United Kingdom,1940,50455590915.0
United Kingdom,1941,50284822633.0
United Kingdom,1942,50653929586.0
United Kingdom,1943,52641886720.0
United Kingdom,1944,56120362746.0
United Kingdom,1945,62120626566.0
United Kingdom,1946,66895887778.0
United Kingdom,1947,67128137644.0
United Kingdom,1948,66513640728.0
United Kingdom,1949,67458538349.0
United Kingdom,1950,69616625327.0
United Kingdom,1951,68936838793.0
United Kingdom,1952,67547427642.0
United Kingdom,1953,70693577519.0
United Kingdom,1954,72368450175.0
United Kingdom,1955,72832335606.0
United Kingdom,1956,71400814526.0
United Kingdom,1957,71134396288.0
United Kingdom,1958,71397375219.0
United Kingdom,1959,75446527720.0
United Kingdom,1960,78089644861.0
United Kingdom,1961,78404062312.0
United Kingdom,1962,79613091205.0
United Kingdom,1963,82275855474.0
United Kingdom,1964,84191094919.0
United Kingdom,1965,82309488422.0
United Kingdom,1966,81603374411.0
United Kingdom,1967,83125877272.0
United Kingdom,1968,85249633422.0
United Kingdom,1969,87052490868.0
United Kingdom,1970,86078136479.0
United Kingdom,1971,86543747188.0
United Kingdom,1972,90827557426.0
United Kingdom,1973,90071084240.0
United Kingdom,1974,89424457956.0
United Kingdom,1975,86133599486.0
United Kingdom,1976,86172067088.0
United Kingdom,1977,84330179144.0
United Kingdom,1978,84967565553.0
United Kingdom,1979,84781199439.0
United Kingdom,1980,77691247362.0
United Kingdom,1981,75068744047.0
United Kingdom,1982,75411435859.0
