name,standardized_name,db_entity_id
United Kingdom,United Kingdom,1
Netherlands,Netherlands,5
Fragile and conflict affected situations,Fragile and conflict affected situations,319
Latin America & Caribbean,Latin America & Caribbean,344
Tunisia,Tunisia,71
Greece,Greece,149
Costa Rica,Costa Rica,166
Israel,Israel,133
East Asia & Pacific,East Asia & Pacific,345
Suriname,Suriname,234
Afghanistan,Afghanistan,15
Equatorial Guinea,Equatorial Guinea,159
Lebanon,Lebanon,124
Malaysia,Malaysia,116
Mexico,Mexico,113
Lower middle income,Lower middle income,327
Belarus,Belarus,30
"Egypt, Arab Rep",Egypt,65
Europe & Central Asia,Europe & Central Asia,4676
High income,High income,320
Japan,Japan,14
St. Lucia,Saint Lucia,229
Estonia,Estonia,156
Georgia,Georgia,152
Bhutan,Bhutan,33
Kenya,Kenya,129
Turkey,Turkey,70
Senegal,Senegal,89
Tajikistan,Tajikistan,76
Algeria,Algeria,17
Bosnia and Herzegovina,Bosnia and Herzegovina,35
Gabon,Gabon,153
Sudan,Sudan,79
Guyana,Guyana,146
Tonga,Tonga,235
Haiti,Haiti,145
Kazakhstan,Kazakhstan,131
Colombia,Colombia,170
Mauritius,Mauritius,213
Seychelles,Seychelles,233
Liberia,Liberia,121
Lithuania,Lithuania,119
Philippines,Philippines,96
China,China,171
Luxembourg,Luxembourg,210
Madagascar,Madagascar,118
Chile,Chile,172
"Congo, Rep",Congo,168
South Africa,South Africa,81
Bulgaria,Bulgaria,39
IDA total,IDA total,4679
Uzbekistan,Uzbekistan,62
Cabo Verde,Cape Verde,45
Mauritania,Mauritania,114
Jamaica,Jamaica,132
Ethiopia,Ethiopia,158
Guinea,Guinea,147
Kosovo,Kosovo,379
Guinea-Bissau,Guinea-Bissau,94
Bangladesh,Bangladesh,28
Argentina,Argentina,21
Mozambique,Mozambique,109
"Iran, Islamic Rep",Iran,135
IDA countries classified as fragile situations,IDA countries classified as fragile situations,36354
Middle East & North Africa,Middle East & North Africa,293
Nepal,Nepal,107
Cambodia,Cambodia,42
Uganda,Uganda,68
North Macedonia,Macedonia,66
Solomon Islands,Solomon Islands,195
South Sudan,South Sudan,258
Central African Republic,Central African Republic,174
Nigeria,Nigeria,103
Poland,Poland,11
Palau,Palau,224
Ghana,Ghana,150
Togo,Togo,74
Upper middle income,Upper middle income,340
Uruguay,Uruguay,63
Tanzania,Tanzania,64
"Venezuela, RB",Venezuela,238
Azerbaijan,Azerbaijan,25
France,France,3
Burkina Faso,Burkina Faso,40
Switzerland,Switzerland,7
"Gambia, The",Gambia,151
Italy,Italy,8
Botswana,Botswana,36
Ukraine,Ukraine,67
Sri Lanka,Sri Lanka,141
Latvia,Latvia,122
Lao PDR,Laos,125
Turkmenistan,Turkmenistan,69
Iraq,Iraq,134
Spain,Spain,9
Finland,Finland,155
Malawi,Malawi,117
World,World,355
Burundi,Burundi,41
Slovenia,Slovenia,83
Middle income,Middle income,330
Guatemala,Guatemala,148
Ecuador,Ecuador,201
Sao Tome and Principe,Sao Tome and Principe,232
Zimbabwe,Zimbabwe,80
Sub-Saharan Africa,Sub-Saharan Africa,289
Portugal,Portugal,95
Angola,Angola,19
"Korea, Rep",South Korea,127
"Congo, Dem. Rep",Democratic Republic of Congo,167
Panama,Panama,100
West Bank and Gaza,Palestine,140
Benin,Benin,32
Rwanda,Rwanda,91
Hungary,Hungary,138
Romania,Romania,92
Canada,Canada,44
"Micronesia, Fed. Sts",Micronesia (country),222
Fiji,Fiji,202
Mongolia,Mongolia,112
"Yemen, Rep",Yemen,61
Morocco,Morocco,110
Austria,Austria,24
Trinidad and Tobago,Trinidad and Tobago,73
Kyrgyz Republic,Kyrgyzstan,126
Cyprus,Cyprus,163
Low income,Low income,326
Brazil,Brazil,37
El Salvador,El Salvador,259
Norway,Norway,102
Timor-Leste,Timor,225
Nicaragua,Nicaragua,105
Namibia,Namibia,108
Low & middle income,Low & middle income,328
Cote d'Ivoire,Cote d'Ivoire,143
Pakistan,Pakistan,101
Honduras,Honduras,139
India,India,137
Ireland,Ireland,2
Jordan,Jordan,130
Germany,Germany,6
Croatia,Croatia,165
Samoa,Samoa,239
Belgium,Belgium,4
Iceland,Iceland,207
Belize,Belize,31
Cameroon,Cameroon,43
Chad,Chad,173
Malta,Malta,212
Armenia,Armenia,22
South Asia,"Asia, South",433
Albania,Albania,16
Paraguay,Paraguay,98
Myanmar,Myanmar,142
Eritrea,Eritrea,157
Eswatini,Swaziland,78
Niger,Niger,104
Denmark,Denmark,161
Russian Federation,Russia,12
Thailand,Thailand,75
Montenegro,Montenegro,215
Djibouti,Djibouti,154
Syrian Arab Republic,Syria,77
Papua New Guinea,Papua New Guinea,99
Peru,Peru,97
Zambia,Zambia,60
Indonesia,Indonesia,136
Mali,Mali,115
Czech Republic,Czech Republic,162
Slovak Republic,Slovakia,85
Moldova,Moldova,111
Australia,Australia,23
Maldives,Maldives,211
Vanuatu,Vanuatu,221
Lesotho,Lesotho,123
Comoros,Comoros,169
Sierra Leone,Sierra Leone,87
Kiribati,Kiribati,204
Tuvalu,Tuvalu,237
United States,United States,13
Sweden,Sweden,10
Vietnam,Vietnam,84
Serbia,Serbia,88
Dominican Republic,Dominican Republic,160
Bolivia,Bolivia,34
