country,year,value
Albania,2009,39.2667756419624
Albania,2010,39.8451683887531
Albania,2011,42.601450983903
Albania,2012,42.6030382915447
Albania,2013,41.6546296883363
Albania,2014,41.2763027257445
Albania,2015,39.1301074029989
Albania,2016,38.4808579968929
Albania,2017,37.0594486860193
Albania,2018,34.2870815962759
Albania,2019,35.8574394424906
Albania,2020,39.8460574807341
Angola,2015,25.8278431642764
Angola,2016,21.6146935779956
Angola,2017,17.5226122317668
Angola,2018,15.3341708523513
Angola,2019,14.7639710584675
Angola,2020,12.4496140940666
Armenia,2009,25.145552066474
Armenia,2010,28.9090522277264
Armenia,2011,36.0218301956193
Armenia,2012,40.5748403229994
Armenia,2013,42.9341560941789
Armenia,2014,49.3708318208719
Armenia,2015,46.1568279144798
Armenia,2016,49.3205506770366
Armenia,2017,51.8760066360455
Armenia,2018,55.7760306016694
Armenia,2019,60.1659584530503
Armenia,2020,72.8610075927188
Azerbaijan,2016,38.6154375219685
Azerbaijan,2017,23.7130484523242
Azerbaijan,2018,22.1152270306388
Azerbaijan,2019,24.19091309366
Azerbaijan,2020,27.4382109878369
Belarus,2007,33.1865403595728
Belarus,2008,38.2383352286911
Belarus,2009,48.8690014800343
Belarus,2010,57.9270697113438
Belarus,2011,52.8841369591043
Belarus,2012,41.3296594680184
Belarus,2013,44.5536521350821
Belarus,2014,45.7168025225346
Belarus,2015,51.2146910109142
Belarus,2016,48.2354784568558
Belarus,2017,47.7080590090422
Belarus,2018,47.1059624958204
Belarus,2019,46.6526053754079
Belarus,2020,53.8027741051386
Bolivia,2005,45.3530584744586
Bolivia,2006,38.0265851946905
Bolivia,2007,37.2090200679211
Bolivia,2008,34.959312805341
Bolivia,2009,37.3240248459607
Bolivia,2010,40.6549064633488
Bolivia,2011,42.9746800114582
Bolivia,2012,48.675503632787
Bolivia,2013,52.8394687573472
Bolivia,2014,57.7699306734885
Bolivia,2015,67.5425143488225
Bolivia,2016,76.4173945700707
Bolivia,2017,78.2977957478939
Bolivia,2018,81.6007112921097
Bolivia,2019,86.2279168891693
Bosnia and Herzegovina,2006,56.621461324117
Bosnia and Herzegovina,2007,68.6819249827046
Bosnia and Herzegovina,2008,70.1906537071016
Bosnia and Herzegovina,2009,66.5756712755035
Bosnia and Herzegovina,2010,65.2941094542931
Bosnia and Herzegovina,2011,63.9570534892702
Bosnia and Herzegovina,2012,65.3748297616528
Bosnia and Herzegovina,2013,64.8573823848264
